product,technology_origin,year,region,switch_type,technology_destination,tco,lcox,switch_capex,salvage_value,technology_classification,technology_lifetime,wacc,co2_scope1_origin,co2_scope2_origin,co2_scope3_upstream_origin,co2_scope3_downstream_origin,co2_scope1_destination,co2_scope2_destination,co2_scope3_upstream_destination,co2_scope3_downstream_destination,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,tco_normalized,sum_emissions_delta,sum_emissions_delta_normalized,greenfield_bau_score,greenfield_bau_score_binned,rank
Aluminium,New-build,2050,China - North,greenfield,Carbon Anode + Hydro,29014.46184,2143.860976,8818.881659,13.53374224,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.675363001181885,1e-06,0.0,0.675363001181885,34,1937.5
Aluminium,New-build,2049,China - North,greenfield,Carbon Anode + Hydro,29014.50922,2143.864898,8818.881659,13.53373958,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6753613451382912,1e-06,0.0,0.6753613451382912,34,1943.5
Aluminium,New-build,2048,China - North,greenfield,Carbon Anode + Hydro,29014.5527,2143.868496,8818.881659,13.53373714,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6753598254089652,1e-06,0.0,0.6753598254089652,34,1949.5
Aluminium,New-build,2047,China - North,greenfield,Carbon Anode + Hydro,29014.63997,2143.875719,8818.881659,13.53373225,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6753567751150769,1e-06,0.0,0.6753567751150769,34,1955.5
Aluminium,New-build,2046,China - North,greenfield,Carbon Anode + Hydro,29014.72003,2143.882346,8818.881659,13.53372777,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6753539768278223,1e-06,0.0,0.6753539768278223,34,1961.5
Aluminium,New-build,2045,China - North,greenfield,Carbon Anode + Hydro,29014.84087,2143.892347,8818.881659,13.53372099,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6753497531826582,1e-06,0.0,0.6753497531826582,34,1968.5
Aluminium,New-build,2044,China - North,greenfield,Carbon Anode + Hydro,29014.99911,2143.905445,8818.881659,13.53371212,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6753442223186166,1e-06,0.0,0.6753442223186166,34,1974.5
Aluminium,New-build,2043,China - North,greenfield,Carbon Anode + Hydro,29015.14429,2143.917461,8818.881659,13.53370399,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.675339147932611,1e-06,0.0,0.675339147932611,34,1980.5
Aluminium,New-build,2042,China - North,greenfield,Carbon Anode + Hydro,29015.32487,2143.932407,8818.881659,13.53369387,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6753328362324806,1e-06,0.0,0.6753328362324806,34,1986.5
Aluminium,New-build,2041,China - North,greenfield,Carbon Anode + Hydro,29015.49054,2143.946119,8818.881659,13.53368458,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6753270456722826,1e-06,0.0,0.6753270456722826,34,1992.5
Aluminium,New-build,2040,China - North,greenfield,Carbon Anode + Hydro,29015.68992,2143.962621,8818.881659,13.53367341,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6753200768674759,1e-06,0.0,0.6753200768674759,34,1998.5
Aluminium,New-build,2039,China - North,greenfield,Carbon Anode + Hydro,29015.92021,2143.981682,8818.881659,13.53366051,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6753120276847149,1e-06,0.0,0.6753120276847149,34,2004.5
Aluminium,New-build,2038,China - North,greenfield,Carbon Anode + Hydro,29016.1315,2143.999169,8818.881659,13.53364867,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6753046425971054,1e-06,0.0,0.6753046425971054,34,2016.5
Aluminium,New-build,2037,China - North,greenfield,Carbon Anode + Hydro,29016.37272,2144.019135,8818.881659,13.53363515,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6752962113848702,1e-06,0.0,0.6752962113848702,34,2022.5
Aluminium,New-build,2036,China - North,greenfield,Carbon Anode + Hydro,29016.59403,2144.037452,8818.881659,13.53362275,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6752884760744491,1e-06,0.0,0.6752884760744491,35,2028.5
Aluminium,New-build,2035,China - North,greenfield,Carbon Anode + Hydro,29016.84444,2144.058178,8818.881659,13.53360871,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6752797236498749,1e-06,0.0,0.6752797236498749,35,2034.5
Aluminium,New-build,2034,China - North,greenfield,Carbon Anode + Hydro,29017.12157,2144.081115,8818.881659,13.53359319,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6752700372978033,1e-06,0.0,0.6752700372978033,35,2046.5
Aluminium,New-build,2033,China - North,greenfield,Carbon Anode + Hydro,29017.37582,2144.102158,8818.881659,13.53357894,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6752611506561035,1e-06,0.0,0.6752611506561035,35,2058.5
Aluminium,New-build,2032,China - North,greenfield,Carbon Anode + Hydro,29017.65645,2144.125386,8818.881659,13.53356321,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6752513419707146,1e-06,0.0,0.6752513419707146,35,2070.5
Aluminium,New-build,2031,China - North,greenfield,Carbon Anode + Hydro,29017.91392,2144.146696,8818.881659,13.53354879,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.675242342782363,1e-06,0.0,0.675242342782363,35,2082.5
Aluminium,New-build,2030,China - North,greenfield,Carbon Anode + Hydro,29018.19751,2144.170168,8818.881659,13.5335329,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6752324306379396,1e-06,0.0,0.6752324306379396,35,2088.5
Aluminium,New-build,2029,China - North,greenfield,Carbon Anode + Hydro,29017.81317,2144.138357,8818.881659,13.53355443,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6752458642342851,1e-06,0.0,0.6752458642342851,36,2076.5
Aluminium,New-build,2028,China - North,greenfield,Carbon Anode + Hydro,29017.46056,2144.109173,8818.881659,13.53357419,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6752581887917275,1e-06,0.0,0.6752581887917275,37,2064.5
Aluminium,New-build,2027,China - North,greenfield,Carbon Anode + Hydro,29017.18445,2144.08632,8818.881659,13.53358966,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6752678394923752,1e-06,0.0,0.6752678394923752,37,2052.5
Aluminium,New-build,2026,China - North,greenfield,Carbon Anode + Hydro,29016.93114,2144.065354,8818.881659,13.53360386,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.675276693278841,1e-06,0.0,0.675276693278841,37,2040.5
Aluminium,New-build,2025,China - North,greenfield,Carbon Anode + Hydro,29016.05423,2143.992774,8818.881659,13.533653,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6753073433672296,1e-06,0.0,0.6753073433672296,36,2010.5
Aluminium,New-build,2024,China - North,greenfield,Carbon Anode + Hydro,29018.96505,2144.233696,8818.881659,13.5334899,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6752056032909579,1e-06,0.0,0.6752056032909579,35,2094.5
Aluminium,New-build,2023,China - North,greenfield,Carbon Anode + Hydro,29025.39826,2144.766156,8818.881659,13.53312956,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6749807473135792,1e-06,0.0,0.6749807473135792,35,2101.5
Aluminium,New-build,2022,China - North,greenfield,Carbon Anode + Hydro,29034.32372,2145.504893,8818.881659,13.53262993,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6746687812761183,1e-06,0.0,0.6746687812761183,35,2110.5
Aluminium,New-build,2020,China - North,greenfield,Carbon Anode + Hydro,29035.08266,2145.567709,8818.881659,13.53258746,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6746422545195734,1e-06,0.0,0.6746422545195734,34,2116.5
Aluminium,New-build,2021,China - North,greenfield,Carbon Anode + Hydro,29038.32302,2145.835904,8818.881659,13.53240616,transition,60.0,0.07,0.0,0.0,0.0,0.0,2.092707548,0.0,0.0,0.0,-2.092707548,0.0,0.0,0.0,0.6745289962371828,1e-06,0.0,0.6745289962371828,35,2125.5
Aluminium,New-build,2050,China - North,greenfield,Inert Anode + Hydro,26075.98852,1900.651124,7918.881659,13.71950285,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.77806962670315,1e-06,0.0,0.77806962670315,39,924.5
Aluminium,New-build,2049,China - North,greenfield,Inert Anode + Hydro,26104.0417,1902.973013,7946.887454,13.71750493,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.77708910139658,1e-06,0.0,0.77708910139658,39,938.5
Aluminium,New-build,2048,China - North,greenfield,Inert Anode + Hydro,26132.09097,1905.294579,7974.893249,13.71551216,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7761087127538018,1e-06,0.0,0.7761087127538018,39,949.5
Aluminium,New-build,2047,China - North,greenfield,Inert Anode + Hydro,26160.18403,1907.619769,8002.899044,13.71352114,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7751267935464611,1e-06,0.0,0.7751267935464611,39,965.5
Aluminium,New-build,2046,China - North,greenfield,Inert Anode + Hydro,26188.26989,1909.944363,8030.904839,13.71153547,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7741451259962304,1e-06,0.0,0.7741451259962304,39,977.5
Aluminium,New-build,2045,China - North,greenfield,Inert Anode + Hydro,26216.39653,1912.272332,8058.910634,13.70955176,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7731620330880901,1e-06,0.0,0.7731620330880901,39,988.5
Aluminium,New-build,2044,China - North,greenfield,Inert Anode + Hydro,26245.32951,1914.667041,8087.685375,13.70751622,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7721507566807636,1e-06,0.0,0.7721507566807636,39,1006.5
Aluminium,New-build,2043,China - North,greenfield,Inert Anode + Hydro,26274.24943,1917.060668,8116.460116,13.70548667,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.771139936751473,1e-06,0.0,0.771139936751473,39,1016.5
Aluminium,New-build,2042,China - North,greenfield,Inert Anode + Hydro,26303.20475,1919.457225,8145.234857,13.70345971,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7701278795080577,1e-06,0.0,0.7701278795080577,39,1032.5
Aluminium,New-build,2041,China - North,greenfield,Inert Anode + Hydro,26332.14516,1921.852548,8174.009597,13.70143885,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7691163434045746,1e-06,0.0,0.7691163434045746,39,1042.5
Aluminium,New-build,2040,China - North,greenfield,Inert Anode + Hydro,26361.11928,1924.250661,8202.784338,13.69942067,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7681036290564831,1e-06,0.0,0.7681036290564831,39,1053.5
Aluminium,New-build,2039,China - North,greenfield,Inert Anode + Hydro,26390.91437,1926.716724,8232.349137,13.69735055,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7670622198559387,1e-06,0.0,0.7670622198559387,39,1062.5
Aluminium,New-build,2038,China - North,greenfield,Inert Anode + Hydro,26420.69046,1929.181214,8261.913936,13.69528703,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7660214747505457,1e-06,0.0,0.7660214747505457,39,1071.5
Aluminium,New-build,2037,China - North,greenfield,Inert Anode + Hydro,26450.49648,1931.648181,8291.478735,13.69322672,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7649796835205271,1e-06,0.0,0.7649796835205271,39,1081.5
Aluminium,New-build,2036,China - North,greenfield,Inert Anode + Hydro,26480.28258,1934.1135,8321.043534,13.69117303,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7639385885418467,1e-06,0.0,0.7639385885418467,39,1089.5
Aluminium,New-build,2035,China - North,greenfield,Inert Anode + Hydro,26510.0978,1936.581229,8350.608333,13.68912257,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7628964757499653,1e-06,0.0,0.7628964757499653,39,1097.5
Aluminium,New-build,2034,China - North,greenfield,Inert Anode + Hydro,26540.75148,1939.118354,8380.984883,13.68701989,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7618250567885678,1e-06,0.0,0.7618250567885678,39,1104.5
Aluminium,New-build,2033,China - North,greenfield,Inert Anode + Hydro,26571.38227,1941.653586,8411.361433,13.68492426,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7607544378870661,1e-06,0.0,0.7607544378870661,39,1116.5
Aluminium,New-build,2032,China - North,greenfield,Inert Anode + Hydro,26602.03946,1944.191003,8441.737983,13.68283231,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7596828962428274,1e-06,0.0,0.7596828962428274,39,1124.5
Aluminium,New-build,2031,China - North,greenfield,Inert Anode + Hydro,26632.67348,1946.726501,8472.114532,13.68074738,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7586121644451498,1e-06,0.0,0.7586121644451498,39,1133.5
Aluminium,New-build,2030,China - North,greenfield,Inert Anode + Hydro,26663.33362,1949.264162,8502.491082,13.6786661,end-state,60.0,0.07,0.0,0.0,0.0,0.0,0.062707548,0.0,0.0,0.0,-0.062707548,0.0,0.0,0.0,0.7575405196914008,1e-06,0.0,0.7575405196914008,40,1142.5
Aluminium,New-build,2050,China - North,greenfield,Carbon Anode+CCS + Hydro,31326.06053,2335.186033,9061.527849,13.41480297,end-state,60.0,0.07,0.0,0.0,0.0,0.0,1.135485652,0.0,0.0,0.0,-1.135485652,0.0,0.0,0.0,0.5945671336838343,1e-06,0.0,0.5945671336838343,30,3366.5
Aluminium,New-build,2049,China - North,greenfield,Carbon Anode+CCS + Hydro,31327.44036,2335.300239,9062.8603,13.41473779,end-state,60.0,0.07,0.0,0.0,0.0,0.0,1.135485652,0.0,0.0,0.0,-1.135485652,0.0,0.0,0.0,0.5945189053463067,1e-06,0.0,0.5945189053463067,29,3374.5
Aluminium,New-build,2048,China - North,greenfield,Carbon Anode+CCS + Hydro,31328.81629,2335.41412,9064.192751,13.4146728,end-state,60.0,0.07,0.0,0.0,0.0,0.0,1.135485652,0.0,0.0,0.0,-1.135485652,0.0,0.0,0.0,0.594470813323047,1e-06,0.0,0.594470813323047,30,3380.5
Aluminium,New-build,2047,China - North,greenfield,Carbon Anode+CCS + Hydro,31330.23601,2335.531627,9065.525202,13.41460576,end-state,60.0,0.07,0.0,0.0,0.0,0.0,1.135485652,0.0,0.0,0.0,-1.135485652,0.0,0.0,0.0,0.5944211907352246,1e-06,0.0,0.5944211907352246,30,3386.5
Aluminium,New-build,2046,China - North,greenfield,Carbon Anode+CCS + Hydro,31331.64852,2335.648537,9066.857653,13.41453906,end-state,60.0,0.07,0.0,0.0,0.0,0.0,1.135485652,0.0,0.0,0.0,-1.135485652,0.0,0.0,0.0,0.5943718201540362,1e-06,0.0,0.5943718201540362,30,3392.5
Aluminium,New-build,2045,China - North,greenfield,Carbon Anode+CCS + Hydro,31333.10181,2335.768822,9068.190104,13.41447044,end-state,60.0,0.07,0.0,0.0,0.0,0.0,1.135485652,0.0,0.0,0.0,-1.135485652,0.0,0.0,0.0,0.5943210242149383,1e-06,0.0,0.5943210242149383,30,3400.5
Aluminium,New-build,2044,China - North,greenfield,Carbon Anode+CCS + Hydro,31334.62909,2335.895231,9069.559139,13.41439833,end-state,60.0,0.07,0.0,0.0,0.0,0.0,1.135485652,0.0,0.0,0.0,-1.135485652,0.0,0.0,0.0,0.5942676421495106,1e-06,0.0,0.5942676421495106,30,3406.5
Aluminium,New-build,2043,China - North,greenfield,Carbon Anode+CCS + Hydro,31336.14331,2336.020559,9070.928175,13.41432685,end-state,60.0,0.07,0.0,0.0,0.0,0.0,1.135485652,0.0,0.0,0.0,-1.135485652,0.0,0.0,0.0,0.5942147165621184,1e-06,0.0,0.5942147165621184,30,3412.5
Aluminium,New-build,2042,China - North,greenfield,Carbon Anode+CCS + Hydro,31337.69292,2336.148817,9072.29721,13.41425371,end-state,60.0,0.07,0.0,0.0,0.0,0.0,1.135485652,0.0,0.0,0.0,-1.135485652,0.0,0.0,0.0,0.5941605540101256,1e-06,0.0,0.5941605540101256,30,3418.5
Aluminium,New-build,2041,China - North,greenfield,Carbon Anode+CCS + Hydro,31339.22763,2336.27584,9073.666246,13.41418128,end-state,60.0,0.07,0.0,0.0,0.0,0.0,1.135485652,0.0,0.0,0.0,-1.135485652,0.0,0.0,0.0,0.5941069122485412,1e-06,0.0,0.5941069122485412,30,3424.5
