uuid,product,region,technology,technology_classification,annual_production_capacity,annual_production_volume,cuf,year_commissioned,asset_lifetime,retrofit_status,rebuild_status,greenfield_status,stay_same_status
a41e50346ac344578d6dc01c1681d201,Aluminium,South America,Carbon Anode + Natural Gas,initial,0.46,0.37683200000000006,0.8192,1971,30,False,False,False,False
ec6389f8dff143ba8ec9d0e559a9305d,Aluminium,Oceania,Carbon Anode + Grid,transition,0.585,0.5099445,0.8717,1982,0,False,False,False,False
7fe6ff403beb489aa448b335a5ef01d4,Aluminium,Oceania,Carbon Anode + Grid,transition,0.358,0.0,0.0,1986,0,False,False,False,False
72ee0cd25917499a80182800a5cee8d7,Aluminium,Oceania,Carbon Anode + PPA+Grid,transition,0.195,0.188994,0.9692,1955,0,False,False,False,False
ffc3859dcd7047a7bc90c559be5cfb43,Aluminium,Oceania,Carbon Anode + Grid,transition,0.597,0.5910299999999999,0.99,1983,0,False,False,False,False
cce934dce3694566b6d255a022e9b6d9,Aluminium,Middle East,Carbon Anode + Grid,transition,0.055,0.051969499999999995,0.9449,2013,0,False,False,False,False
43c74a278c3a47ea84ade35063914b24,Aluminium,Middle East,Carbon Anode + Natural Gas,initial,1.561,1.5410191999999998,0.9872,1971,30,False,False,False,False
3c8c250610eb44baa80922e210c9583b,Aluminium,Rest of Europe,Carbon Anode + Grid,transition,0.35,0.0,0.0,1975,0,False,False,False,False
118008d887af4797afd7d9cab3bf9efb,Aluminium,South America,Carbon Anode + PPA+Grid,transition,0.447,0.0,0.0,2023,0,False,False,False,False
04b06533e3044011bd598148abd7997b,Aluminium,South America,Carbon Anode + PPA+Grid,transition,0.46,0.427018,0.9283,1985,0,False,False,False,False
6f8712936d264ba5a9f96cc308dd70d2,Aluminium,South America,Carbon Anode + Hydro,transition,0.475,0.45125,0.95,1955,60,False,False,False,False
414629a4be35403c8501274d7f792941,Aluminium,Africa,Carbon Anode + Grid,transition,0.1,0.049300000000000004,0.493,1954,0,False,False,False,False
5649ef23b0f44e1298a4c07da01461f7,Aluminium,Canada,Carbon Anode + PPA+Grid,transition,0.287,0.0,0.0,1992,0,False,False,False,False
32160b317ddc43038f11c4c6b1c9bf5f,Aluminium,Canada,Carbon Anode + PPA+Grid,transition,0.312,0.0,0.0,1957,0,False,False,False,False
233b7df710674b5cb9be505080fb044d,Aluminium,Canada,Carbon Anode + PPA+Grid,transition,0.622,0.6290286,1.0113,1992,0,False,False,False,False
67f15b68c13f439696becfb715f4256a,Aluminium,Canada,Carbon Anode + Hydro,transition,0.473,0.47101339999999997,0.9958,2000,60,False,False,False,False
bd306ed418ad4e068b5f13e2bd17f008,Aluminium,Canada,Carbon Anode + Hydro,transition,0.174,0.16799699999999998,0.9655,1926,60,False,False,False,False
2a3c45ebe9c64fbcba1119be8c028ff7,Aluminium,Canada,Carbon Anode + Hydro,transition,0.06,0.05793,0.9655,1926,60,False,False,False,False
465a45e068424d7db77854c6ac3da956,Aluminium,Canada,Carbon Anode + Hydro,transition,0.233,0.2319282,0.9954,1980,60,False,False,False,False
47da5a49e3694c53ab8e8de96c6db317,Aluminium,Canada,Carbon Anode + Hydro,transition,0.432,0.4104,0.95,1954,60,False,False,False,False
4b1bfe7f824d4ad28c2ba01a516fe8f6,Aluminium,Canada,Carbon Anode + Hydro,transition,0.257,0.2499839,0.9727,1989,60,False,False,False,False
752d365829814e2a8596321864772e06,Aluminium,Canada,Carbon Anode + PPA+Grid,transition,0.462,0.3999072,0.8656,1986,0,False,False,False,False
2b5ec6dbee3d4df5aeb1ab6e9f129b0d,Aluminium,Middle East,Carbon Anode + PPA+Grid,transition,0.32,0.0,0.0,1975,0,False,False,False,False
bdad567cf1af456884d177004c4bafca,Aluminium,Rest of Europe,Carbon Anode + Grid,transition,0.285,0.23369999999999996,0.82,1991,0,False,False,False,False
154d06cddca54d3c9db4b5bc38df2a61,Aluminium,Rest of Europe,Carbon Anode + Grid,transition,0.15,0.145005,0.9667,1907,0,False,False,False,False
80c3bd4d42c0443b8e5e2619afc8be79,Aluminium,Rest of Europe,Carbon Anode + Grid,transition,0.235,0.0,0.0,1962,0,False,False,False,False
264c4c903e134d81b5b95e8f51758520,Aluminium,Rest of Europe,Carbon Anode + Grid,transition,0.165,0.165,1.0,1971,0,False,False,False,False
7b2744a8ba8c490dbe054b06adf32b15,Aluminium,Rest of Europe,Carbon Anode + Grid,transition,0.135,0.135,1.0,1970,0,False,False,False,False
29ea535699af4c4893487ce852dca0c6,Aluminium,Rest of Europe,Carbon Anode + Grid,transition,0.095,0.095,1.0,1971,0,False,False,False,False
2880fa2f80de4c33bef8a823a520c05a,Aluminium,Africa,Carbon Anode + PPA+Grid,transition,0.2,0.0,0.0,1967,0,False,False,False,False
433289b0272942918970cde061ff1eff,Aluminium,Rest of Europe,Carbon Anode + Natural Gas,initial,0.19,0.183597,0.9663,1960,30,False,False,False,False
fd08bf7773a145d0937d79def1b77f39,Aluminium,Scandinavia,Carbon Anode + PPA+Grid,transition,0.351,0.0,0.0,2007,0,False,False,False,False
a97f24e4b172433ca7def7233d611efd,Aluminium,Scandinavia,Carbon Anode + PPA+Grid,transition,0.317,0.3130058,0.9874,1998,0,False,False,False,False
9a4b90fcd1864cb484a78d4c9202695d,Aluminium,Scandinavia,Carbon Anode + PPA+Grid,transition,0.212,0.20299,0.9575,1969,0,False,False,False,False
b97e75dc0d7146978a595d61e197a3a6,Aluminium,Rest of Asia,Carbon Anode + Coal,initial,0.36,0.361764,1.0049,2013,30,False,False,False,False
d2183db3248640d5a3dca564ca095c8f,Aluminium,Rest of Asia,Carbon Anode + Coal,initial,0.216,0.154116,0.7135,2013,30,False,False,False,False
ff77c630441c4041a9f2789a9b1d9126,Aluminium,Rest of Asia,Carbon Anode + Coal,initial,0.359,0.3571332,0.9948,2015,30,False,False,False,False
35740adecc134a57b8de55e6fd8e2872,Aluminium,Rest of Asia,Carbon Anode + Coal,initial,0.41,0.409057,0.9977,1962,30,False,False,False,False
b34f2c051c1c44b7863023d7af6b0e37,Aluminium,Rest of Asia,Carbon Anode + Coal,initial,0.46,0.41850800000000005,0.9098,1987,30,False,False,False,False
