product,technology,region,year,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream
Alumina,Coal-Boiler + Elec-Calciner,Africa,2020,0.792741484,,0,,
Alumina,Coal-Boiler + Elec-Calciner,China - Central,2020,0.729057284,,0,,
Alumina,Coal-Boiler + Elec-Calciner,China - East,2020,0.729057284,,0,,
Alumina,Coal-Boiler + Elec-Calciner,China - North,2020,0.729057284,,0,,
Alumina,Coal-Boiler + Elec-Calciner,China - North East,2020,0.729057284,,0,,
Alumina,Coal-Boiler + Elec-Calciner,China - North West,2020,0.729057284,,0,,
Alumina,Coal-Boiler + Elec-Calciner,China - South,2020,0.729057284,,0,,
Alumina,Coal-Boiler + Elec-Calciner,Rest of Europe,2020,0.965618726,,0,,
Alumina,Coal-Boiler + Elec-Calciner,Middle East,2020,0.741244637,,0,,
Alumina,Coal-Boiler + Elec-Calciner,US,2020,0.730043544,,0,,
Alumina,Coal-Boiler + Elec-Calciner,Oceania,2020,0.73652468,,0,,
Alumina,Coal-Boiler + Elec-Calciner,Rest of Asia,2020,0.792741484,,0,,
Alumina,Coal-Boiler + Elec-Calciner,Russia,2020,0.965618726,,0,,
Alumina,Coal-Boiler + Elec-Calciner,South America,2020,0.583090844,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Africa,2020,1.000691363,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - Central,2020,0.92030169,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - East,2020,0.92030169,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - North,2020,0.92030169,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - North East,2020,0.92030169,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - North West,2020,0.92030169,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - South,2020,0.92030169,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Rest of Europe,2020,1.218917312,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Middle East,2020,0.935685997,,0,,
Alumina,Coal-Boiler + Gas-Calciner,US,2020,0.921546663,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Oceania,2020,0.929727913,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Rest of Asia,2020,1.000691363,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Russia,2020,1.218917312,,0,,
Alumina,Coal-Boiler + Gas-Calciner,South America,2020,0.736045714,,0,,
Alumina,Coal-Boiler + H2-Calciner,Africa,2020,0.792741484,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - Central,2020,0.729057284,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - East,2020,0.729057284,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - North,2020,0.729057284,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - North East,2020,0.729057284,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - North West,2020,0.729057284,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - South,2020,0.729057284,,0,,
Alumina,Coal-Boiler + H2-Calciner,Rest of Europe,2020,0.965618726,,0,,
Alumina,Coal-Boiler + H2-Calciner,Middle East,2020,0.741244637,,0,,
Alumina,Coal-Boiler + H2-Calciner,US,2020,0.730043544,,0,,
Alumina,Coal-Boiler + H2-Calciner,Oceania,2020,0.73652468,,0,,
Alumina,Coal-Boiler + H2-Calciner,Rest of Asia,2020,0.792741484,,0,,
Alumina,Coal-Boiler + H2-Calciner,Russia,2020,0.965618726,,0,,
Alumina,Coal-Boiler + H2-Calciner,South America,2020,0.583090844,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Africa,2020,1.066453581,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - Central,2020,0.980780957,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - East,2020,0.980780957,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - North,2020,0.980780957,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - North East,2020,0.980780957,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - North West,2020,0.980780957,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - South,2020,0.980780957,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Rest of Europe,2020,1.299020637,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Middle East,2020,0.997176271,,0,,
Alumina,Coal-Boiler + Oil-Calciner,US,2020,0.982107745,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Oceania,2020,0.990826641,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Rest of Asia,2020,1.066453581,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Russia,2020,1.299020637,,0,,
Alumina,Coal-Boiler + Oil-Calciner,South America,2020,0.78441627,,0,,
Alumina,Elec-Boiler + Elec-Calciner,Africa,2020,0,,0,,
Alumina,Elec-Boiler + Elec-Calciner,China - Central,2020,0,,0,,
Alumina,Elec-Boiler + Elec-Calciner,China - East,2020,0,,0,,
Alumina,Elec-Boiler + Elec-Calciner,China - North,2020,0,,0,,
Alumina,Elec-Boiler + Elec-Calciner,China - North East,2020,0,,0,,
Alumina,Elec-Boiler + Elec-Calciner,China - North West,2020,0,,0,,
Alumina,Elec-Boiler + Elec-Calciner,China - South,2020,0,,0,,
Alumina,Elec-Boiler + Elec-Calciner,Rest of Europe,2020,0,,0,,
Alumina,Elec-Boiler + Elec-Calciner,Middle East,2020,0,,0,,
Alumina,Elec-Boiler + Elec-Calciner,US,2020,0,,0,,
Alumina,Elec-Boiler + Elec-Calciner,Oceania,2020,0,,0,,
Alumina,Elec-Boiler + Elec-Calciner,Rest of Asia,2020,0,,0,,
Alumina,Elec-Boiler + Elec-Calciner,Russia,2020,0,,0,,
Alumina,Elec-Boiler + Elec-Calciner,South America,2020,0,,0,,
Alumina,Elec-Boiler + Gas-Calciner,Africa,2020,0.207949879,,0,,
Alumina,Elec-Boiler + Gas-Calciner,China - Central,2020,0.191244406,,0,,
Alumina,Elec-Boiler + Gas-Calciner,China - East,2020,0.191244406,,0,,
Alumina,Elec-Boiler + Gas-Calciner,China - North,2020,0.191244406,,0,,
Alumina,Elec-Boiler + Gas-Calciner,China - North East,2020,0.191244406,,0,,
Alumina,Elec-Boiler + Gas-Calciner,China - North West,2020,0.191244406,,0,,
Alumina,Elec-Boiler + Gas-Calciner,China - South,2020,0.191244406,,0,,
Alumina,Elec-Boiler + Gas-Calciner,Rest of Europe,2020,0.253298586,,0,,
Alumina,Elec-Boiler + Gas-Calciner,Middle East,2020,0.19444136,,0,,
Alumina,Elec-Boiler + Gas-Calciner,US,2020,0.191503119,,0,,
Alumina,Elec-Boiler + Gas-Calciner,Oceania,2020,0.193203233,,0,,
Alumina,Elec-Boiler + Gas-Calciner,Rest of Asia,2020,0.207949879,,0,,
Alumina,Elec-Boiler + Gas-Calciner,Russia,2020,0.253298586,,0,,
Alumina,Elec-Boiler + Gas-Calciner,South America,2020,0.15295487,,0,,
Alumina,Elec-Boiler + H2-Calciner,Africa,2020,0,,0,,
Alumina,Elec-Boiler + H2-Calciner,China - Central,2020,0,,0,,
Alumina,Elec-Boiler + H2-Calciner,China - East,2020,0,,0,,
Alumina,Elec-Boiler + H2-Calciner,China - North,2020,0,,0,,
Alumina,Elec-Boiler + H2-Calciner,China - North East,2020,0,,0,,
Alumina,Elec-Boiler + H2-Calciner,China - North West,2020,0,,0,,
Alumina,Elec-Boiler + H2-Calciner,China - South,2020,0,,0,,
Alumina,Elec-Boiler + H2-Calciner,Rest of Europe,2020,0,,0,,
Alumina,Elec-Boiler + H2-Calciner,Middle East,2020,0,,0,,
Alumina,Elec-Boiler + H2-Calciner,US,2020,0,,0,,
Alumina,Elec-Boiler + H2-Calciner,Oceania,2020,0,,0,,
Alumina,Elec-Boiler + H2-Calciner,Rest of Asia,2020,0,,0,,
Alumina,Elec-Boiler + H2-Calciner,Russia,2020,0,,0,,
Alumina,Elec-Boiler + H2-Calciner,South America,2020,0,,0,,
Alumina,Elec-Boiler + Oil-Calciner,Africa,2020,0.273712096,,0,,
Alumina,Elec-Boiler + Oil-Calciner,China - Central,2020,0.251723672,,0,,
Alumina,Elec-Boiler + Oil-Calciner,China - East,2020,0.251723672,,0,,
Alumina,Elec-Boiler + Oil-Calciner,China - North,2020,0.251723672,,0,,
Alumina,Elec-Boiler + Oil-Calciner,China - North East,2020,0.251723672,,0,,
Alumina,Elec-Boiler + Oil-Calciner,China - North West,2020,0.251723672,,0,,
Alumina,Elec-Boiler + Oil-Calciner,China - South,2020,0.251723672,,0,,
Alumina,Elec-Boiler + Oil-Calciner,Rest of Europe,2020,0.333401911,,0,,
Alumina,Elec-Boiler + Oil-Calciner,Middle East,2020,0.255931634,,0,,
Alumina,Elec-Boiler + Oil-Calciner,US,2020,0.252064201,,0,,
Alumina,Elec-Boiler + Oil-Calciner,Oceania,2020,0.254301961,,0,,
Alumina,Elec-Boiler + Oil-Calciner,Rest of Asia,2020,0.273712096,,0,,
Alumina,Elec-Boiler + Oil-Calciner,Russia,2020,0.333401911,,0,,
Alumina,Elec-Boiler + Oil-Calciner,South America,2020,0.201325426,,0,,
Alumina,Gas-Boiler + Elec-Calciner,Africa,2020,0.442732,,0,,
Alumina,Gas-Boiler + Elec-Calciner,China - Central,2020,0.407165509,,0,,
Alumina,Gas-Boiler + Elec-Calciner,China - East,2020,0.407165509,,0,,
Alumina,Gas-Boiler + Elec-Calciner,China - North,2020,0.407165509,,0,,
Alumina,Gas-Boiler + Elec-Calciner,China - North East,2020,0.407165509,,0,,
Alumina,Gas-Boiler + Elec-Calciner,China - North West,2020,0.407165509,,0,,
Alumina,Gas-Boiler + Elec-Calciner,China - South,2020,0.407165509,,0,,
Alumina,Gas-Boiler + Elec-Calciner,Rest of Europe,2020,0.539280861,,0,,
Alumina,Gas-Boiler + Elec-Calciner,Middle East,2020,0.413971928,,0,,
Alumina,Gas-Boiler + Elec-Calciner,US,2020,0.407716317,,0,,
Alumina,Gas-Boiler + Elec-Calciner,Oceania,2020,0.411335916,,0,,
Alumina,Gas-Boiler + Elec-Calciner,Rest of Asia,2020,0.442732,,0,,
Alumina,Gas-Boiler + Elec-Calciner,Russia,2020,0.539280861,,0,,
Alumina,Gas-Boiler + Elec-Calciner,South America,2020,0.325645852,,0,,
Alumina,Gas-Boiler + Gas-Calciner,Africa,2020,0.650681879,,0,,
Alumina,Gas-Boiler + Gas-Calciner,China - Central,2020,0.598409915,,0,,
Alumina,Gas-Boiler + Gas-Calciner,China - East,2020,0.598409915,,0,,
Alumina,Gas-Boiler + Gas-Calciner,China - North,2020,0.598409915,,0,,
Alumina,Gas-Boiler + Gas-Calciner,China - North East,2020,0.598409915,,0,,
Alumina,Gas-Boiler + Gas-Calciner,China - North West,2020,0.598409915,,0,,
Alumina,Gas-Boiler + Gas-Calciner,China - South,2020,0.598409915,,0,,
Alumina,Gas-Boiler + Gas-Calciner,Rest of Europe,2020,0.792579447,,0,,
Alumina,Gas-Boiler + Gas-Calciner,Middle East,2020,0.608413288,,0,,
Alumina,Gas-Boiler + Gas-Calciner,US,2020,0.599219436,,0,,
Alumina,Gas-Boiler + Gas-Calciner,Oceania,2020,0.604539149,,0,,
Alumina,Gas-Boiler + Gas-Calciner,Rest of Asia,2020,0.650681879,,0,,
Alumina,Gas-Boiler + Gas-Calciner,Russia,2020,0.792579447,,0,,
Alumina,Gas-Boiler + Gas-Calciner,South America,2020,0.478600721,,0,,
Alumina,Gas-Boiler + H2-Calciner,Africa,2020,0.442732,,0,,
Alumina,Gas-Boiler + H2-Calciner,China - Central,2020,0.407165509,,0,,
Alumina,Gas-Boiler + H2-Calciner,China - East,2020,0.407165509,,0,,
Alumina,Gas-Boiler + H2-Calciner,China - North,2020,0.407165509,,0,,
Alumina,Gas-Boiler + H2-Calciner,China - North East,2020,0.407165509,,0,,
Alumina,Gas-Boiler + H2-Calciner,China - North West,2020,0.407165509,,0,,
Alumina,Gas-Boiler + H2-Calciner,China - South,2020,0.407165509,,0,,
Alumina,Gas-Boiler + H2-Calciner,Rest of Europe,2020,0.539280861,,0,,
Alumina,Gas-Boiler + H2-Calciner,Middle East,2020,0.413971928,,0,,
Alumina,Gas-Boiler + H2-Calciner,US,2020,0.407716317,,0,,
Alumina,Gas-Boiler + H2-Calciner,Oceania,2020,0.411335916,,0,,
Alumina,Gas-Boiler + H2-Calciner,Rest of Asia,2020,0.442732,,0,,
Alumina,Gas-Boiler + H2-Calciner,Russia,2020,0.539280861,,0,,
Alumina,Gas-Boiler + H2-Calciner,South America,2020,0.325645852,,0,,
Alumina,Gas-Boiler + Oil-Calciner,Africa,2020,0.716444097,,0,,
Alumina,Gas-Boiler + Oil-Calciner,China - Central,2020,0.658889181,,0,,
Alumina,Gas-Boiler + Oil-Calciner,China - East,2020,0.658889181,,0,,
Alumina,Gas-Boiler + Oil-Calciner,China - North,2020,0.658889181,,0,,
Alumina,Gas-Boiler + Oil-Calciner,China - North East,2020,0.658889181,,0,,
Alumina,Gas-Boiler + Oil-Calciner,China - North West,2020,0.658889181,,0,,
Alumina,Gas-Boiler + Oil-Calciner,China - South,2020,0.658889181,,0,,
Alumina,Gas-Boiler + Oil-Calciner,Rest of Europe,2020,0.872682772,,0,,
Alumina,Gas-Boiler + Oil-Calciner,Middle East,2020,0.669903562,,0,,
Alumina,Gas-Boiler + Oil-Calciner,US,2020,0.659780519,,0,,
Alumina,Gas-Boiler + Oil-Calciner,Oceania,2020,0.665637877,,0,,
Alumina,Gas-Boiler + Oil-Calciner,Rest of Asia,2020,0.716444097,,0,,
Alumina,Gas-Boiler + Oil-Calciner,Russia,2020,0.872682772,,0,,
Alumina,Gas-Boiler + Oil-Calciner,South America,2020,0.526971278,,0,,
Alumina,H2-Boiler + Elec-Calciner,Africa,2020,0,,0,,
Alumina,H2-Boiler + Elec-Calciner,China - Central,2020,0,,0,,
Alumina,H2-Boiler + Elec-Calciner,China - East,2020,0,,0,,
Alumina,H2-Boiler + Elec-Calciner,China - North,2020,0,,0,,
Alumina,H2-Boiler + Elec-Calciner,China - North East,2020,0,,0,,
Alumina,H2-Boiler + Elec-Calciner,China - North West,2020,0,,0,,
Alumina,H2-Boiler + Elec-Calciner,China - South,2020,0,,0,,
Alumina,H2-Boiler + Elec-Calciner,Rest of Europe,2020,0,,0,,
Alumina,H2-Boiler + Elec-Calciner,Middle East,2020,0,,0,,
Alumina,H2-Boiler + Elec-Calciner,US,2020,0,,0,,
Alumina,H2-Boiler + Elec-Calciner,Oceania,2020,0,,0,,
Alumina,H2-Boiler + Elec-Calciner,Rest of Asia,2020,0,,0,,
Alumina,H2-Boiler + Elec-Calciner,Russia,2020,0,,0,,
Alumina,H2-Boiler + Elec-Calciner,South America,2020,0,,0,,
Alumina,H2-Boiler + Gas-Calciner,Africa,2020,0.207949879,,0,,
Alumina,H2-Boiler + Gas-Calciner,China - Central,2020,0.191244406,,0,,
Alumina,H2-Boiler + Gas-Calciner,China - East,2020,0.191244406,,0,,
Alumina,H2-Boiler + Gas-Calciner,China - North,2020,0.191244406,,0,,
Alumina,H2-Boiler + Gas-Calciner,China - North East,2020,0.191244406,,0,,
Alumina,H2-Boiler + Gas-Calciner,China - North West,2020,0.191244406,,0,,
Alumina,H2-Boiler + Gas-Calciner,China - South,2020,0.191244406,,0,,
Alumina,H2-Boiler + Gas-Calciner,Rest of Europe,2020,0.253298586,,0,,
Alumina,H2-Boiler + Gas-Calciner,Middle East,2020,0.19444136,,0,,
Alumina,H2-Boiler + Gas-Calciner,US,2020,0.191503119,,0,,
Alumina,H2-Boiler + Gas-Calciner,Oceania,2020,0.193203233,,0,,
Alumina,H2-Boiler + Gas-Calciner,Rest of Asia,2020,0.207949879,,0,,
Alumina,H2-Boiler + Gas-Calciner,Russia,2020,0.253298586,,0,,
Alumina,H2-Boiler + Gas-Calciner,South America,2020,0.15295487,,0,,
Alumina,H2-Boiler + H2-Calciner,Africa,2020,0,,0,,
Alumina,H2-Boiler + H2-Calciner,China - Central,2020,0,,0,,
Alumina,H2-Boiler + H2-Calciner,China - East,2020,0,,0,,
Alumina,H2-Boiler + H2-Calciner,China - North,2020,0,,0,,
Alumina,H2-Boiler + H2-Calciner,China - North East,2020,0,,0,,
Alumina,H2-Boiler + H2-Calciner,China - North West,2020,0,,0,,
Alumina,H2-Boiler + H2-Calciner,China - South,2020,0,,0,,
Alumina,H2-Boiler + H2-Calciner,Rest of Europe,2020,0,,0,,
