product,scenario,year,value,region
Aluminium,1.5deg,2020,65.287618,Global
Aluminium,1.5deg,2021,67.46786323,Global
Aluminium,1.5deg,2022,65.11343773,Global
Aluminium,1.5deg,2023,64.67568594,Global
Aluminium,1.5deg,2024,65.17000135,Global
Aluminium,1.5deg,2025,64.51741305,Global
Aluminium,1.5deg,2026,63.85679314,Global
Aluminium,1.5deg,2027,62.60578761,Global
Aluminium,1.5deg,2028,62.87416283,Global
Aluminium,1.5deg,2029,63.23930776,Global
Aluminium,1.5deg,2030,65.62637778,Global
Aluminium,1.5deg,2031,67.49776584,Global
Aluminium,1.5deg,2032,69.4692475,Global
Aluminium,1.5deg,2033,68.92001494,Global
Aluminium,1.5deg,2034,68.89077794,Global
Aluminium,1.5deg,2035,69.03668629,Global
Aluminium,1.5deg,2036,69.4679815,Global
Aluminium,1.5deg,2037,69.64774168,Global
Aluminium,1.5deg,2038,69.95894377,Global
Aluminium,1.5deg,2039,70.3995118,Global
Aluminium,1.5deg,2040,71.06482358,Global
Aluminium,1.5deg,2041,71.97120037,Global
Aluminium,1.5deg,2042,71.70505105,Global
Aluminium,1.5deg,2043,70.99909044,Global
Aluminium,1.5deg,2044,70.48126672,Global
Aluminium,1.5deg,2045,69.9785097,Global
Aluminium,1.5deg,2046,69.49809216,Global
Aluminium,1.5deg,2047,69.0442397,Global
Aluminium,1.5deg,2048,68.61848632,Global
Aluminium,1.5deg,2049,68.22614419,Global
Aluminium,1.5deg,2050,67.87475581,Global
Aluminium,1.5deg,2020,37.337,China
Aluminium,1.5deg,2020,3.540377995,Rest of Europe
Aluminium,1.5deg,2020,1.574388443,US
Aluminium,1.5deg,2020,1.007365,South America
Aluminium,1.5deg,2020,6.185514,Middle East
Aluminium,1.5deg,2020,5.177695196,Rest of Asia
Aluminium,1.5deg,2020,2.092977321,Africa
Aluminium,1.5deg,2020,2.114712086,Oceania
Aluminium,1.5deg,2020,3.747234397,Russia
Aluminium,1.5deg,2021,39.83013526,China
Aluminium,1.5deg,2021,3.398762875,Rest of Europe
Aluminium,1.5deg,2021,1.574388443,US
Aluminium,1.5deg,2021,0.93684945,South America
Aluminium,1.5deg,2021,6.185514,Middle East
Aluminium,1.5deg,2021,5.081348794,Rest of Asia
Aluminium,1.5deg,2021,2.092977321,Africa
Aluminium,1.5deg,2021,2.114712086,Oceania
Aluminium,1.5deg,2021,3.747234397,Russia
Aluminium,1.5deg,2022,38.11919588,China
Aluminium,1.5deg,2022,3.228824732,Rest of Europe
Aluminium,1.5deg,2022,1.511412905,US
Aluminium,1.5deg,2022,0.93684945,South America
Aluminium,1.5deg,2022,5.8762383,Middle East
Aluminium,1.5deg,2022,5.081348794,Rest of Asia
Aluminium,1.5deg,2022,2.092977321,Africa
Aluminium,1.5deg,2022,2.114712086,Oceania
Aluminium,1.5deg,2022,3.747234397,Russia
Aluminium,1.5deg,2023,37.68144409,China
Aluminium,1.5deg,2023,3.228824732,Rest of Europe
Aluminium,1.5deg,2023,1.511412905,US
Aluminium,1.5deg,2023,0.93684945,South America
Aluminium,1.5deg,2023,5.8762383,Middle East
Aluminium,1.5deg,2023,5.081348794,Rest of Asia
