product,scenario,region,year,value
Ammonia,BAU,Global,2020,62.76627512
Ammonia,BAU,North America,2020,6.180138522
Ammonia,BAU,Latin America,2020,3.529098848
Ammonia,BAU,Africa,2020,3.276861053
Ammonia,BAU,Middle East,2020,6.946810399
Ammonia,BAU,Russia,2020,4.673955684
Ammonia,BAU,Europe,2020,5.759207806
Ammonia,BAU,China,2020,14.36001501
Ammonia,BAU,India,2020,6.093615316
Ammonia,BAU,Rest of Asia,2020,11.17214137
Ammonia,BAU,Oceania,2020,0.774431113
Ammonium nitrate,BAU,Global,2020,49.26857777
Ammonium nitrate,BAU,North America,2020,4.851118452
Ammonium nitrate,BAU,Latin America,2020,2.77017683
Ammonium nitrate,BAU,Africa,2020,2.572182009
Ammonium nitrate,BAU,Middle East,2020,5.452919864
Ammonium nitrate,BAU,Russia,2020,3.668835672
Ammonium nitrate,BAU,Europe,2020,4.520707611
Ammonium nitrate,BAU,China,2020,11.27193727
Ammonium nitrate,BAU,India,2020,4.783201799
Ammonium nitrate,BAU,Rest of Asia,2020,8.769606209
Ammonium nitrate,BAU,Oceania,2020,0.607892048
Urea,BAU,Global,2020,179.2947629
Urea,BAU,North America,2020,17.65385103
Urea,BAU,Latin America,2020,10.0810338
Urea,BAU,Africa,2020,9.360504895
Urea,BAU,Middle East,2020,19.84388465
Urea,BAU,Russia,2020,13.35137022
Urea,BAU,Europe,2020,16.45144301
Urea,BAU,China,2020,41.02004589
Urea,BAU,India,2020,17.4066935
Urea,BAU,Rest of Asia,2020,31.91373766
Urea,BAU,Oceania,2020,2.212198231
Ammonia,BAU,Global,2021,63.86101085
Ammonia,BAU,North America,2021,6.287942022
Ammonia,BAU,Latin America,2021,3.590654714
Ammonia,BAU,Africa,2021,3.334012471
Ammonia,BAU,Middle East,2021,7.067945329
Ammonia,BAU,Russia,2021,4.755469543
Ammonia,BAU,Europe,2021,5.859656168
Ammonia,BAU,China,2021,14.36001501
Ammonia,BAU,India,2021,6.199901996
Ammonia,BAU,Rest of Asia,2021,11.6012379
Ammonia,BAU,Oceania,2021,0.804175698
Ammonium nitrate,BAU,Global,2021,50.1278939
Ammonium nitrate,BAU,North America,2021,4.935739136
Ammonium nitrate,BAU,Latin America,2021,2.818495294
Ammonium nitrate,BAU,Africa,2021,2.617043187
Ammonium nitrate,BAU,Middle East,2021,5.548005095
Ammonium nitrate,BAU,Russia,2021,3.732820222
Ammonium nitrate,BAU,Europe,2021,4.599554858
Ammonium nitrate,BAU,China,2021,11.27193727
Ammonium nitrate,BAU,India,2021,4.866631851
Ammonium nitrate,BAU,Rest of Asia,2021,9.106426829
Ammonium nitrate,BAU,Oceania,2021,0.63124015
Urea,BAU,Global,2021,182.421926
Urea,BAU,North America,2021,17.96179671
Urea,BAU,Latin America,2021,10.25687098
Urea,BAU,Africa,2021,9.523760558
Urea,BAU,Middle East,2021,20.18991217
Urea,BAU,Russia,2021,13.58421832
Urea,BAU,Europe,2021,16.73837839
