region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Africa,666,666,581,536,507,485,470,455,440,425,410,399,388,378,367,356,347,339,330,321,313,306,299,292,285,278,272,267,261,255,250
Australia,792,792,648,577,531,498,480.4,462.8,445.2,427.6,410,399,388,378,367,356,347,339,330,321,313,306,299,292,285,278,272,267,261,255,250
Brazil,707,707,601,547,511,485,470,455,440,425,410,399,388,378,367,356,347,339,330,321,313,306,299,292,285,278,272,267,261,255,250
China,520,504,487,471,454,437,425.6,414.2,402.8,391.4,380,371,363,355,347,338,332,325,319,312,306,301,296,291,286,281,277,273,268,264,260
Europe,666,666,581,536,507,485,470,455,440,425,410,399,388,378,367,356,347,339,330,321,313,306,299,292,285,278,272,267,261,255,250
India,384,384,384,384,384,384,384,384,384,384,384,378,373,367,362,356,347,339,330,321,313,306,299,292,285,278,272,267,261,255,250
Latin America,707,707,601,547,511,485,470,455,440,425,410,399,388,378,367,356,347,339,330,321,313,306,299,292,285,278,272,267,261,255,250
Middle East,530,530,510,499,491,485,470,455,440,425,410,399,388,378,367,356,347,339,330,321,313,306,299,292,285,278,272,267,261,255,250
Namibia,666,666,581,536,507,485,470,455,440,425,410,399,388,378,367,356,347,339,330,321,313,306,299,292,285,278,272,267,261,255,250
North America,772,728,684,640,596,552,528.4,504.8,481.2,457.6,434,419,403,387,372,356,347,339,330,321,313,306,299,292,285,278,272,267,261,255,250
Oceania,792,792,648,577,531,498,480.4,462.8,445.2,427.6,410,399,388,378,367,356,347,339,330,321,313,306,299,292,285,278,272,267,261,255,250
Rest of Asia,666,666,581,536,507,485,470,455,440,425,410,399,388,378,367,356,347,339,330,321,313,306,299,292,285,278,272,267,261,255,250
Russia,666,666,581,536,507,485,470,455,440,425,410,399,388,378,367,356,347,339,330,321,313,306,299,292,285,278,272,267,261,255,250
Saudi Arabia,530,530,510,499,491,485,470,455,440,425,410,399,388,378,367,356,347,339,330,321,313,306,299,292,285,278,272,267,261,255,250
