region,solar_share,wind_share,solar_cf,wind_cf
China, 0.33 , 0.67 , 0.16 , 0.40 
Rest of Asia, 0.49 , 0.51 , 0.17 , 0.35 
North America, 0.37 , 0.63 , 0.19 , 0.42 
Russia, 0.33 , 0.67 , 0.13 , 0.40 
Europe, 0.33 , 0.67 , 0.11 , 0.42 
India, 0.40 , 0.60 , 0.19 , 0.38 
Middle East, 0.86 , 0.14 , 0.20 , 0.39 
Africa, 0.63 , 0.37 , 0.21 , 0.42 
Latin America, 0.80 , 0.20 , 0.20 , 0.45 
Oceania, 0.76 , 0.24 , 0.20 , 0.42 
Brazil, 0.40 , 0.60 , 0.26 , 0.49 
Saudi Arabia, 0.56 , 0.44 , 0.25 , 0.40 
Namibia, 0.63 , 0.37 , 0.28 , 0.42 
Australia, 0.76 , 0.24 , 0.26 , 0.49 
