product,year,region,name,technology_destination,unit,electrolyser_hydrogen_proportion
Ammonia,2020,China,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,China,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,China,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,Rest of Asia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Rest of Asia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,Rest of Asia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,North America,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,North America,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,North America,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,Russia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Russia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,Russia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,Europe,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Europe,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,Europe,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,India,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,India,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,India,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,Middle East,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Middle East,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,Middle East,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,Africa,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Africa,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,Africa,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,Latin America,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Latin America,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,Latin America,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,Oceania,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Oceania,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,Oceania,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,Brazil,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Brazil,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,Brazil,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,Saudi Arabia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Saudi Arabia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,Saudi Arabia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,Namibia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Namibia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,Namibia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,Australia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Australia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Urea,2020,Australia,Proportion of H2 produced via electrolysis,Electrolyser + SMR + ammonia synthesis,%,0.1
Ammonia,2020,China,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonium nitrate,2020,China,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Urea,2020,China,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonia,2020,Rest of Asia,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Rest of Asia,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Urea,2020,Rest of Asia,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonia,2020,North America,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonium nitrate,2020,North America,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Urea,2020,North America,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonia,2020,Russia,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Russia,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Urea,2020,Russia,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonia,2020,Europe,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Europe,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Urea,2020,Europe,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonia,2020,India,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonium nitrate,2020,India,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Urea,2020,India,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonia,2020,Middle East,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Middle East,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Urea,2020,Middle East,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonia,2020,Africa,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Africa,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Urea,2020,Africa,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonia,2020,Latin America,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Latin America,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Urea,2020,Latin America,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonia,2020,Oceania,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Oceania,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Urea,2020,Oceania,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonia,2020,Brazil,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Brazil,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Urea,2020,Brazil,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonia,2020,Saudi Arabia,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Saudi Arabia,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Urea,2020,Saudi Arabia,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonia,2020,Namibia,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
Ammonium nitrate,2020,Namibia,Proportion of H2 produced via electrolysis,Electrolyser + Coal Gasification + ammonia synthesis,%,0.1
