uuid,product,region,technology,technology_classification,annual_production_capacity,annual_production_volume,cuf,year_commissioned,asset_lifetime,retrofit_status,rebuild_status,greenfield_status,stay_same_status
41b5caf8057b4ba4a8a4c19d49aff747,Ammonia,North America,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2008.16666667,30,False,False,False,False
77018c4179c4410684bd781987353fec,Ammonia,North America,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2008.16666667,30,False,False,False,False
0227fd063d324e29a7d11ebfa17ab3c7,Ammonia,North America,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2008.16666667,30,False,False,False,False
60e0666262c24230b6f15c69ce625be1,Ammonia,North America,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2008.16666667,30,False,False,False,False
08b3de7c553b4f918ecb924fd7a1bd9b,Ammonia,North America,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2008.16666667,30,False,False,False,False
a344b08aec0a411d94bb53e91b28d7ca,Ammonia,North America,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2008.16666667,30,False,False,False,False
266e179e336d470e9fd0a4a29ca808b8,Ammonia,North America,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2008.16666667,30,False,False,False,False
da2f7345c6834a549af8cd96208a04a7,Ammonia,North America,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2008.16666667,30,False,False,False,False
d04558a61f1a4e76b7e9ce556ab8b7c4,Ammonia,Latin America,Natural Gas SMR + ammonia synthesis,initial,1,0.95,0.95,2007.0,30,False,False,False,False
53b0a82b6eac44608915aeec99c91a58,Ammonia,Latin America,Natural Gas SMR + ammonia synthesis,initial,1,0.95,0.95,2007.0,30,False,False,False,False
f36fffb5524b4d778324e477e36eba7d,Ammonia,Latin America,Natural Gas SMR + ammonia synthesis,initial,1,0.95,0.95,2007.0,30,False,False,False,False
44144bb22e314f588f392b8d2289dac0,Ammonia,Latin America,Natural Gas SMR + ammonia synthesis,initial,1,0.95,0.95,2007.0,30,False,False,False,False
c7bd6b247d6b4e1e88f5e5a8c6d3a8a2,Ammonia,Latin America,Natural Gas SMR + ammonia synthesis,initial,1,0.95,0.95,2007.0,30,False,False,False,False
3421c3a8214e401196d26df3a0d9e691,Ammonia,Africa,Natural Gas SMR + ammonia synthesis,initial,1,0.95,0.95,2010.58,30,False,False,False,False
b4a5aba55cbe49fda53e553f15b2a7cc,Ammonia,Africa,Natural Gas SMR + ammonia synthesis,initial,1,0.95,0.95,2010.58,30,False,False,False,False
e9a4f59105b94e70a4106238935108b4,Ammonia,Middle East,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2007.18253968,30,False,False,False,False
b33dc7cbc3f04d05a5c1e344ffea67a8,Ammonia,Middle East,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2007.18253968,30,False,False,False,False
d7c9a971fd0a4a789950e222e9c22ea9,Ammonia,Middle East,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2007.18253968,30,False,False,False,False
b04912f7120d42faa836ab2536642733,Ammonia,Middle East,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2007.18253968,30,False,False,False,False
73b54dc130514751b68765a9e41a3ed0,Ammonia,Middle East,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2007.18253968,30,False,False,False,False
043ba7b2251249d28392649172d8eae5,Ammonia,Russia,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2011.25,30,False,False,False,False
7e0b9f1e2e23450d90a1e46edfc59ae3,Ammonia,Russia,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2011.25,30,False,False,False,False
b1fbf6a1a78e4a50bd5cbbd2dd414389,Ammonia,Russia,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2011.25,30,False,False,False,False
70fd27c7fec047399d60fadd0c0efd2d,Ammonia,Russia,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2011.25,30,False,False,False,False
bc573b6b70a845019d9e482df61d424a,Ammonia,Russia,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2011.25,30,False,False,False,False
35288f33045d48a0bf7a17f77a3be729,Ammonia,Russia,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2011.25,30,False,False,False,False
baa36f130ad543d2bcae5e5d3b25992b,Ammonia,Russia,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2011.25,30,False,False,False,False
6bbc941eda5a45439f1c1e249a439f6f,Ammonia,Russia,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2011.25,30,False,False,False,False
b88e6e1fa3924c029a57b965cf0b1a8d,Ammonia,Russia,Natural Gas SMR + ammonia synthesis,initial,1,0.961719511,0.961719511,2011.25,30,False,False,False,False
f82068f64e3d47549ac7115da5a2f298,Ammonia,Europe,Natural Gas SMR + ammonia synthesis,initial,1,0.95,0.95,1999.87619048,30,False,False,False,False
756eabbbbfa74a0eba3e7a175f2a7673,Ammonia,Europe,Natural Gas SMR + ammonia synthesis,initial,1,0.95,0.95,1999.87619048,30,False,False,False,False
