product,year,region,name,scope,emissivity_type,scenario,unit,emission_factor_ch4
Ammonia,2020,China,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,China,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,China,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,North America,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,North America,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,North America,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,Rest of Asia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,Rest of Asia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,Rest of Asia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,Russia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,Russia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,Russia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,Europe,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,Europe,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,Europe,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,India,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,India,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,India,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,Middle East,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,Middle East,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,Middle East,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,Africa,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,Africa,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,Africa,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,Latin America,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,Latin America,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,Latin America,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,Oceania,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,Oceania,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,Oceania,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,China,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003262040868018
Ammonium nitrate,2020,China,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003262040868018
Urea,2020,China,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003262040868018
Ammonia,2020,North America,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003845703027235
Ammonium nitrate,2020,North America,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003845703027235
Urea,2020,North America,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003845703027235
Ammonia,2020,Rest of Asia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003262040868018
Ammonium nitrate,2020,Rest of Asia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003262040868018
Urea,2020,Rest of Asia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003262040868018
Ammonia,2020,Russia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003262040868018
Ammonium nitrate,2020,Russia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003262040868018
Urea,2020,Russia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003262040868018
Ammonia,2020,Europe,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0004100931188475
Ammonium nitrate,2020,Europe,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0004100931188475
Urea,2020,Europe,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0004100931188475
Ammonia,2020,India,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003262040868018
Ammonium nitrate,2020,India,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003262040868018
Urea,2020,India,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003262040868018
Ammonia,2020,Middle East,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.000746925099135
Ammonium nitrate,2020,Middle East,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.000746925099135
Urea,2020,Middle East,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.000746925099135
Ammonia,2020,Africa,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0016931540197106
Ammonium nitrate,2020,Africa,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0016931540197106
Urea,2020,Africa,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0016931540197106
Ammonia,2020,Latin America,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0007327039444458
Ammonium nitrate,2020,Latin America,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0007327039444458
Urea,2020,Latin America,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0007327039444458
Ammonia,2020,Oceania,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003307720753777
Ammonium nitrate,2020,Oceania,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003307720753777
Urea,2020,Oceania,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003307720753777
Ammonia,2020,Brazil,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,Brazil,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,Brazil,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,Brazil,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0007327039444458
Ammonium nitrate,2020,Brazil,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0007327039444458
Urea,2020,Brazil,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0007327039444458
Ammonia,2020,Saudi Arabia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,Saudi Arabia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,Saudi Arabia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,Saudi Arabia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.000746925099135
Ammonium nitrate,2020,Saudi Arabia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.000746925099135
Urea,2020,Saudi Arabia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.000746925099135
Ammonia,2020,Namibia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,Namibia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,Namibia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,Namibia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0016931540197106
Ammonium nitrate,2020,Namibia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0016931540197106
Urea,2020,Namibia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0016931540197106
Ammonia,2020,Australia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonium nitrate,2020,Australia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Urea,2020,Australia,Coal,3_upstream,Fossil,,tCH4/GJ,0.00034
Ammonia,2020,Australia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003307720753777
Ammonium nitrate,2020,Australia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003307720753777
Urea,2020,Australia,Natural gas,3_upstream,Fossil,,tCH4/GJ,0.0003307720753777
Ammonia,2021,China,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonium nitrate,2021,China,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Urea,2021,China,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonia,2021,North America,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonium nitrate,2021,North America,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Urea,2021,North America,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonia,2021,Rest of Asia,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonium nitrate,2021,Rest of Asia,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Urea,2021,Rest of Asia,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonia,2021,Russia,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonium nitrate,2021,Russia,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Urea,2021,Russia,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonia,2021,Europe,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonium nitrate,2021,Europe,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Urea,2021,Europe,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonia,2021,India,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonium nitrate,2021,India,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Urea,2021,India,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonia,2021,Middle East,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonium nitrate,2021,Middle East,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Urea,2021,Middle East,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
Ammonia,2021,Africa,Coal,3_upstream,Fossil,,tCH4/GJ,0.0003332
