product,year,region,emissivity_type,name,scope,scenario,unit,emission_factor_co2
Ammonia,2020,China,Fossil,Electricity - grid,2,,tCO2/GJ,0.1825344308079019
Ammonium nitrate,2020,China,Fossil,Electricity - grid,2,,tCO2/GJ,0.1825344308079019
Urea,2020,China,Fossil,Electricity - grid,2,,tCO2/GJ,0.1825344308079019
Ammonia,2020,North America,Fossil,Electricity - grid,2,,tCO2/GJ,0.1055000160349744
Ammonium nitrate,2020,North America,Fossil,Electricity - grid,2,,tCO2/GJ,0.1055000160349744
Urea,2020,North America,Fossil,Electricity - grid,2,,tCO2/GJ,0.1055000160349744
Ammonia,2020,Rest of Asia,Fossil,Electricity - grid,2,,tCO2/GJ,0.1407147638135853
Ammonium nitrate,2020,Rest of Asia,Fossil,Electricity - grid,2,,tCO2/GJ,0.1407147638135853
Urea,2020,Rest of Asia,Fossil,Electricity - grid,2,,tCO2/GJ,0.1407147638135853
Ammonia,2020,Russia,Fossil,Electricity - grid,2,,tCO2/GJ,0.0905335925819533
Ammonium nitrate,2020,Russia,Fossil,Electricity - grid,2,,tCO2/GJ,0.0905335925819533
Urea,2020,Russia,Fossil,Electricity - grid,2,,tCO2/GJ,0.0905335925819533
Ammonia,2020,Europe,Fossil,Electricity - grid,2,,tCO2/GJ,0.0663421463793155
Ammonium nitrate,2020,Europe,Fossil,Electricity - grid,2,,tCO2/GJ,0.0663421463793155
Urea,2020,Europe,Fossil,Electricity - grid,2,,tCO2/GJ,0.0663421463793155
Ammonia,2020,India,Fossil,Electricity - grid,2,,tCO2/GJ,0.2020423965800433
Ammonium nitrate,2020,India,Fossil,Electricity - grid,2,,tCO2/GJ,0.2020423965800433
Urea,2020,India,Fossil,Electricity - grid,2,,tCO2/GJ,0.2020423965800433
Ammonia,2020,Middle East,Fossil,Electricity - grid,2,,tCO2/GJ,0.0797588584779181
Ammonium nitrate,2020,Middle East,Fossil,Electricity - grid,2,,tCO2/GJ,0.0797588584779181
Urea,2020,Middle East,Fossil,Electricity - grid,2,,tCO2/GJ,0.0797588584779181
Ammonia,2020,Africa,Fossil,Electricity - grid,2,,tCO2/GJ,0.1235515584802676
Ammonium nitrate,2020,Africa,Fossil,Electricity - grid,2,,tCO2/GJ,0.1235515584802676
