product,year,region,name,emissivity_type,scenario,scope,unit,emission_factor_n2o
Urea,2020,China,Urea,0.0,"BAU,LC",3_downstream,tN2O/tUrea,0.0063474209650582
Urea,2020,North America,Urea,0.0,"BAU,LC",3_downstream,tN2O/tUrea,0.0057412129980287
Urea,2020,Rest of Asia,Urea,0.0,"BAU,LC",3_downstream,tN2O/tUrea,0.0074236272878535
Urea,2020,Russia,Urea,0.0,"BAU,LC",3_downstream,tN2O/tUrea,0.0057104825291181
Urea,2020,Europe,Urea,0.0,"BAU,LC",3_downstream,tN2O/tUrea,0.0056841264559068
Urea,2020,India,Urea,0.0,"BAU,LC",3_downstream,tN2O/tUrea,0.0069448252911813
Urea,2020,Middle East,Urea,0.0,"BAU,LC",3_downstream,tN2O/tUrea,0.0059389018302828
Urea,2020,Africa,Urea,0.0,"BAU,LC",3_downstream,tN2O/tUrea,0.0056665557404326
Urea,2020,Latin America,Urea,0.0,"BAU,LC",3_downstream,tN2O/tUrea,0.005872811928453
Urea,2020,Oceania,Urea,0.0,"BAU,LC",3_downstream,tN2O/tUrea,0.0056929276263087
Ammonium nitrate,2020,China,Ammonium nitrate,0.0,"BAU,LC",3_downstream,tN2O/tAN,0.004774494569169
Ammonium nitrate,2020,North America,Ammonium nitrate,0.0,"BAU,LC",3_downstream,tN2O/tAN,0.0043185083249444
Ammonium nitrate,2020,Rest of Asia,Ammonium nitrate,0.0,"BAU,LC",3_downstream,tN2O/tAN,0.0055840109494088
Ammonium nitrate,2020,Russia,Ammonium nitrate,0.0,"BAU,LC",3_downstream,tN2O/tAN,0.0042953930380067
Ammonium nitrate,2020,Europe,Ammonium nitrate,0.0,"BAU,LC",3_downstream,tN2O/tAN,0.0042755681470621
Ammonium nitrate,2020,India,Ammonium nitrate,0.0,"BAU,LC",3_downstream,tN2O/tAN,0.0052238587639143
Ammonium nitrate,2020,Middle East,Ammonium nitrate,0.0,"BAU,LC",3_downstream,tN2O/tAN,0.004467208759527
Ammonium nitrate,2020,Africa,Ammonium nitrate,0.0,"BAU,LC",3_downstream,tN2O/tAN,0.004262351553099
Ammonium nitrate,2020,Latin America,Ammonium nitrate,0.0,"BAU,LC",3_downstream,tN2O/tAN,0.0044174963047992
Ammonium nitrate,2020,Oceania,Ammonium nitrate,0.0,"BAU,LC",3_downstream,tN2O/tAN,0.0042821883382417
Ammonia,2020,China,Ammonia,,"BAU,LC",3_downstream,tN2O/tNH3,0.0112199999999999
Ammonia,2020,North America,Ammonia,,"BAU,LC",3_downstream,tN2O/tNH3,0.0101484382700448
Ammonia,2020,Latin America,Ammonia,,"BAU,LC",3_downstream,tN2O/tNH3,0.0103810587323537
Ammonia,2020,Africa,Ammonia,,"BAU,LC",3_downstream,tN2O/tNH3,0.0100164705882352
Ammonia,2020,Middle East,Ammonia,,"BAU,LC",3_downstream,tN2O/tNH3,0.0104978823529411
Ammonia,2020,Rest of Asia,Ammonia,,"BAU,LC",3_downstream,tN2O/tNH3,0.0131223529411764
