,technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
11,Biomass Digestion + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.387,1.387,1.387,1.387,1.387,3.4675000000000002,3.4675000000000002,3.4675000000000002,3.1390000000000002,2.8105,2.8105,3.504,3.869,3.5405,3.5405,3.5405,3.5405,3.5405,3.5405,3.5405
12,Biomass Gasification + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36500000000000005,0.36500000000000005,0.36500000000000005,0.36500000000000005,0.36500000000000005,0.36500000000000005,0.36500000000000005,0.36500000000000005,0.36500000000000005
10,Electrolyser - grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36500000000000005,1.0950000000000002,1.0950000000000002,1.0950000000000002,1.0950000000000002,1.0950000000000002,1.0950000000000002,1.0950000000000002,1.0950000000000002,1.0950000000000002,1.0950000000000002
15,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6935,1.39555524303,1.39555524303,2.09761048606,3.4931657290900002,4.1866657290900005,4.880165729090001,4.551665729090001,4.916665729090001,4.916665729090001,4.916665729090001,5.61872097212,7.74569528405,10.237669595980002,12.392588664880002,12.42766959598,12.792669595980001,11.45300386689,10.787448623860001,10.787448623860001,10.45039338083,10.1133381378,9.784838137800001,9.784838137800001
16,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,0.0,0.0,0.0,0.38,0.625,0.965,5.155,6.39,9.41261048606,19.008776215149997,26.61802674223,36.26474771435,51.45546868646999,72.22213441555999,98.85674490162,127.91032969961,161.49846974063,191.89689267642,220.89546233285,250.66483002560997,282.65164247533994,311.48806154424,339.95948061314,347.95298061313997,349.33998061313997,351.42048061314,353.97548061314,362.29748061314,370.61948061314,380.69348061314,387.60198061314
17,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6935,1.39555524303,2.09761048606,2.79966572909,4.19522097212,4.88872097212,5.59077621515,6.28427621515,6.9863314581800005,8.738331458180001,9.79683145818,13.969224839010002,18.87445635764,21.724294495440002,22.45571356434,18.1897716201,18.6277716201,18.6993525512,19.0994334823,19.464433482300002,19.464433482300002,19.829433482300004,19.829433482300004
14,Methane Pyrolysis + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4675000000000002,3.4675000000000002,3.4675000000000002,3.4675000000000002,3.1390000000000002,5.2195,5.2195,5.2195,5.2195,5.2195,5.2195,5.5845,5.9495000000000005,5.9495000000000005,4.6355,4.6355,4.6355,4.6355,4.6355,4.6355
2,Coal Gasification+ CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6935,1.752,2.8105,3.5405000000000006,4.600419068900001,6.360974311930001,7.42802955496,7.79302955496,7.812419068900001,8.1774190689,8.5424190689,8.5424190689,8.5424190689,8.5424190689,8.5424190689,8.5424190689,8.5424190689,8.5424190689
3,Natural Gas ATR + CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.365,0.365,0.6935,0.6935,0.6935,0.6935,0.6935,0.6935,1.387,2.0819190689,1.7534190689,1.7534190689,1.7534190689,1.7534190689,3.1432572066999995,3.8381762756000004,3.8381762756000004,3.8381762756000004,3.8381762756000004,3.8381762756000004,4.896676275600001,4.896676275600001,4.896676275600001,4.896676275600001,4.896676275600001
4,Oversized ATR + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6949190689,0.6949190689,1.39697431193,2.09902955496,2.09902955496,3.48886769276,4.54878676166,4.54878676166,4.54878676166,4.54878676166,4.54878676166,4.91378676166,4.91378676166,4.91378676166,4.25394862386,4.25394862386
