,technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,Natural Gas SMR + ammonia synthesis,257.363431054,221.71343105399998,238.06343105399998,225.96343105399998,238.46343105399998,262.51343105399997,249.538036023,262.987245961,261.036455899,260.035665837,255.209480744,229.305530434,202.60395031,181.70395030999998,157.00395031,123.72855527899999,105.602370186,89.350790062,73.14999999999999,57.949999999999996,41.8,22.799999999999997,9.5,3.8,3.8,1.9,0.0,0.0,0.0,0.0,0.0
1,Coal Gasification + ammonia synthesis,77.89999999999999,50.949999999999996,59.699999999999996,59.699999999999996,50.949999999999996,49.199999999999996,48.0,70.25,72.2,70.3,68.39999999999999,62.699999999999996,56.05,52.25,47.5,43.699999999999996,39.9,35.15,29.45,22.799999999999997,17.099999999999998,13.299999999999999,9.5,5.699999999999999,1.56122449,0.0,0.0,0.0,0.0,0.0,0.0
5,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,0.0,10.45,14.25,25.65,31.349999999999998,37.05,37.05,38.949999999999996,39.9,39.9,39.9,39.9,39.9,41.8,42.75,44.65,40.85,38.949999999999996,36.1,28.5,19.95,13.299999999999999,8.549999999999999,4.75,2.8499999999999996,1.9,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996,2.8499999999999996
7,Electrolyser + SMR + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Electrolyser + Coal Gasification + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Electrolyser - grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975395031,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062,1.950790062
15,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975395031,1.9253950309999999,1.9253950309999999,1.9253950309999999,1.9253950309999999,1.9253950309999999,1.9253950309999999,2.875395031,2.875395031,2.875395031,2.875395031,2.875395031,2.175395031,2.175395031,2.175395031,2.175395031,2.175395031,2.175395031,2.175395031,2.175395031
16,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,2.8499999999999996,3.8,6.675395031,10.500790062,13.350790062,17.150790062,22.850790061999998,28.550790061999997,34.250790062,38.050790062,39.950790061999996,41.850790062,59.900790062,76.05079006199999,100.750790062,104.200790062,114.03734603699999,115.237346037,117.030604798,119.600790062,125.30079006199999,135.900790062,137.300790062
17,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,2.8499999999999996,3.8,5.699999999999999,9.525395031,15.250790062,20.950790062,29.500790062,36.150790062,42.800790062,47.550790062,51.350790061999994,56.100790061999994,69.400790062,88.400790062,103.600790062,101.650790062,112.625259532,112.625259532,113.355035815,116.750790062,119.150790062,128.300790062,120.55079006199999
2,Coal Gasification+ CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
