region,year,value
Global,2020,2420000000.0
Global,2021,2410000000.0
Global,2022,2400000000.0
Global,2023,2390000000.0
Global,2024,2380000000.0
Global,2025,2370000000.0
Global,2026,2360000000.0
Global,2027,2350000000.0
Global,2028,2340000000.0
Global,2029,2330000000.0
Global,2030,2320000000.0
Global,2031,2310000000.0
Global,2032,2300000000.0
Global,2033,2290000000.0
Global,2034,2280000000.0
Global,2035,2270000000.0
Global,2036,2260000000.0
Global,2037,2250000000.0
Global,2038,2240000000.0
Global,2039,2230000000.0
Global,2040,2220000000.0
Global,2041,2209000000.0
Global,2042,2198000000.0
Global,2043,2187000000.0
Global,2044,2176000000.0
Global,2045,2165000000.0
Global,2046,2154000000.0
Global,2047,2143000000.0
Global,2048,2132000000.0
Global,2049,2121000000.0
Global,2050,2109999999.9999998
