region,year,value
Global,2020,1000000000.0
Global,2021,1013555555.5555556
Global,2022,1027111111.1111112
Global,2023,1040666666.6666667
Global,2024,1054222222.2222223
Global,2025,1067777777.7777779
Global,2026,1081333333.3333335
Global,2027,1094888888.888889
Global,2028,1108444444.4444447
Global,2029,1122000000.0000002
Global,2030,1135555555.5555558
Global,2031,1149111111.1111114
Global,2032,1162666666.666667
Global,2033,1176222222.2222226
Global,2034,1189777777.7777781
Global,2035,1203333333.3333337
Global,2036,1216888888.8888893
Global,2037,1230444444.444445
Global,2038,1244000000.0000005
Global,2039,1257555555.555556
Global,2040,1271111111.1111116
Global,2041,1284666666.6666672
Global,2042,1298222222.2222228
Global,2043,1311777777.7777784
Global,2044,1325333333.333334
Global,2045,1338888888.8888896
Global,2046,1352444444.4444451
Global,2047,1366000000.0000007
Global,2048,1379555555.5555563
Global,2049,1393111111.1111119
Global,2050,1406666666.6666665
