product,region,year,value
Clinker,China,2020,1789.7220000000002
Clinker,Rest of Asia,2020,228.988
Clinker,North America,2020,74.57175
Clinker,Russia,2020,76.83149999999999
Clinker,Europe,2020,140.1045
Clinker,India,2020,250.83224999999996
Clinker,Middle East,2020,178.52025000000003
Clinker,Africa,2020,155.92274999999995
Clinker,Latin America,2020,146.88375
Clinker,Oceania,2020,114.494
Clinker,Global,2020,3156.87075
Clinker,China,2021,1721.3779861662838
Clinker,Rest of Asia,2021,226.59984622747567
Clinker,North America,2021,73.31133211401144
Clinker,Russia,2021,75.14239941330901
Clinker,Europe,2021,135.1026256350707
Clinker,India,2021,256.56431223589476
Clinker,Middle East,2021,174.27153740327287
Clinker,Africa,2021,168.33972320567233
Clinker,Latin America,2021,145.46391249815892
Clinker,Oceania,2021,113.29992311373783
Clinker,Global,2021,3089.473598012887
Clinker,China,2022,1654.951505051117
Clinker,Rest of Asia,2022,224.14283317390704
Clinker,North America,2022,72.04208053227931
Clinker,Russia,2022,73.45970240769879
Clinker,Europe,2022,130.22484632044524
Clinker,India,2022,262.3176291507287
Clinker,Middle East,2022,170.05280428001268
Clinker,Africa,2022,181.66952938611107
Clinker,Latin America,2022,143.9975611787755
Clinker,Oceania,2022,112.07141658695352
Clinker,Global,2022,3024.929908068029
Clinker,China,2023,1590.406589792151
Clinker,Rest of Asia,2023,221.61745860279976
Clinker,North America,2023,70.76446845831974
Clinker,Russia,2023,71.78391450436537
Clinker,Europe,2023,125.46938945503202
Clinker,India,2023,268.08503860740313
Clinker,Middle East,2023,165.8650945388074
Clinker,Africa,2023,195.97083379237773
Clinker,Latin America,2023,142.48491110905948
Clinker,Oceania,2023,110.80872930139988
Clinker,Global,2023,2963.2564281617156
Clinker,China,2024,1527.7076810560588
Clinker,Rest of Asia,2024,219.02429181155685
Clinker,North America,2024,69.47898294879083
Clinker,Russia,2024,70.11554460261861
Clinker,Europe,2024,120.83449101977881
Clinker,India,2024,273.8589114634622
Clinker,Middle East,2024,161.7094516165277
Clinker,Africa,2024,211.30510573188775
Clinker,Latin America,2024,140.92622420934507
Clinker,Oceania,2024,109.51214590577843
Clinker,Global,2024,2904.4728303658044
Clinker,China,2025,1466.8196238253913
Clinker,Rest of Asia,2025,216.36397565000644
Clinker,North America,2025,68.18612492944612
Clinker,Russia,2025,68.45510477037085
Clinker,Europe,2025,116.31839557474964
Clinker,India,2025,279.6311388703791
Clinker,Middle East,2025,157.5869179627739
Clinker,Africa,2025,227.73663285938554
Clinker,Latin America,2025,139.32181073195162
Clinker,Oceania,2025,108.18198782500322
Clinker,Global,2025,2848.6017129994575
Clinker,China,2026,1407.7076642056013
Clinker,Rest of Asia,2026,213.6372285344641
Clinker,North America,2026,66.88640919785189
Clinker,Russia,2026,66.80311002512012
Clinker,Europe,2026,111.91935625620194
Clinker,India,2026,285.39312018730806
Clinker,Middle East,2026,153.4985345081081
Clinker,Africa,2026,245.33251653802225
Clinker,Latin America,2026,137.67203074359153
Clinker,Oceania,2026,106.81861426723205
Clinker,Global,2026,2795.668584463501
Clinker,China,2027,1350.337446252151
Clinker,Rest of Asia,2027,210.84484645372711
Clinker,North America,2027,65.58036441217558
Clinker,Russia,2027,65.16007810517333
Clinker,Europe,2027,107.63563477366444
Clinker,India,2027,291.13575162294086
Clinker,Middle East,2027,149.44534011573623
Clinker,Africa,2027,264.1626451983084
Clinker,Latin America,2027,135.97729560900257
Clinker,Oceania,2027,105.42242322686356
Clinker,Global,2027,2745.701825769743
Clinker,China,2028,1294.675008817575
Clinker,Rest of Asia,2028,207.9877049631599
Clinker,North America,2028,64.26853306533027
Clinker,Russia,2028,63.52652923084913
Clinker,Europe,2028,103.46550140701598
Clinker,India,2028,296.84941572834964
Clinker,Middle East,2028,145.42837101629618
Clinker,Africa,2028,284.2996423046937
Clinker,Latin America,2028,134.23806947331414
Clinker,Oceania,2028,103.99385248157995
Clinker,Global,2028,2698.7326284881638
Clinker,China,2029,1240.6867824184076
Clinker,Rest of Asia,2029,205.0667611627741
Clinker,North America,2029,62.9514714437325
Clinker,Russia,2029,61.902985855394284
Clinker,Europe,2029,99.40723500356437
Clinker,India,2029,302.523971873403
Clinker,Middle East,2029,141.44866022540452
Clinker,Africa,2029,305.81878520094256
Clinker,Latin America,2029,132.45487074047847
Clinker,Oceania,2029,102.53338058138705
Clinker,Global,2029,2654.794904505489
Clinker,China,2030,1188.339586121859
Clinker,Rest of Asia,2030,202.0830556549456
Clinker,North America,2030,61.62974956990605
Clinker,Russia,2030,60.28997240534288
Clinker,Europe,2030,95.45912297512623
Clinker,India,2030,308.1487478495303
Clinker,Middle East,2030,137.5072369436076
Clinker,Africa,2030,328.7978907466639
Clinker,Latin America,2030,130.6282735449096
Clinker,Oceania,2030,101.0415278274728
Clinker,Global,2030,2613.9251636393637
Clinker,China,2031,1156.0364748675604
Clinker,Rest of Asia,2031,202.5856063394542
Clinker,North America,2031,61.83884202635766
Clinker,Russia,2031,59.40292388325069
Clinker,Europe,2031,95.15969884607001
Clinker,India,2031,319.38540327234267
Clinker,Middle East,2031,136.13756998350604
Clinker,Africa,2031,331.87796732873136
Clinker,Latin America,2031,131.26971511751856
Clinker,Oceania,2031,101.2928031697271
Clinker,Global,2031,2594.9870048345188
Clinker,China,2032,1124.560959039903
Clinker,Rest of Asia,2032,203.08028483940328
Clinker,North America,2032,62.045856901035066
Clinker,Russia,2032,58.52629765542743
Clinker,Europe,2032,94.85695313120809
Clinker,India,2032,331.0169351401541
Clinker,Middle East,2032,134.7754920101074
Clinker,Africa,2032,334.9718508571557
Clinker,Latin America,2032,131.90838139040648
Clinker,Oceania,2032,101.54014241970164
Clinker,Global,2032,2577.2831533845024
Clinker,China,2033,1093.8928952049157
Clinker,Rest of Asia,2033,203.5669531091326
Clinker,North America,2033,62.250745880841855
Clinker,Russia,2033,57.65999703085366
Clinker,Europe,2033,94.55088902638359
Clinker,India,2033,343.0565350802869
Clinker,Middle East,2033,133.4210001226311
Clinker,Africa,2033,338.0792673730423
Clinker,Latin America,2033,132.5441529512006
Clinker,Oceania,2033,101.7834765545663
Clinker,Global,2033,2560.8059123338544
Clinker,China,2034,1064.012609017752
Clinker,Rest of Asia,2034,204.04547232631347
Clinker,North America,2034,62.45346025108966
Clinker,Russia,2034,56.80392602607561
Clinker,Europe,2034,94.24151004103555
Clinker,India,2034,355.51780345475095
Clinker,Middle East,2034,132.07409126097645
Clinker,Africa,2034,341.19993344857846
Clinker,Latin America,2034,133.17690885497453
Clinker,Oceania,2034,102.02273616315674
Clinker,Global,2034,2545.5484508447034
Clinker,China,2035,1034.9008847069456
Clinker,Rest of Asia,2035,204.5157029049803
Clinker,North America,2035,62.65395089805429
Clinker,Russia,2035,55.957989361010306
Clinker,Europe,2035,93.92882000119792
Clinker,India,2035,368.41476049746615
Clinker,Middle East,2035,130.7347622053358
Clinker,Africa,2035,344.33355602855045
Clinker,Latin America,2035,133.80652662073715
Clinker,Oceania,2035,102.25785145249014
Clinker,Global,2035,2531.5048046767683
Clinker,China,2036,1006.5389547867815
Clinker,Rest of Asia,2036,204.97750450900244
Clinker,North America,2036,62.85216831168537
Clinker,Russia,2036,55.12209245477202
Clinker,Europe,2036,93.61282305249603
Clinker,India,2036,381.76185767840934
Clinker,Middle East,2036,129.40300957581127
Clinker,Africa,2036,347.47983227078964
Clinker,Latin America,2036,134.43288222826246
Clinker,Oceania,2036,102.48875225450122
Clinker,Global,2036,2518.6698771225115
Clinker,China,2037,978.9084899929719
Clinker,Rest of Asia,2037,205.43073606600643
Clinker,North America,2037,63.04806258847267
Clinker,Russia,2037,54.296141421520026
Clinker,Europe,2037,93.29352366314116
Clinker,India,2037,395.5739892950627
Clinker,Middle East,2037,128.07882983203422
Clinker,Africa,2037,350.6384493855832
Clinker,Latin America,2037,135.0558501152704
Clinker,Oceania,2037,102.71536803300322
Clinker,Global,2037,2507.0394403930663
Clinker,China,2038,951.9915894369218
Clinker,Rest of Asia,2038,205.8752557817519
Clinker,North America,2038,63.24158343447186
Clinker,Russia,2038,53.48004306632711
Clinker,Europe,2038,92.97092662692116
Clinker,India,2038,409.86650429122557
Clinker,Middle East,2038,126.7622192727879
Clinker,Africa,2038,353.80908447408007
Clinker,Latin America,2038,135.67530317496937
Clinker,Oceania,2038,102.93762789087594
Clinker,Global,2038,2496.610137450332
Clinker,China,2039,925.770770973973
Clinker,Rest of Asia,2039,206.31092115496958
Clinker,North America,2039,63.43268016849243
Clinker,Russia,2039,52.67370488106927
Clinker,Europe,2039,92.64503706618777
Clinker,India,2039,424.65521830292516
Clinker,Middle East,2039,125.45317403563271
Clinker,Africa,2039,356.99140436573066
Clinker,Latin America,2039,136.2911127539691
Clinker,Oceania,2039,103.15546057748479
Clinker,Global,2039,2487.379484280434
Clinker,China,2040,900.2289617811139
Clinker,Rest of Asia,2040,206.73758899266738
Clinker,North America,2040,63.621301725451644
Clinker,Russia,2040,51.877035040336175
Clinker,Europe,2040,92.31586043483989
Clinker,India,2040,439.95642593080197
Clinker,Middle East,2040,124.15169009653538
Clinker,Africa,2040,360.1850654548002
Clinker,Latin America,2040,136.90314865057655
Clinker,Oceania,2040,103.36879449633369
Clinker,Global,2040,2479.345872603457
Clinker,China,2041,875.3494891397187
Clinker,Rest of Asia,2041,207.15511542591287
Clinker,North America,2041,63.8073966598966
Clinker,Russia,2041,51.089942397362364
Clinker,Europe,2041,91.98340252130154
Clinker,India,2041,455.786913237965
Clinker,Middle East,2041,122.85776326950031
Clinker,Africa,2041,363.38971353599203
Clinker,Latin America,2041,137.51127911348323
Clinker,Oceania,2041,103.57755771295643
Clinker,Global,2041,2472.5085730140895
Clinker,China,2042,851.1160714189912
Clinker,Rest of Asia,2042,207.5633559260957
Clinker,North America,2042,63.99091314969805
Clinker,Russia,2042,50.31233647997912
Clinker,Europe,2042,91.64766945149499
Clinker,India,2042,472.1639704718993
Clinker,Middle East,2042,121.57138920620513
Clinker,Africa,2042,366.60498363922505
Clinker,Latin America,2042,138.1153708408559
Clinker,Oceania,2042,103.78167796304785
Clinker,Global,2042,2466.8677385474925
Clinker,China,2043,827.5128092558637
Clinker,Rest of Asia,2043,207.96216532167998
Clinker,North America,2043,64.17179899991915
Clinker,Russia,2043,49.544127486586994
Clinker,Europe,2043,91.30866769180754
Clinker,India,2043,489.10540500857513
Clinker,Middle East,2043,120.29256339563838
Clinker,Africa,2043,369.8304998636081
Clinker,Latin America,2043,138.7152889798414
Clinker,Oceania,2043,103.98108266083999
Clinker,Global,2043,2462.42440866436
Clinker,China,2044,804.5241769271923
Clinker,Rest of Asia,2044,208.35139781545163
Clinker,North America,2044,64.35000164686177
Clinker,Russia,2044,48.785226282148635
Clinker,Europe,2044,90.96640405205227
Clinker,India,2044,506.6295545164362
Clinker,Middle East,2044,119.02128116374166
Clinker,Africa,2044,373.06587521065705
Clinker,Latin America,2044,139.31089712649631
Clinker,Oceania,2044,104.17569890772582
Clinker,Global,2044,2459.1805136487637
Clinker,China,2045,782.1350139101819
Clinker,Rest of Asia,2045,208.7309070022684
Clinker,North America,2045,64.52546816229405
Clinker,Russia,2045,48.03554439420227
Clinker,Europe,2045,90.62088568842103
Clinker,India,2045,524.7553003374463
Clinker,Middle East,2045,117.75753767305385
Clinker,Africa,2045,376.3107114168013
Clinker,Latin America,2045,139.90205732615243
Clinker,Oceania,2045,104.3654535011342
Clinker,Global,2045,2457.1388794119557
Clinker,China,2046,760.3305166270475
Clinker,Rest of Asia,2046,209.10054588731813
Clinker,North America,2046,64.69814525786197
