region,country,coordinates,product,technology,annual_production_capacity,year_commissioned,capacity_factor
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
China,,,Clinker,Dry kiln coal,2.19,2005,0.913
