region,year,value
China,2020,13.229999999999999
Rest of Asia,2020,13.229999999999999
North America,2020,13.229999999999999
Russia,2020,13.229999999999999
Europe,2020,13.229999999999999
India,2020,13.229999999999999
Middle East,2020,13.229999999999999
Africa,2020,2.83967084696506
Latin America,2020,13.229999999999999
Oceania,2020,13.229999999999999
China,2021,13.513499999999999
Rest of Asia,2021,13.513499999999999
North America,2021,13.513499999999999
Russia,2021,13.513499999999999
Europe,2021,14.458499999999999
India,2021,13.513499999999999
Middle East,2021,13.513499999999999
Africa,2021,2.83967084696506
Latin America,2021,13.513499999999999
Oceania,2021,13.513499999999999
China,2022,13.796999999999999
Rest of Asia,2022,13.796999999999999
North America,2022,13.796999999999999
Russia,2022,13.796999999999999
Europe,2022,15.653925
India,2022,13.796999999999999
Middle East,2022,13.796999999999999
Africa,2022,2.83967084696506
Latin America,2022,13.796999999999999
Oceania,2022,13.796999999999999
China,2023,14.080499999999999
Rest of Asia,2023,14.080499999999999
North America,2023,14.080499999999999
Russia,2023,14.080499999999999
Europe,2023,16.81792875
India,2023,14.080499999999999
Middle East,2023,14.080499999999999
Africa,2023,2.83967084696506
Latin America,2023,14.080499999999999
Oceania,2023,14.080499999999999
China,2024,14.363999999999999
Rest of Asia,2024,14.363999999999999
North America,2024,14.363999999999999
Russia,2024,14.363999999999999
Europe,2024,17.9520823125
India,2024,14.363999999999999
Middle East,2024,14.363999999999999
Africa,2024,2.83967084696506
Latin America,2024,14.363999999999999
Oceania,2024,14.363999999999999
China,2025,14.647499999999999
Rest of Asia,2025,14.647499999999999
North America,2025,14.647499999999999
Russia,2025,14.647499999999999
Europe,2025,19.057878196875002
India,2025,14.647499999999999
Middle East,2025,14.647499999999999
Africa,2025,2.83967084696506
Latin America,2025,14.647499999999999
Oceania,2025,14.647499999999999
China,2026,14.931
Rest of Asia,2026,14.931
North America,2026,14.931
Russia,2026,14.931
Europe,2026,20.136734287031253
India,2026,14.931
Middle East,2026,14.931
Africa,2026,2.83967084696506
Latin America,2026,14.931
Oceania,2026,14.931
China,2027,15.2145
Rest of Asia,2027,15.2145
North America,2027,15.2145
Russia,2027,15.2145
Europe,2027,21.18999757267969
India,2027,15.2145
Middle East,2027,15.2145
Africa,2027,2.83967084696506
Latin America,2027,15.2145
Oceania,2027,15.2145
China,2028,15.498
Rest of Asia,2028,15.498
North America,2028,15.498
Russia,2028,15.498
Europe,2028,22.218947694045706
India,2028,15.498
Middle East,2028,15.498
Africa,2028,2.83967084696506
Latin America,2028,15.498
Oceania,2028,15.498
China,2029,15.7815
Rest of Asia,2029,15.7815
North America,2029,15.7815
Russia,2029,15.7815
Europe,2029,23.224800309343422
India,2029,15.7815
Middle East,2029,15.7815
Africa,2029,2.83967084696506
Latin America,2029,15.7815
Oceania,2029,15.7815
China,2030,16.064999999999998
Rest of Asia,2030,16.064999999999998
North America,2030,16.064999999999998
Russia,2030,16.064999999999998
Europe,2030,24.208710293876248
India,2030,16.064999999999998
Middle East,2030,16.064999999999998
Africa,2030,2.83967084696506
Latin America,2030,16.064999999999998
Oceania,2030,16.064999999999998
China,2031,16.23825
Rest of Asia,2031,16.23825
North America,2031,16.23825
Russia,2031,16.23825
Europe,2031,24.95127477918244
India,2031,16.23825
Middle East,2031,16.23825
Africa,2031,2.83967084696506
Latin America,2031,16.23825
Oceania,2031,16.23825
China,2032,16.4115
Rest of Asia,2032,16.4115
North America,2032,16.4115
Russia,2032,16.4115
Europe,2032,25.674036040223317
India,2032,16.4115
Middle East,2032,16.4115
Africa,2032,2.83967084696506
Latin America,2032,16.4115
Oceania,2032,16.4115
China,2033,16.58475
Rest of Asia,2033,16.58475
North America,2033,16.58475
Russia,2033,16.58475
Europe,2033,26.377984238212154
India,2033,16.58475
Middle East,2033,16.58475
Africa,2033,2.83967084696506
Latin America,2033,16.58475
Oceania,2033,16.58475
China,2034,16.758
Rest of Asia,2034,16.758
North America,2034,16.758
Russia,2034,16.758
Europe,2034,27.064060026301547
India,2034,16.758
Middle East,2034,16.758
Africa,2034,2.83967084696506
Latin America,2034,16.758
Oceania,2034,16.758
China,2035,16.93125
Rest of Asia,2035,16.93125
North America,2035,16.93125
Russia,2035,16.93125
Europe,2035,27.733157024986472
India,2035,16.93125
Middle East,2035,16.93125
Africa,2035,2.83967084696506
Latin America,2035,16.93125
Oceania,2035,16.93125
China,2036,17.104499999999998
Rest of Asia,2036,17.104499999999998
North America,2036,17.104499999999998
Russia,2036,17.104499999999998
Europe,2036,28.386124173737144
India,2036,17.104499999999998
Middle East,2036,17.104499999999998
Africa,2036,2.83967084696506
Latin America,2036,17.104499999999998
Oceania,2036,17.104499999999998
China,2037,17.277749999999997
Rest of Asia,2037,17.277749999999997
North America,2037,17.277749999999997
Russia,2037,17.277749999999997
Europe,2037,29.023767965050286
India,2037,17.277749999999997
Middle East,2037,17.277749999999997
Africa,2037,2.83967084696506
Latin America,2037,17.277749999999997
Oceania,2037,17.277749999999997
China,2038,17.451
Rest of Asia,2038,17.451
North America,2038,17.451
Russia,2038,17.451
Europe,2038,29.646854566797778
India,2038,17.451
Middle East,2038,17.451
Africa,2038,2.83967084696506
Latin America,2038,17.451
Oceania,2038,17.451
China,2039,17.62425
Rest of Asia,2039,17.62425
North America,2039,17.62425
Russia,2039,17.62425
Europe,2039,30.256111838457887
India,2039,17.62425
Middle East,2039,17.62425
Africa,2039,2.83967084696506
Latin America,2039,17.62425
Oceania,2039,17.62425
China,2040,17.7975
Rest of Asia,2040,17.7975
North America,2040,17.7975
Russia,2040,17.7975
Europe,2040,30.85223124653499
India,2040,17.7975
Middle East,2040,17.7975
Africa,2040,2.83967084696506
Latin America,2040,17.7975
Oceania,2040,17.7975
China,2041,17.97075
Rest of Asia,2041,17.97075
North America,2041,17.97075
Russia,2041,17.97075
Europe,2041,31.435869684208242
India,2041,17.97075
Middle East,2041,17.97075
Africa,2041,2.83967084696506
Latin America,2041,17.97075
Oceania,2041,17.97075
China,2042,18.144
Rest of Asia,2042,18.144
North America,2042,18.144
Russia,2042,18.144
Europe,2042,32.00765119999783
India,2042,18.144
Middle East,2042,18.144
Africa,2042,2.83967084696506
Latin America,2042,18.144
Oceania,2042,18.144
China,2043,18.317249999999998
Rest of Asia,2043,18.317249999999998
North America,2043,18.317249999999998
Russia,2043,18.317249999999998
Europe,2043,32.56816863999794
India,2043,18.317249999999998
Middle East,2043,18.317249999999998
Africa,2043,2.83967084696506
Latin America,2043,18.317249999999998
Oceania,2043,18.317249999999998
China,2044,18.4905
Rest of Asia,2044,18.4905
North America,2044,18.4905
Russia,2044,18.4905
Europe,2044,33.117985207998046
India,2044,18.4905
Middle East,2044,18.4905
Africa,2044,2.83967084696506
Latin America,2044,18.4905
Oceania,2044,18.4905
China,2045,18.66375
Rest of Asia,2045,18.66375
North America,2045,18.66375
Russia,2045,18.66375
Europe,2045,33.657635947598145
India,2045,18.66375
Middle East,2045,18.66375
Africa,2045,2.83967084696506
Latin America,2045,18.66375
Oceania,2045,18.66375
China,2046,18.837
Rest of Asia,2046,18.837
North America,2046,18.837
Russia,2046,18.837
Europe,2046,34.18762915021824
India,2046,18.837
Middle East,2046,18.837
Africa,2046,3.4863708497817663
Latin America,2046,18.837
Oceania,2046,18.837
China,2047,19.01025
Rest of Asia,2047,19.01025
North America,2047,19.01025
Russia,2047,19.01025
Europe,2047,34.708447692707324
India,2047,19.01025
Middle East,2047,19.01025
Africa,2047,3.3120523072926784
Latin America,2047,19.01025
Oceania,2047,19.01025
China,2048,19.1835
Rest of Asia,2048,19.1835
North America,2048,19.1835
Russia,2048,19.1835
Europe,2048,35.22055030807196
India,2048,19.1835
Middle East,2048,19.1835
Africa,2048,3.1464496919280442
Latin America,2048,19.1835
Oceania,2048,19.1835
China,2049,19.356749999999998
Rest of Asia,2049,19.356749999999998
North America,2049,19.356749999999998
Russia,2049,19.356749999999998
Europe,2049,35.72437279266836
India,2049,19.356749999999998
Middle East,2049,19.356749999999998
Africa,2049,2.9891272073316424
Latin America,2049,19.356749999999998
Oceania,2049,19.356749999999998
China,2050,19.529999999999998
Rest of Asia,2050,19.529999999999998
North America,2050,19.529999999999998
Russia,2050,19.529999999999998
Europe,2050,36.22032915303494
India,2050,19.529999999999998
Middle East,2050,19.529999999999998
Africa,2050,2.83967084696506
Latin America,2050,19.529999999999998
Oceania,2050,19.529999999999998
