region,year,value
China,2020,105.83999999999999
Rest of Asia,2020,105.83999999999999
North America,2020,105.83999999999999
Russia,2020,105.83999999999999
Europe,2020,132.29999999999998
India,2020,105.83999999999999
Middle East,2020,105.83999999999999
Africa,2020,52.919999999999995
Latin America,2020,105.83999999999999
Oceania,2020,105.83999999999999
China,2021,108.10799999999999
Rest of Asia,2021,108.10799999999999
North America,2021,108.10799999999999
Russia,2021,108.10799999999999
Europe,2021,144.58499999999998
India,2021,108.10799999999999
Middle East,2021,108.10799999999999
Africa,2021,52.919999999999995
Latin America,2021,108.10799999999999
Oceania,2021,108.10799999999999
China,2022,110.37599999999999
Rest of Asia,2022,110.37599999999999
North America,2022,110.37599999999999
Russia,2022,110.37599999999999
Europe,2022,156.53924999999998
India,2022,110.37599999999999
Middle East,2022,110.37599999999999
Africa,2022,52.919999999999995
Latin America,2022,110.37599999999999
Oceania,2022,110.37599999999999
China,2023,112.64399999999999
Rest of Asia,2023,112.64399999999999
North America,2023,112.64399999999999
Russia,2023,112.64399999999999
Europe,2023,168.1792875
India,2023,112.64399999999999
Middle East,2023,112.64399999999999
Africa,2023,52.919999999999995
Latin America,2023,112.64399999999999
Oceania,2023,112.64399999999999
China,2024,114.91199999999999
Rest of Asia,2024,114.91199999999999
North America,2024,114.91199999999999
Russia,2024,114.91199999999999
Europe,2024,179.520823125
India,2024,114.91199999999999
Middle East,2024,114.91199999999999
Africa,2024,52.919999999999995
Latin America,2024,114.91199999999999
Oceania,2024,114.91199999999999
China,2025,117.17999999999999
Rest of Asia,2025,117.17999999999999
North America,2025,117.17999999999999
Russia,2025,117.17999999999999
Europe,2025,190.57878196874998
India,2025,117.17999999999999
Middle East,2025,117.17999999999999
Africa,2025,52.919999999999995
Latin America,2025,117.17999999999999
Oceania,2025,117.17999999999999
China,2026,119.448
Rest of Asia,2026,119.448
North America,2026,119.448
Russia,2026,119.448
Europe,2026,201.3673428703125
India,2026,119.448
Middle East,2026,119.448
Africa,2026,52.919999999999995
Latin America,2026,119.448
Oceania,2026,119.448
China,2027,121.716
Rest of Asia,2027,121.716
North America,2027,121.716
Russia,2027,121.716
Europe,2027,211.8999757267969
India,2027,121.716
Middle East,2027,121.716
Africa,2027,52.919999999999995
Latin America,2027,121.716
Oceania,2027,121.716
China,2028,123.984
Rest of Asia,2028,123.984
North America,2028,123.984
Russia,2028,123.984
Europe,2028,222.18947694045704
India,2028,123.984
Middle East,2028,123.984
Africa,2028,52.919999999999995
Latin America,2028,123.984
Oceania,2028,123.984
China,2029,126.252
Rest of Asia,2029,126.252
North America,2029,126.252
Russia,2029,126.252
Europe,2029,232.2480030934342
India,2029,126.252
Middle East,2029,126.252
Africa,2029,52.919999999999995
Latin America,2029,126.252
Oceania,2029,126.252
China,2030,128.51999999999998
Rest of Asia,2030,128.51999999999998
North America,2030,128.51999999999998
Russia,2030,128.51999999999998
Europe,2030,242.08710293876248
India,2030,128.51999999999998
Middle East,2030,128.51999999999998
Africa,2030,52.919999999999995
Latin America,2030,128.51999999999998
Oceania,2030,128.51999999999998
China,2031,129.906
Rest of Asia,2031,129.906
North America,2031,129.906
Russia,2031,129.906
Europe,2031,249.51274779182438
India,2031,129.906
Middle East,2031,129.906
Africa,2031,52.919999999999995
Latin America,2031,129.906
Oceania,2031,129.906
China,2032,131.292
Rest of Asia,2032,131.292
North America,2032,131.292
Russia,2032,131.292
Europe,2032,256.7403604022332
India,2032,131.292
Middle East,2032,131.292
Africa,2032,52.919999999999995
Latin America,2032,131.292
Oceania,2032,131.292
China,2033,132.678
Rest of Asia,2033,132.678
North America,2033,132.678
Russia,2033,132.678
Europe,2033,263.7798423821215
India,2033,132.678
Middle East,2033,132.678
Africa,2033,52.919999999999995
Latin America,2033,132.678
Oceania,2033,132.678
China,2034,134.064
Rest of Asia,2034,134.064
North America,2034,134.064
Russia,2034,134.064
Europe,2034,270.6406002630154
India,2034,134.064
Middle East,2034,134.064
Africa,2034,52.919999999999995
Latin America,2034,134.064
Oceania,2034,134.064
China,2035,135.45
Rest of Asia,2035,135.45
North America,2035,135.45
Russia,2035,135.45
Europe,2035,277.3315702498647
India,2035,135.45
Middle East,2035,135.45
Africa,2035,52.919999999999995
Latin America,2035,135.45
Oceania,2035,135.45
China,2036,136.83599999999998
Rest of Asia,2036,136.83599999999998
North America,2036,136.83599999999998
Russia,2036,136.83599999999998
Europe,2036,283.8612417373714
India,2036,136.83599999999998
Middle East,2036,136.83599999999998
Africa,2036,52.919999999999995
Latin America,2036,136.83599999999998
Oceania,2036,136.83599999999998
China,2037,138.22199999999998
Rest of Asia,2037,138.22199999999998
North America,2037,138.22199999999998
Russia,2037,138.22199999999998
Europe,2037,290.23767965050286
India,2037,138.22199999999998
Middle East,2037,138.22199999999998
Africa,2037,52.919999999999995
Latin America,2037,138.22199999999998
Oceania,2037,138.22199999999998
China,2038,139.608
Rest of Asia,2038,139.608
North America,2038,139.608
Russia,2038,139.608
Europe,2038,296.46854566797776
India,2038,139.608
Middle East,2038,139.608
Africa,2038,52.919999999999995
Latin America,2038,139.608
Oceania,2038,139.608
China,2039,140.994
Rest of Asia,2039,140.994
North America,2039,140.994
Russia,2039,140.994
Europe,2039,302.5611183845789
India,2039,140.994
Middle East,2039,140.994
Africa,2039,52.919999999999995
Latin America,2039,140.994
Oceania,2039,140.994
China,2040,142.38
Rest of Asia,2040,142.38
North America,2040,142.38
Russia,2040,142.38
Europe,2040,308.5223124653499
India,2040,142.38
Middle East,2040,142.38
Africa,2040,52.919999999999995
Latin America,2040,142.38
Oceania,2040,142.38
China,2041,143.766
Rest of Asia,2041,143.766
North America,2041,143.766
Russia,2041,143.766
Europe,2041,314.35869684208245
India,2041,143.766
Middle East,2041,143.766
Africa,2041,52.919999999999995
Latin America,2041,143.766
Oceania,2041,143.766
China,2042,145.152
Rest of Asia,2042,145.152
North America,2042,145.152
Russia,2042,145.152
Europe,2042,320.07651199997827
India,2042,145.152
Middle East,2042,145.152
Africa,2042,52.919999999999995
Latin America,2042,145.152
Oceania,2042,145.152
China,2043,146.53799999999998
Rest of Asia,2043,146.53799999999998
North America,2043,146.53799999999998
Russia,2043,146.53799999999998
Europe,2043,325.6816863999794
India,2043,146.53799999999998
Middle East,2043,146.53799999999998
Africa,2043,52.919999999999995
Latin America,2043,146.53799999999998
Oceania,2043,146.53799999999998
China,2044,147.924
Rest of Asia,2044,147.924
North America,2044,147.924
Russia,2044,147.924
Europe,2044,331.17985207998044
India,2044,147.924
Middle East,2044,147.924
Africa,2044,52.919999999999995
Latin America,2044,147.924
Oceania,2044,147.924
China,2045,149.31
Rest of Asia,2045,149.31
North America,2045,149.31
Russia,2045,149.31
Europe,2045,336.5763594759814
India,2045,149.31
Middle East,2045,149.31
Africa,2045,52.919999999999995
Latin America,2045,149.31
Oceania,2045,149.31
China,2046,150.696
Rest of Asia,2046,150.696
North America,2046,150.696
Russia,2046,150.696
Europe,2046,341.87629150218237
India,2046,150.696
Middle East,2046,150.696
Africa,2046,52.919999999999995
Latin America,2046,150.696
Oceania,2046,150.696
China,2047,152.082
Rest of Asia,2047,152.082
North America,2047,152.082
Russia,2047,152.082
Europe,2047,347.08447692707324
India,2047,152.082
Middle East,2047,152.082
Africa,2047,52.919999999999995
Latin America,2047,152.082
Oceania,2047,152.082
China,2048,153.468
Rest of Asia,2048,153.468
North America,2048,153.468
Russia,2048,153.468
Europe,2048,352.2055030807195
India,2048,153.468
Middle East,2048,153.468
Africa,2048,52.919999999999995
Latin America,2048,153.468
Oceania,2048,153.468
China,2049,154.85399999999998
Rest of Asia,2049,154.85399999999998
North America,2049,154.85399999999998
Russia,2049,154.85399999999998
Europe,2049,357.24372792668356
India,2049,154.85399999999998
Middle East,2049,154.85399999999998
Africa,2049,52.919999999999995
Latin America,2049,154.85399999999998
Oceania,2049,154.85399999999998
China,2050,156.23999999999998
Rest of Asia,2050,156.23999999999998
North America,2050,156.23999999999998
Russia,2050,156.23999999999998
Europe,2050,362.20329153034936
India,2050,156.23999999999998
Middle East,2050,156.23999999999998
Africa,2050,52.919999999999995
Latin America,2050,156.23999999999998
Oceania,2050,156.23999999999998
