region,year,value
China,2020,328.0
Rest of Asia,2020,1066.666666666667
North America,2020,9495.999999999998
Russia,2020,0.0
Europe,2020,742.8000000000001
India,2020,0.0
Middle East,2020,1520.0000000000002
Africa,2020,0.0
Latin America,2020,1839.9999999999998
Oceania,2020,533.3333333333334
China,2021,728.0
Rest of Asia,2021,1066.666666666667
North America,2021,9495.999999999998
Russia,2021,0.0
Europe,2021,742.8000000000001
India,2021,0.0
Middle East,2021,1520.0000000000002
Africa,2021,0.0
Latin America,2021,1839.9999999999998
Oceania,2021,533.3333333333334
China,2022,847.9999999999999
Rest of Asia,2022,1066.666666666667
North America,2022,10547.999999999998
Russia,2022,0.0
Europe,2022,742.8000000000001
India,2022,0.0
Middle East,2022,1520.0000000000002
Africa,2022,0.0
Latin America,2022,1839.9999999999998
Oceania,2022,533.3333333333334
China,2023,847.9999999999999
Rest of Asia,2023,1573.3333333333335
North America,2023,13547.999999999996
Russia,2023,0.0
Europe,2023,742.8000000000001
India,2023,0.0
Middle East,2023,1520.0000000000002
Africa,2023,0.0
Latin America,2023,1839.9999999999998
Oceania,2023,786.6666666666667
China,2024,847.9999999999999
Rest of Asia,2024,1839.9999999999998
North America,2024,21108.0
Russia,2024,0.0
Europe,2024,6078.8
India,2024,0.0
Middle East,2024,1520.0000000000002
Africa,2024,0.0
Latin America,2024,1839.9999999999998
Oceania,2024,920.0000000000001
China,2025,847.9999999999999
Rest of Asia,2025,1839.9999999999998
North America,2025,34192.0
Russia,2025,0.0
Europe,2025,15918.8
India,2025,0.0
Middle East,2025,4440.0
Africa,2025,0.0
Latin America,2025,3040.0
Oceania,2025,920.0000000000001
China,2026,2448.0
Rest of Asia,2026,4106.666666666666
North America,2026,46232.0
Russia,2026,0.0
Europe,2026,24918.8
India,2026,0.0
Middle East,2026,4440.0
Africa,2026,0.0
Latin America,2026,3040.0
Oceania,2026,1853.3333333333335
China,2027,19441.375367445362
Rest of Asia,2027,9852.115949284944
North America,2027,98136.46510399674
Russia,2027,667.8009297973098
Europe,2027,131443.666490489
India,2027,1877.7911501820545
Middle East,2027,7281.554384850111
Africa,2027,869.7796633227389
Latin America,2027,5218.133376675102
Oceania,2027,3501.270563708438
China,2028,48156.2848312411
Rest of Asia,2028,19689.85422712586
North America,2028,176928.03418175576
Russia,2028,1766.4986999598914
