product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Carbon Anode + Natural gas,Africa,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,Africa,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,Africa,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,Africa,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,Africa,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,Africa,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Natural gas,China - Central,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,China - Central,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,China - Central,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,China - Central,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,China - Central,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,China - Central,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Natural gas,China - East,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,China - East,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,China - East,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,China - East,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,China - East,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,China - East,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Natural gas,China - North,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,China - North,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,China - North,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,China - North,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,China - North,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,China - North,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Natural gas,China - North East,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,China - North East,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,China - North East,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,China - North East,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,China - North East,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,China - North East,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Natural gas,China - North West,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,China - North West,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,China - North West,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,China - North West,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,China - North West,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,China - North West,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Natural gas,China - South,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,China - South,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,China - South,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,China - South,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,China - South,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,China - South,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Natural gas,Europe,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,Europe,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,Europe,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,Europe,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,Europe,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,Europe,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Natural gas,Middle East,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,Middle East,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,Middle East,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,Middle East,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,Middle East,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,Middle East,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Natural gas,North America,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,North America,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,North America,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,North America,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,North America,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,North America,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Natural gas,Oceania,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,Oceania,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,Oceania,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,Oceania,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,Oceania,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,Oceania,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Natural gas,Rest of Asia,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,Rest of Asia,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,Rest of Asia,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,Rest of Asia,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,Rest of Asia,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,Rest of Asia,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Natural gas,Russia,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,Russia,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,Russia,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,Russia,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,Russia,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,Russia,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Natural gas,South America,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode + Grid,South America,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Coal,South America,30,0.07,initial,,2020,,2020
Aluminium,Carbon Anode+CCS + Hydro,South America,60,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode + PPA+Grid,South America,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,South America,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,South America,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,South America,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,South America,70,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode + Hydro,South America,60,0.05,transitional,,2020,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,Africa,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,Africa,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,Africa,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Africa,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Africa,40,0.05,end-state,,2035,,2020
Aluminium,Inert Anode + PPA+Grid,Africa,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,Africa,70,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,Africa,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,Africa,30,0.06,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,Africa,60,0.05,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,Africa,40,0.05,end-state,,2035,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,China - Central,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,China - Central,90,0.05,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,China - Central,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - Central,30,0.06,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - Central,40,0.05,end-state,,2035,,2020
Aluminium,Inert Anode + PPA+Grid,China - Central,70,0.05,end-state,,2030,,2020
