product,region,type,technology_destination,tco,lcox,switch_capex,salvage_value,marginal cost
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,25.50597292,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,25.18714826,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,24.86832359,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,24.54949893,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,24.23067427,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,23.91184961,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,23.59302495,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,23.27420029,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.95537563,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.63655096,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + Elec-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,25.50597292,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,25.18714826,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,24.86832359,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,24.54949893,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,24.23067427,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,23.91184961,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,23.59302495,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,23.27420029,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.95537563,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.63655096,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,Elec-Boiler + H2-Calciner,#NAME?,#NAME?,22.3177263,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,H2-Boiler + Elec-Calciner,#NAME?,0,44.6354526,#NAME?,
Alumina,China - North,Brownfield Renovation,MVR-Fossil-Boiler + Elec-Calciner,#NAME?,0,111.5886315,#NAME?,
Alumina,China - North,Brownfield Renovation,MVR-Fossil-Boiler + Elec-Calciner,#NAME?,0,110.9509822,#NAME?,
