,year,annual_limit
0,2018,0.823
1,2019,0.80325
2,2020,0.7835
3,2021,0.76375
4,2022,0.744
5,2023,0.72425
6,2024,0.7045
7,2025,0.68475
8,2026,0.665
9,2027,0.64525
10,2028,0.6255
11,2029,0.60575
12,2030,0.586
13,2031,0.5018
14,2032,0.4176
15,2033,0.3334
16,2034,0.2492
17,2035,0.165
18,2036,0.147
19,2037,0.129
20,2038,0.111
21,2039,0.093
22,2040,0.075
23,2041,0.068
24,2042,0.061
25,2043,0.054
26,2044,0.047
27,2045,0.04
28,2046,0.0356
29,2047,0.0312
30,2048,0.0268
31,2049,0.0224
32,2050,0.018
