product,scenario,year,value,region
Aluminium,1.5deg,2020,65.287618,Global
Aluminium,1.5deg,2021,67.46786323,Global
Aluminium,1.5deg,2022,65.11343773,Global
Aluminium,1.5deg,2023,64.67568594,Global
Aluminium,1.5deg,2024,65.17000135,Global
Aluminium,1.5deg,2025,64.51741305,Global
Aluminium,1.5deg,2026,63.85679314,Global
Aluminium,1.5deg,2027,62.60578761,Global
Aluminium,1.5deg,2028,62.87416282,Global
Aluminium,1.5deg,2029,63.23930775,Global
Aluminium,1.5deg,2030,65.62637778,Global
Aluminium,1.5deg,2031,67.49776584,Global
Aluminium,1.5deg,2032,69.46924749,Global
Aluminium,1.5deg,2033,68.92001493,Global
Aluminium,1.5deg,2034,68.89077794,Global
Aluminium,1.5deg,2035,69.03668628,Global
Aluminium,1.5deg,2036,69.4679815,Global
Aluminium,1.5deg,2037,69.64774168,Global
Aluminium,1.5deg,2038,69.95894377,Global
Aluminium,1.5deg,2039,70.3995118,Global
Aluminium,1.5deg,2040,71.06482358,Global
Aluminium,1.5deg,2041,71.97120037,Global
Aluminium,1.5deg,2042,71.70505104,Global
Aluminium,1.5deg,2043,70.99909044,Global
Aluminium,1.5deg,2044,70.48126671,Global
Aluminium,1.5deg,2045,69.97850969,Global
Aluminium,1.5deg,2046,69.49809216,Global
Aluminium,1.5deg,2047,69.0442397,Global
Aluminium,1.5deg,2048,68.61848632,Global
Aluminium,1.5deg,2049,68.22614418,Global
Aluminium,1.5deg,2050,67.8747558,Global
Aluminium,1.5deg,2020,6.222833333,China - North
Aluminium,1.5deg,2021,6.638355877,China - North
Aluminium,1.5deg,2022,6.353199313,China - North
Aluminium,1.5deg,2023,6.280240682,China - North
Aluminium,1.5deg,2024,6.362626583,China - North
Aluminium,1.5deg,2025,6.253861867,China - North
Aluminium,1.5deg,2026,6.143758548,China - North
Aluminium,1.5deg,2027,5.935257627,China - North
Aluminium,1.5deg,2028,5.979986828,China - North
Aluminium,1.5deg,2029,6.040844317,China - North
Aluminium,1.5deg,2030,6.438689322,China - North
Aluminium,1.5deg,2031,6.750587332,China - North
Aluminium,1.5deg,2032,7.079167607,China - North
Aluminium,1.5deg,2033,6.987628847,China - North
Aluminium,1.5deg,2034,6.982756015,China - North
Aluminium,1.5deg,2035,7.007074072,China - North
Aluminium,1.5deg,2036,7.078956608,China - North
Aluminium,1.5deg,2037,7.108916638,China - North
Aluminium,1.5deg,2038,7.160783653,China - North
Aluminium,1.5deg,2039,7.234211658,China - North
Aluminium,1.5deg,2040,7.345096955,China - North
Aluminium,1.5deg,2041,7.496159753,China - North
Aluminium,1.5deg,2042,7.451801532,China - North
Aluminium,1.5deg,2043,7.334141432,China - North
Aluminium,1.5deg,2044,7.247837477,China - North
Aluminium,1.5deg,2045,7.16404464,China - North
Aluminium,1.5deg,2046,7.083975052,China - North
Aluminium,1.5deg,2047,7.008332975,China - North
Aluminium,1.5deg,2048,6.937374078,China - North
Aluminium,1.5deg,2049,6.871983722,China - North
Aluminium,1.5deg,2050,6.813418992,China - North
Aluminium,1.5deg,2020,6.222833333,China - North West
Aluminium,1.5deg,2021,6.638355877,China - North West
