product,technology,year,region,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream,
Aluminium,Carbon Anode + PPA+Grid,2020,China - North,2.0927075,,10.3504236,,,
Aluminium,Carbon Anode + Grid,2020,China - North,2.0927075,,10.3504236,,,
Aluminium,Carbon Anode + Coal,2020,China - North,24.9594859,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas,2020,China - North,8.9648588,,0.0000000,,,
Aluminium,Carbon Anode + Coal+CCS,2020,China - North,4.3793854,,0.0000000,,,
Aluminium,Carbon Anode + Natural Gas+CCS,2020,China - North,2.7799227,,0.0000000,,,
Aluminium,Carbon Anode + Hydro,2020,China - North,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode + Small Modular Reactor,2020,China - North,2.0927075,,0.0000000,,,
Aluminium,Carbon Anode+CCS + PPA+Grid,2020,China - North,1.1354857,,10.3504236,,,
Aluminium,Carbon Anode+CCS + Grid,2020,China - North,1.1354857,,10.3504236,,,
Aluminium,Carbon Anode+CCS + Coal,2020,China - North,24.0022640,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas,2020,China - North,8.0076369,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Coal+CCS,2020,China - North,3.4221635,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,2020,China - North,1.8227008,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Hydro,2020,China - North,1.1354857,,0.0000000,,,
Aluminium,Carbon Anode+CCS + Small Modular Reactor,2020,China - North,1.1354857,,0.0000000,,,
Aluminium,Inert Anode + PPA+Grid,2020,China - North,0.0627075,,10.3504236,,,
Aluminium,Inert Anode + Grid,2020,China - North,0.0627075,,10.3504236,,,
Aluminium,Inert Anode + Coal,2020,China - North,22.9294859,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas,2020,China - North,6.9348588,,0.0000000,,,
Aluminium,Inert Anode + Coal+CCS,2020,China - North,2.3493854,,0.0000000,,,
Aluminium,Inert Anode + Natural Gas+CCS,2020,China - North,0.7499227,,0.0000000,,,
Aluminium,Inert Anode + Hydro,2020,China - North,0.0627075,,0.0000000,,,
Aluminium,Inert Anode + Small Modular Reactor,2020,China - North,0.0627075,,0.0000000,,,
