product,technology,region,year,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream
Alumina,Coal-Boiler + Elec-Calciner,Africa,2020,0.926532824,,0.361938596,,
Alumina,Coal-Boiler + Elec-Calciner,China - Central,2020,0.852100613,,0.302602339,,
Alumina,Coal-Boiler + Elec-Calciner,China - East,2020,0.852100613,,0.44633845,,
Alumina,Coal-Boiler + Elec-Calciner,China - North,2020,0.852100613,,0.574944444,,
Alumina,Coal-Boiler + Elec-Calciner,China - North East,2020,0.852100613,,0.643029971,,
Alumina,Coal-Boiler + Elec-Calciner,China - North West,2020,0.852100613,,0.44633845,,
Alumina,Coal-Boiler + Elec-Calciner,China - South,2020,0.852100613,,0.332862573,,
Alumina,Coal-Boiler + Elec-Calciner,Rest of Europe,2020,1.128586637,,0.240473684,,
Alumina,Coal-Boiler + Elec-Calciner,Middle East,2020,0.86634483,,0.223054094,,
Alumina,Coal-Boiler + Elec-Calciner,US,2020,0.853253324,,0.287861111,,
Alumina,Coal-Boiler + Elec-Calciner,Oceania,2020,0.860828284,,0.481480263,,
Alumina,Coal-Boiler + Elec-Calciner,Rest of Asia,2020,0.926532824,,0.600489035,,
Alumina,Coal-Boiler + Elec-Calciner,Russia,2020,1.128586637,,0.330651316,,
Alumina,Coal-Boiler + Elec-Calciner,South America,2020,0.68149935,,0.121008772,,
Alumina,Coal-Boiler + Gas-Calciner,Africa,2020,1.106857034,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - Central,2020,1.017938634,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - East,2020,1.017938634,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - North,2020,1.017938634,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - North East,2020,1.017938634,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - North West,2020,1.017938634,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - South,2020,1.017938634,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Rest of Europe,2020,1.348235081,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Middle East,2020,1.034955098,,0,,
Alumina,Coal-Boiler + Gas-Calciner,US,2020,1.019315689,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Oceania,2020,1.028364906,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Rest of Asia,2020,1.106857034,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Russia,2020,1.348235081,,0,,
Alumina,Coal-Boiler + Gas-Calciner,South America,2020,0.814134513,,0,,
Alumina,Coal-Boiler + H2-Calciner,Africa,2020,0.926532824,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - Central,2020,0.852100613,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - East,2020,0.852100613,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - North,2020,0.852100613,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - North East,2020,0.852100613,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - North West,2020,0.852100613,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - South,2020,0.852100613,,0,,
Alumina,Coal-Boiler + H2-Calciner,Rest of Europe,2020,1.128586637,,0,,
Alumina,Coal-Boiler + H2-Calciner,Middle East,2020,0.86634483,,0,,
Alumina,Coal-Boiler + H2-Calciner,US,2020,0.853253324,,0,,
Alumina,Coal-Boiler + H2-Calciner,Oceania,2020,0.860828284,,0,,
Alumina,Coal-Boiler + H2-Calciner,Rest of Asia,2020,0.926532824,,0,,
Alumina,Coal-Boiler + H2-Calciner,Russia,2020,1.128586637,,0,,
Alumina,Coal-Boiler + H2-Calciner,South America,2020,0.68149935,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Africa,2020,1.16388289,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - Central,2020,1.070383367,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - East,2020,1.070383367,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - North,2020,1.070383367,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - North East,2020,1.070383367,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - North West,2020,1.070383367,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - South,2020,1.070383367,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Rest of Europe,2020,1.417696861,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Middle East,2020,1.088276528,,0,,
Alumina,Coal-Boiler + Oil-Calciner,US,2020,1.071831369,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Oceania,2020,1.081346807,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Rest of Asia,2020,1.16388289,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Russia,2020,1.417696861,,0,,
Alumina,Coal-Boiler + Oil-Calciner,South America,2020,0.856079151,,0,,
Alumina,Elec-Boiler + Elec-Calciner,Africa,2020,0,,1.403883041,,
Alumina,Elec-Boiler + Elec-Calciner,China - Central,2020,0,,1.173730285,,
Alumina,Elec-Boiler + Elec-Calciner,China - East,2020,0,,1.731252171,,
Alumina,Elec-Boiler + Elec-Calciner,China - North,2020,0,,2.230087542,,
Alumina,Elec-Boiler + Elec-Calciner,China - North East,2020,0,,2.494176856,,
Alumina,Elec-Boiler + Elec-Calciner,China - North West,2020,0,,1.731252171,,
Alumina,Elec-Boiler + Elec-Calciner,China - South,2020,0,,1.291103314,,
Alumina,Elec-Boiler + Elec-Calciner,Rest of Europe,2020,0,,0.932746411,,
Alumina,Elec-Boiler + Elec-Calciner,Middle East,2020,0,,0.865179514,,
Alumina,Elec-Boiler + Elec-Calciner,US,2020,0,,1.116552189,,
Alumina,Elec-Boiler + Elec-Calciner,Oceania,2020,0,,1.867559809,,
Alumina,Elec-Boiler + Elec-Calciner,Rest of Asia,2020,0,,2.329169591,,
Alumina,Elec-Boiler + Elec-Calciner,Russia,2020,0,,1.282526316,,
Alumina,Elec-Boiler + Elec-Calciner,South America,2020,0,,0.469367358,,
Alumina,Elec-Boiler + Gas-Calciner,Africa,2020,0.18032421,,1.041944444,,
Alumina,Elec-Boiler + Gas-Calciner,China - Central,2020,0.165838021,,0.871127946,,
Alumina,Elec-Boiler + Gas-Calciner,China - East,2020,0.165838021,,1.284913721,,
Alumina,Elec-Boiler + Gas-Calciner,China - North,2020,0.165838021,,1.655143098,,
Alumina,Elec-Boiler + Gas-Calciner,China - North East,2020,0.165838021,,1.851146886,,
Alumina,Elec-Boiler + Gas-Calciner,China - North West,2020,0.165838021,,1.284913721,,
Alumina,Elec-Boiler + Gas-Calciner,China - South,2020,0.165838021,,0.958240741,,
Alumina,Elec-Boiler + Gas-Calciner,Rest of Europe,2020,0.219648445,,0.692272727,,
Alumina,Elec-Boiler + Gas-Calciner,Middle East,2020,0.168610267,,0.642125421,,
Alumina,Elec-Boiler + Gas-Calciner,US,2020,0.166062365,,0.828691077,,
Alumina,Elec-Boiler + Gas-Calciner,Oceania,2020,0.167536623,,1.386079545,,
Alumina,Elec-Boiler + Gas-Calciner,Rest of Asia,2020,0.18032421,,1.728680556,,
Alumina,Elec-Boiler + Gas-Calciner,Russia,2020,0.219648445,,0.951875,,
Alumina,Elec-Boiler + Gas-Calciner,South America,2020,0.132635163,,0.348358586,,
Alumina,Elec-Boiler + H2-Calciner,Africa,2020,0,,1.041944444,,
Alumina,Elec-Boiler + H2-Calciner,China - Central,2020,0,,0.871127946,,
Alumina,Elec-Boiler + H2-Calciner,China - East,2020,0,,1.284913721,,
Alumina,Elec-Boiler + H2-Calciner,China - North,2020,0,,1.655143098,,
Alumina,Elec-Boiler + H2-Calciner,China - North East,2020,0,,1.851146886,,
Alumina,Elec-Boiler + H2-Calciner,China - North West,2020,0,,1.284913721,,
Alumina,Elec-Boiler + H2-Calciner,China - South,2020,0,,0.958240741,,
Alumina,Elec-Boiler + H2-Calciner,Rest of Europe,2020,0,,0.692272727,,
Alumina,Elec-Boiler + H2-Calciner,Middle East,2020,0,,0.642125421,,
Alumina,Elec-Boiler + H2-Calciner,US,2020,0,,0.828691077,,
Alumina,Elec-Boiler + H2-Calciner,Oceania,2020,0,,1.386079545,,
Alumina,Elec-Boiler + H2-Calciner,Rest of Asia,2020,0,,1.728680556,,
Alumina,Elec-Boiler + H2-Calciner,Russia,2020,0,,0.951875,,
Alumina,Elec-Boiler + H2-Calciner,South America,2020,0,,0.348358586,,
Alumina,Elec-Boiler + Oil-Calciner,Africa,2020,0.237350066,,1.041944444,,
Alumina,Elec-Boiler + Oil-Calciner,China - Central,2020,0.218282754,,0.871127946,,
Alumina,Elec-Boiler + Oil-Calciner,China - East,2020,0.218282754,,1.284913721,,
Alumina,Elec-Boiler + Oil-Calciner,China - North,2020,0.218282754,,1.655143098,,
Alumina,Elec-Boiler + Oil-Calciner,China - North East,2020,0.218282754,,1.851146886,,
Alumina,Elec-Boiler + Oil-Calciner,China - North West,2020,0.218282754,,1.284913721,,
Alumina,Elec-Boiler + Oil-Calciner,China - South,2020,0.218282754,,0.958240741,,
Alumina,Elec-Boiler + Oil-Calciner,Rest of Europe,2020,0.289110225,,0.692272727,,
Alumina,Elec-Boiler + Oil-Calciner,Middle East,2020,0.221931698,,0.642125421,,
Alumina,Elec-Boiler + Oil-Calciner,US,2020,0.218578045,,0.828691077,,
Alumina,Elec-Boiler + Oil-Calciner,Oceania,2020,0.220518523,,1.386079545,,
Alumina,Elec-Boiler + Oil-Calciner,Rest of Asia,2020,0.237350066,,1.728680556,,
Alumina,Elec-Boiler + Oil-Calciner,Russia,2020,0.289110225,,0.951875,,
Alumina,Elec-Boiler + Oil-Calciner,South America,2020,0.174579801,,0.348358586,,
Alumina,Gas-Boiler + Elec-Calciner,Africa,2020,0.517452081,,0.361938596,,
Alumina,Gas-Boiler + Elec-Calciner,China - Central,2020,0.475883017,,0.302602339,,
Alumina,Gas-Boiler + Elec-Calciner,China - East,2020,0.475883017,,0.44633845,,
Alumina,Gas-Boiler + Elec-Calciner,China - North,2020,0.475883017,,0.574944444,,
Alumina,Gas-Boiler + Elec-Calciner,China - North East,2020,0.475883017,,0.643029971,,
Alumina,Gas-Boiler + Elec-Calciner,China - North West,2020,0.475883017,,0.44633845,,
Alumina,Gas-Boiler + Elec-Calciner,China - South,2020,0.475883017,,0.332862573,,
Alumina,Gas-Boiler + Elec-Calciner,Rest of Europe,2020,0.630295537,,0.240473684,,
Alumina,Gas-Boiler + Elec-Calciner,Middle East,2020,0.483838158,,0.223054094,,
Alumina,Gas-Boiler + Elec-Calciner,US,2020,0.476526785,,0.287861111,,
Alumina,Gas-Boiler + Elec-Calciner,Oceania,2020,0.480757265,,0.481480263,,
Alumina,Gas-Boiler + Elec-Calciner,Rest of Asia,2020,0.517452081,,0.600489035,,
Alumina,Gas-Boiler + Elec-Calciner,Russia,2020,0.630295537,,0.330651316,,
Alumina,Gas-Boiler + Elec-Calciner,South America,2020,0.38060525,,0.121008772,,
Alumina,Gas-Boiler + Gas-Calciner,Africa,2020,0.697776291,,0,,
Alumina,Gas-Boiler + Gas-Calciner,China - Central,2020,0.641721037,,0,,
Alumina,Gas-Boiler + Gas-Calciner,China - East,2020,0.641721037,,0,,
Alumina,Gas-Boiler + Gas-Calciner,China - North,2020,0.641721037,,0,,
