product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity,capacity_factor,year
Aluminium,Carbon Anode + Coal,Africa,30,10%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,Africa,30,10%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,Africa,0,13%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,Africa,60,9%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,Africa,30,10%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,Africa,0,13%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,Africa,30,10%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,Africa,30,10%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,Africa,0,13%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,Africa,60,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,Africa,30,10%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,Africa,30,10%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,Africa,0,13%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,Africa,30,9%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,Africa,30,10%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,Africa,30,10%,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,Africa,0,13%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,Africa,60,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,Africa,30,10%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,Africa,30,10%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,Africa,0,13%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,Africa,30,9%,end-state,,2035,,2020
Aluminium,Carbon Anode + Coal,China - Central,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,China - Central,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,China - Central,0,9%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,China - Central,60,7%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,China - Central,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,China - Central,0,9%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,China - Central,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,China - Central,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,China - Central,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,China - Central,60,7%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,China - Central,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - Central,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,China - Central,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - Central,30,7%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,China - Central,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,China - Central,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,China - Central,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,China - Central,60,7%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,China - Central,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,China - Central,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,China - Central,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,China - Central,30,7%,end-state,,2035,,2020
Aluminium,Carbon Anode + Coal,China - East,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,China - East,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,China - East,0,9%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,China - East,60,7%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,China - East,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,China - East,0,9%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,China - East,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,China - East,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,China - East,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,China - East,60,7%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,China - East,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - East,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,China - East,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - East,30,7%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,China - East,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,China - East,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,China - East,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,China - East,60,7%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,China - East,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,China - East,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,China - East,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Small Modular Reactor,China - East,30,7%,end-state,,2035,,2020
Aluminium,Carbon Anode + Coal,China - North,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + Coal+CCS,China - North,30,8%,transition,,2025,,2020
Aluminium,Carbon Anode + Grid,China - North,0,9%,transition,,2020,,2020
Aluminium,Carbon Anode + Hydro,China - North,60,7%,transition,,2020,,2020
Aluminium,Carbon Anode + Natural Gas,China - North,30,9%,initial,,2020,,2020
Aluminium,Carbon Anode + PPA+Grid,China - North,0,9%,transition,,2025,,2020
Aluminium,Carbon Anode+CCS + Coal,China - North,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Coal+CCS,China - North,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Grid,China - North,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Hydro,China - North,60,7%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas,China - North,30,9%,transition,,2030,,2020
Aluminium,Carbon Anode+CCS + Natural Gas+CCS,China - North,30,8%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + PPA+Grid,China - North,0,9%,end-state,,2030,,2020
Aluminium,Carbon Anode+CCS + Small Modular Reactor,China - North,30,7%,end-state,,2035,,2020
Aluminium,Inert Anode + Coal,China - North,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Coal+CCS,China - North,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + Grid,China - North,0,9%,end-state,,2030,,2020
Aluminium,Inert Anode + Hydro,China - North,60,7%,end-state,,2030,,2020
Aluminium,Inert Anode + Natural Gas,China - North,30,9%,transition,,2030,,2020
Aluminium,Inert Anode + Natural Gas+CCS,China - North,30,8%,end-state,,2030,,2020
Aluminium,Inert Anode + PPA+Grid,China - North,0,9%,end-state,,2030,,2020
