product,scenario,region,year,value
Alumina,BAU,China,2020,67.463
Alumina,BAU,Europe,2020,6.767428
Alumina,BAU,North America,2020,2.090747
Alumina,BAU,South America,2020,11.217819
Alumina,BAU,Middle East,2020,3.969296
Alumina,BAU,Rest of Asia,2020,11.74904922
Alumina,BAU,Africa,2020,0
Alumina,BAU,Oceania,2020,20.737
Alumina,BAU,Russia,2020,2.688844785
Alumina,BAU,China,2021,70.16152
Alumina,BAU,Europe,2021,6.767428
Alumina,BAU,North America,2021,2.090747
Alumina,BAU,South America,2021,11.217819
Alumina,BAU,Middle East,2021,4.5646904
Alumina,BAU,Rest of Asia,2021,11.74249144
Alumina,BAU,Africa,2021,0
Alumina,BAU,Oceania,2021,20.69485704
Alumina,BAU,Russia,2021,2.683380354
Alumina,BAU,China,2022,68.7582896
Alumina,BAU,Europe,2022,6.767428
Alumina,BAU,North America,2022,2.090747
Alumina,BAU,South America,2022,11.217819
Alumina,BAU,Middle East,2022,4.5646904
Alumina,BAU,Rest of Asia,2022,11.36827099
Alumina,BAU,Africa,2022,0
Alumina,BAU,Oceania,2022,18.28996277
Alumina,BAU,Russia,2022,2.371551864
Alumina,BAU,China,2023,68.7582896
Alumina,BAU,Europe,2023,6.767428
Alumina,BAU,North America,2023,2.090747
Alumina,BAU,South America,2023,11.217819
Alumina,BAU,Middle East,2023,4.5646904
Alumina,BAU,Rest of Asia,2023,11.27238398
Alumina,BAU,Africa,2023,0
Alumina,BAU,Oceania,2023,17.6737535
Alumina,BAU,Russia,2023,2.291651634
Alumina,BAU,China,2024,69.4458725
Alumina,BAU,Europe,2024,6.767428
Alumina,BAU,North America,2024,2.090747
Alumina,BAU,South America,2024,11.217819
Alumina,BAU,Middle East,2024,4.5646904
Alumina,BAU,Rest of Asia,2024,11.31091364
Alumina,BAU,Africa,2024,0
Alumina,BAU,Oceania,2024,17.92136091
Alumina,BAU,Russia,2024,2.323757429
Alumina,BAU,China,2025,67.36249632
Alumina,BAU,Europe,2025,6.767428
Alumina,BAU,North America,2025,2.090747
Alumina,BAU,South America,2025,11.217819
Alumina,BAU,Middle East,2025,4.5646904
Alumina,BAU,Rest of Asia,2025,11.33755171
Alumina,BAU,Africa,2025,0
Alumina,BAU,Oceania,2025,18.09254807
Alumina,BAU,Russia,2025,2.345954261
Alumina,BAU,China,2026,69.38337121
Alumina,BAU,Europe,2026,6.767428
Alumina,BAU,North America,2026,2.090747
Alumina,BAU,South America,2026,11.217819
Alumina,BAU,Middle East,2026,4.5646904
Alumina,BAU,Rest of Asia,2026,11.22796132
Alumina,BAU,Africa,2026,0
Alumina,BAU,Oceania,2026,17.38827523
Alumina,BAU,Russia,2026,2.254635346
Alumina,BAU,China,2027,67.30187007
Alumina,BAU,Europe,2027,6.767428
Alumina,BAU,North America,2027,2.090747
Alumina,BAU,South America,2027,11.217819
