product,technology,region,year,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream
Alumina,Coal-Boiler + Elec-Calciner,Africa,2020,2.693133708,,0.347581422,,
Alumina,Coal-Boiler + Elec-Calciner,China - Central,2020,2.476783146,,0.402461111,,
Alumina,Coal-Boiler + Elec-Calciner,China - East,2020,2.476783146,,0.596504861,,
Alumina,Coal-Boiler + Elec-Calciner,China - North,2020,2.476783146,,0.768988194,,
Alumina,Coal-Boiler + Elec-Calciner,China - North East,2020,2.476783146,,0.855229861,,
Alumina,Coal-Boiler + Elec-Calciner,China - North West,2020,2.476783146,,0.596504861,,
Alumina,Coal-Boiler + Elec-Calciner,China - South,2020,2.476783146,,0.438395139,,
Alumina,Coal-Boiler + Elec-Calciner,Europe,2020,3.280439326,,0.224458831,,
Alumina,Coal-Boiler + Elec-Calciner,Middle East,2020,2.518186517,,0.209805677,,
Alumina,Coal-Boiler + Elec-Calciner,North America,2020,2.480133708,,0.273398722,,
Alumina,Coal-Boiler + Elec-Calciner,Oceania,2020,2.502151685,,0.456146546,,
Alumina,Coal-Boiler + Elec-Calciner,Rest of Asia,2020,2.693133708,,0.568395772,,
Alumina,Coal-Boiler + Elec-Calciner,Russia,2020,3.280439326,,0.314309125,,
Alumina,Coal-Boiler + Elec-Calciner,South America,2020,1.9809,,0.117496234,,
Alumina,Coal-Boiler + Gas-Calciner,Africa,2020,2.897733708,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - Central,2020,2.664946782,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - East,2020,2.664946782,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - North,2020,2.664946782,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - North East,2020,2.664946782,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - North West,2020,2.664946782,,0,,
Alumina,Coal-Boiler + Gas-Calciner,China - South,2020,2.664946782,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Europe,2020,3.529657508,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Middle East,2020,2.709495608,,0,,
Alumina,Coal-Boiler + Gas-Calciner,North America,2020,2.66855189,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Oceania,2020,2.692242594,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Rest of Asia,2020,2.897733708,,0,,
Alumina,Coal-Boiler + Gas-Calciner,Russia,2020,3.529657508,,0,,
Alumina,Coal-Boiler + Gas-Calciner,South America,2020,2.131390909,,0,,
Alumina,Coal-Boiler + H2-Calciner,Africa,2020,2.693133708,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - Central,2020,2.476783146,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - East,2020,2.476783146,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - North,2020,2.476783146,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - North East,2020,2.476783146,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - North West,2020,2.476783146,,0,,
Alumina,Coal-Boiler + H2-Calciner,China - South,2020,2.476783146,,0,,
Alumina,Coal-Boiler + H2-Calciner,Europe,2020,3.280439326,,0,,
Alumina,Coal-Boiler + H2-Calciner,Middle East,2020,2.518186517,,0,,
Alumina,Coal-Boiler + H2-Calciner,North America,2020,2.480133708,,0,,
Alumina,Coal-Boiler + H2-Calciner,Oceania,2020,2.502151685,,0,,
Alumina,Coal-Boiler + H2-Calciner,Rest of Asia,2020,2.693133708,,0,,
Alumina,Coal-Boiler + H2-Calciner,Russia,2020,3.280439326,,0,,
Alumina,Coal-Boiler + H2-Calciner,South America,2020,1.9809,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Africa,2020,2.897733708,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - Central,2020,2.664946782,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - East,2020,2.664946782,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - North,2020,2.664946782,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - North East,2020,2.664946782,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - North West,2020,2.664946782,,0,,
Alumina,Coal-Boiler + Oil-Calciner,China - South,2020,2.664946782,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Europe,2020,3.529657508,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Middle East,2020,2.709495608,,0,,
Alumina,Coal-Boiler + Oil-Calciner,North America,2020,2.66855189,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Oceania,2020,2.692242594,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Rest of Asia,2020,2.897733708,,0,,
Alumina,Coal-Boiler + Oil-Calciner,Russia,2020,3.529657508,,0,,
Alumina,Coal-Boiler + Oil-Calciner,South America,2020,2.131390909,,0,,
Alumina,Elec-Boiler + Elec-Calciner,Africa,2020,0,,1.400858458,,
Alumina,Elec-Boiler + Elec-Calciner,China - Central,2020,0,,1.622040236,,
Alumina,Elec-Boiler + Elec-Calciner,China - East,2020,0,,2.404095349,,
Alumina,Elec-Boiler + Elec-Calciner,China - North,2020,0,,3.09925545,,
Alumina,Elec-Boiler + Elec-Calciner,China - North East,2020,0,,3.446835501,,
Alumina,Elec-Boiler + Elec-Calciner,China - North West,2020,0,,2.404095349,,
Alumina,Elec-Boiler + Elec-Calciner,China - South,2020,0,,1.766865257,,
Alumina,Elec-Boiler + Elec-Calciner,Europe,2020,0,,0.904637108,,
Alumina,Elec-Boiler + Elec-Calciner,Middle East,2020,0,,0.845580457,,
Alumina,Elec-Boiler + Elec-Calciner,North America,2020,0,,1.101879697,,
Alumina,Elec-Boiler + Elec-Calciner,Oceania,2020,0,,1.838408807,,
Alumina,Elec-Boiler + Elec-Calciner,Rest of Asia,2020,0,,2.290807203,,
Alumina,Elec-Boiler + Elec-Calciner,Russia,2020,0,,1.266761019,,
Alumina,Elec-Boiler + Elec-Calciner,South America,2020,0,,0.473545428,,
Alumina,Elec-Boiler + Gas-Calciner,Africa,2020,0.2046,,1.053277036,,
Alumina,Elec-Boiler + Gas-Calciner,China - Central,2020,0.188163636,,1.219579125,,
Alumina,Elec-Boiler + Gas-Calciner,China - East,2020,0.188163636,,1.807590488,,
