,year,annual_limit
0,2018,1.714810432
1,2019,1.6849217563333332
2,2020,1.6550330806666664
3,2021,1.6251444049999997
4,2022,1.5952557293333334
5,2023,1.5653670536666666
6,2024,1.5354783779999999
7,2025,1.5055897023333333
8,2026,1.4757010266666666
9,2027,1.445812351
10,2028,1.4159236753333335
11,2029,1.3860349996666668
12,2030,1.356146324
13,2031,1.28240238852
14,2032,1.20865845304
15,2033,1.13491451756
16,2034,1.06117058208
17,2035,0.9874266466
18,2036,0.9165264069
19,2037,0.8456261672000001
20,2038,0.7747259275
21,2039,0.7038256878
22,2040,0.6329254481000001
23,2041,0.5798536628400001
24,2042,0.5267818775800001
25,2043,0.47371009232000005
26,2044,0.42063830706000005
27,2045,0.36756652180000005
28,2046,0.3200636632400001
29,2047,0.27256080468
30,2048,0.22505794612000002
31,2049,0.17755508756000002
32,2050,0.130052229
