product,scenario,year,value,region
Aluminium,1.5deg,2020,65.28762,Global
Aluminium,1.5deg,2021,67.46786,Global
Aluminium,1.5deg,2022,65.11344,Global
Aluminium,1.5deg,2023,64.67569,Global
Aluminium,1.5deg,2024,65.17000,Global
Aluminium,1.5deg,2025,64.51741,Global
Aluminium,1.5deg,2026,63.85720,Global
Aluminium,1.5deg,2027,62.60620,Global
Aluminium,1.5deg,2028,62.87456,Global
Aluminium,1.5deg,2029,63.23969,Global
Aluminium,1.5deg,2030,65.62675,Global
Aluminium,1.5deg,2031,68.57432,Global
Aluminium,1.5deg,2032,71.83941,Global
Aluminium,1.5deg,2033,71.75773,Global
Aluminium,1.5deg,2034,72.28238,Global
Aluminium,1.5deg,2035,72.81121,Global
Aluminium,1.5deg,2036,73.33825,Global
Aluminium,1.5deg,2037,73.89389,Global
Aluminium,1.5deg,2038,74.35959,Global
Aluminium,1.5deg,2039,75.66674,Global
Aluminium,1.5deg,2040,77.02205,Global
Aluminium,1.5deg,2041,79.09452,Global
Aluminium,1.5deg,2042,81.16787,Global
Aluminium,1.5deg,2043,83.35873,Global
Aluminium,1.5deg,2044,85.66623,Global
Aluminium,1.5deg,2045,88.09302,Global
Aluminium,1.5deg,2046,90.63054,Global
Aluminium,1.5deg,2047,93.31565,Global
Aluminium,1.5deg,2048,96.14613,Global
Aluminium,1.5deg,2049,99.13429,Global
Aluminium,1.5deg,2050,102.31332,Global
Aluminium,1.5deg,2020,37.33700,China
Aluminium,1.5deg,2020,3.54038,Rest of Europe
Aluminium,1.5deg,2020,1.57439,US
Aluminium,1.5deg,2020,1.00737,South America
Aluminium,1.5deg,2020,6.18551,Middle East
Aluminium,1.5deg,2020,5.17770,Rest of Asia
Aluminium,1.5deg,2020,2.09298,Africa
Aluminium,1.5deg,2020,2.11471,Oceania
Aluminium,1.5deg,2020,3.74723,Russia
Aluminium,1.5deg,2021,39.20385,China
Aluminium,1.5deg,2021,3.39876,Rest of Europe
Aluminium,1.5deg,2021,1.57439,US
Aluminium,1.5deg,2021,0.93685,South America
Aluminium,1.5deg,2021,6.18551,Middle East
Aluminium,1.5deg,2021,5.12662,Rest of Asia
Aluminium,1.5deg,2021,2.24584,Africa
Aluminium,1.5deg,2021,2.26917,Oceania
Aluminium,1.5deg,2021,4.02093,Russia
Aluminium,1.5deg,2022,38.41977,China
Aluminium,1.5deg,2022,3.22882,Rest of Europe
Aluminium,1.5deg,2022,1.51141,US
Aluminium,1.5deg,2022,0.93685,South America
Aluminium,1.5deg,2022,5.87624,Middle East
Aluminium,1.5deg,2022,5.05962,Rest of Asia
Aluminium,1.5deg,2022,2.01961,Africa
Aluminium,1.5deg,2022,2.04058,Oceania
Aluminium,1.5deg,2022,3.61588,Russia
Aluminium,1.5deg,2023,38.41977,China
Aluminium,1.5deg,2023,3.22882,Rest of Europe
Aluminium,1.5deg,2023,1.51141,US
Aluminium,1.5deg,2023,0.93685,South America
Aluminium,1.5deg,2023,5.87624,Middle East
Aluminium,1.5deg,2023,5.02798,Rest of Asia
Aluminium,1.5deg,2023,1.91276,Africa
Aluminium,1.5deg,2023,1.93262,Oceania
Aluminium,1.5deg,2023,3.42458,Russia
Aluminium,1.5deg,2024,38.80397,China
Aluminium,1.5deg,2024,3.22882,Rest of Europe
Aluminium,1.5deg,2024,1.51141,US
Aluminium,1.5deg,2024,0.93685,South America
Aluminium,1.5deg,2024,5.87624,Middle East
Aluminium,1.5deg,2024,5.03594,Rest of Asia
Aluminium,1.5deg,2024,1.93964,Africa
Aluminium,1.5deg,2024,1.95978,Oceania
Aluminium,1.5deg,2024,3.47270,Russia
Aluminium,1.5deg,2025,37.63985,China
Aluminium,1.5deg,2025,3.22882,Rest of Europe
Aluminium,1.5deg,2025,1.51141,US
Aluminium,1.5deg,2025,0.93685,South America
Aluminium,1.5deg,2025,5.87624,Middle East
Aluminium,1.5deg,2025,5.07291,Rest of Asia
Aluminium,1.5deg,2025,2.06450,Africa
Aluminium,1.5deg,2025,2.08594,Oceania
Aluminium,1.5deg,2025,3.69624,Russia
Aluminium,1.5deg,2026,38.76905,China
Aluminium,1.5deg,2026,3.35798,Rest of Europe
Aluminium,1.5deg,2026,1.51141,US
Aluminium,1.5deg,2026,0.93685,South America
Aluminium,1.5deg,2026,6.05253,Middle East
Aluminium,1.5deg,2026,4.92120,Rest of Asia
Aluminium,1.5deg,2026,1.55219,Africa
Aluminium,1.5deg,2026,1.56831,Oceania
Aluminium,1.5deg,2026,2.77902,Russia
Aluminium,1.5deg,2027,37.60598,China
Aluminium,1.5deg,2027,3.35798,Rest of Europe
Aluminium,1.5deg,2027,1.51141,US
Aluminium,1.5deg,2027,0.93685,South America
Aluminium,1.5deg,2027,6.05253,Middle East
Aluminium,1.5deg,2027,4.91484,Rest of Asia
Aluminium,1.5deg,2027,1.53073,Africa
Aluminium,1.5deg,2027,1.54662,Oceania
Aluminium,1.5deg,2027,2.74059,Russia
Aluminium,1.5deg,2028,37.55892,China
Aluminium,1.5deg,2028,3.35798,Rest of Europe
Aluminium,1.5deg,2028,1.51141,US
Aluminium,1.5deg,2028,0.93685,South America
Aluminium,1.5deg,2028,6.23410,Middle East
Aluminium,1.5deg,2028,5.04869,Rest of Asia
Aluminium,1.5deg,2028,1.53073,Africa
Aluminium,1.5deg,2028,1.54662,Oceania
Aluminium,1.5deg,2028,2.74059,Russia
Aluminium,1.5deg,2029,37.59917,China
Aluminium,1.5deg,2029,3.35798,Rest of Europe
Aluminium,1.5deg,2029,1.51141,US
Aluminium,1.5deg,2029,0.93685,South America
Aluminium,1.5deg,2029,6.42112,Middle East
Aluminium,1.5deg,2029,5.18655,Rest of Asia
Aluminium,1.5deg,2029,1.53073,Africa
