,year,annual_limit
0,2018,8.651078339
1,2019,8.447207505583332
2,2020,8.243336672166667
3,2021,8.039465838749999
4,2022,7.835595005333333
5,2023,7.631724171916667
6,2024,7.427853338499999
7,2025,7.223982505083333
8,2026,7.020111671666666
9,2027,6.81624083825
10,2028,6.612370004833333
11,2029,6.408499171416667
12,2030,6.204628338
13,2031,5.3447562254
14,2032,4.4848841128
15,2033,3.6250120001999995
16,2034,2.7651398875999997
17,2035,1.905267775
18,2036,1.70714941098
19,2037,1.5090310469600001
20,2038,1.31091268294
21,2039,1.1127943189199998
22,2040,0.9146759549
23,2041,0.83284685606
24,2042,0.75101775722
25,2043,0.6691886583799999
26,2044,0.58735955954
27,2045,0.5055304607
28,2046,0.44867485564
29,2047,0.39181925058000006
30,2048,0.33496364552
31,2049,0.27810804046000004
32,2050,0.2212524354
