product,technology,region,year,co2_scope1,co2_scope1_captured,co2_scope2,co2_scope3_upstream,co2_scope3_downstream,
Alumina,Coal-Boiler + Elec-Calciner,Africa,2020,0.926533,,0.365875,,,
Alumina,Coal-Boiler + Elec-Calciner,China - Central,2020,0.852101,,0.302594,,,
Alumina,Coal-Boiler + Elec-Calciner,China - East,2020,0.852101,,0.448487,,,
Alumina,Coal-Boiler + Elec-Calciner,China - North,2020,0.852101,,0.57817,,,
Alumina,Coal-Boiler + Elec-Calciner,China - North East,2020,0.852101,,0.643011,,,
Alumina,Coal-Boiler + Elec-Calciner,China - North West,2020,0.852101,,0.448487,,,
Alumina,Coal-Boiler + Elec-Calciner,China - South,2020,0.852101,,0.329611,,,
Alumina,Coal-Boiler + Elec-Calciner,Rest of Europe,2020,1.128587,,0.236272,,,
Alumina,Coal-Boiler + Elec-Calciner,Middle East,2020,0.866345,,0.220848,,,
Alumina,Coal-Boiler + Elec-Calciner,US,2020,0.853253,,0.287788,,,
Alumina,Coal-Boiler + Elec-Calciner,Oceania,2020,0.860828,,0.480154,,,
Alumina,Coal-Boiler + Elec-Calciner,Rest of Asia,2020,0.926533,,0.550435,,,
Alumina,Coal-Boiler + Elec-Calciner,Russia,2020,1.128587,,0.326564,,,
Alumina,Coal-Boiler + Elec-Calciner,South America,2020,0.681499,,0.12368,,,
Alumina,Coal-Boiler + Gas-Calciner,Africa,2020,1.106857,,0,,,
Alumina,Coal-Boiler + Gas-Calciner,China - Central,2020,1.017939,,0,,,
Alumina,Coal-Boiler + Gas-Calciner,China - East,2020,1.017939,,0,,,
Alumina,Coal-Boiler + Gas-Calciner,China - North,2020,1.017939,,0,,,
Alumina,Coal-Boiler + Gas-Calciner,China - North East,2020,1.017939,,0,,,
Alumina,Coal-Boiler + Gas-Calciner,China - North West,2020,1.017939,,0,,,
Alumina,Coal-Boiler + Gas-Calciner,China - South,2020,1.017939,,0,,,
Alumina,Coal-Boiler + Gas-Calciner,Rest of Europe,2020,1.348235,,0,,,
Alumina,Coal-Boiler + Gas-Calciner,Middle East,2020,1.034955,,0,,,
Alumina,Coal-Boiler + Gas-Calciner,US,2020,1.019316,,0,,,
Alumina,Coal-Boiler + Gas-Calciner,Oceania,2020,1.028365,,0,,,
Alumina,Coal-Boiler + Gas-Calciner,Rest of Asia,2020,1.106857,,0,,,
Alumina,Coal-Boiler + Gas-Calciner,Russia,2020,1.348235,,0,,,
Alumina,Coal-Boiler + Gas-Calciner,South America,2020,0.814135,,0,,,
Alumina,Coal-Boiler + H2-Calciner,Africa,2020,0.926533,,0,,,
Alumina,Coal-Boiler + H2-Calciner,China - Central,2020,0.852101,,0,,,
Alumina,Coal-Boiler + H2-Calciner,China - East,2020,0.852101,,0,,,
Alumina,Coal-Boiler + H2-Calciner,China - North,2020,0.852101,,0,,,
Alumina,Coal-Boiler + H2-Calciner,China - North East,2020,0.852101,,0,,,
Alumina,Coal-Boiler + H2-Calciner,China - North West,2020,0.852101,,0,,,
Alumina,Coal-Boiler + H2-Calciner,China - South,2020,0.852101,,0,,,
Alumina,Coal-Boiler + H2-Calciner,Rest of Europe,2020,1.128587,,0,,,
Alumina,Coal-Boiler + H2-Calciner,Middle East,2020,0.866345,,0,,,
Alumina,Coal-Boiler + H2-Calciner,US,2020,0.853253,,0,,,
Alumina,Coal-Boiler + H2-Calciner,Oceania,2020,0.860828,,0,,,
Alumina,Coal-Boiler + H2-Calciner,Rest of Asia,2020,0.926533,,0,,,
Alumina,Coal-Boiler + H2-Calciner,Russia,2020,1.128587,,0,,,
Alumina,Coal-Boiler + H2-Calciner,South America,2020,0.681499,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,Africa,2020,1.163883,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,China - Central,2020,1.070383,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,China - East,2020,1.070383,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,China - North,2020,1.070383,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,China - North East,2020,1.070383,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,China - North West,2020,1.070383,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,China - South,2020,1.070383,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,Rest of Europe,2020,1.417697,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,Middle East,2020,1.088277,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,US,2020,1.071831,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,Oceania,2020,1.081347,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,Rest of Asia,2020,1.163883,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,Russia,2020,1.417697,,0,,,
Alumina,Coal-Boiler + Oil-Calciner,South America,2020,0.856079,,0,,,
Alumina,Elec-Boiler + Elec-Calciner,Africa,2020,0,,1.419152,,,
Alumina,Elec-Boiler + Elec-Calciner,China - Central,2020,0,,1.173697,,,
Alumina,Elec-Boiler + Elec-Calciner,China - East,2020,0,,1.739586,,,
Alumina,Elec-Boiler + Elec-Calciner,China - North,2020,0,,2.242599,,,
Alumina,Elec-Boiler + Elec-Calciner,China - North East,2020,0,,2.494105,,,
Alumina,Elec-Boiler + Elec-Calciner,China - North West,2020,0,,1.739586,,,
Alumina,Elec-Boiler + Elec-Calciner,China - South,2020,0,,1.278491,,,
Alumina,Elec-Boiler + Elec-Calciner,Rest of Europe,2020,0,,0.916451,,,
Alumina,Elec-Boiler + Elec-Calciner,Middle East,2020,0,,0.856623,,,
Alumina,Elec-Boiler + Elec-Calciner,US,2020,0,,1.116269,,,
Alumina,Elec-Boiler + Elec-Calciner,Oceania,2020,0,,1.862417,,,
Alumina,Elec-Boiler + Elec-Calciner,Rest of Asia,2020,0,,2.135019,,,
Alumina,Elec-Boiler + Elec-Calciner,Russia,2020,0,,1.266673,,,
Alumina,Elec-Boiler + Elec-Calciner,South America,2020,0,,0.479729,,,
Alumina,Elec-Boiler + Gas-Calciner,Africa,2020,0.180324,,1.053277,,,
Alumina,Elec-Boiler + Gas-Calciner,China - Central,2020,0.165838,,0.871103,,,
Alumina,Elec-Boiler + Gas-Calciner,China - East,2020,0.165838,,1.291099,,,
Alumina,Elec-Boiler + Gas-Calciner,China - North,2020,0.165838,,1.664429,,,
Alumina,Elec-Boiler + Gas-Calciner,China - North East,2020,0.165838,,1.851094,,,
Alumina,Elec-Boiler + Gas-Calciner,China - North West,2020,0.165838,,1.291099,,,
Alumina,Elec-Boiler + Gas-Calciner,China - South,2020,0.165838,,0.94888,,,
Alumina,Elec-Boiler + Gas-Calciner,Rest of Europe,2020,0.219648,,0.680178,,,
Alumina,Elec-Boiler + Gas-Calciner,Middle East,2020,0.16861,,0.635775,,,
Alumina,Elec-Boiler + Gas-Calciner,US,2020,0.166062,,0.828481,,,
Alumina,Elec-Boiler + Gas-Calciner,Oceania,2020,0.167537,,1.382262,,,
Alumina,Elec-Boiler + Gas-Calciner,Rest of Asia,2020,0.180324,,1.584585,,,
Alumina,Elec-Boiler + Gas-Calciner,Russia,2020,0.219648,,0.940109,,,
Alumina,Elec-Boiler + Gas-Calciner,South America,2020,0.132635,,0.356049,,,
Alumina,Elec-Boiler + H2-Calciner,Africa,2020,0,,1.053277,,,
Alumina,Elec-Boiler + H2-Calciner,China - Central,2020,0,,0.871103,,,
Alumina,Elec-Boiler + H2-Calciner,China - East,2020,0,,1.291099,,,
Alumina,Elec-Boiler + H2-Calciner,China - North,2020,0,,1.664429,,,
Alumina,Elec-Boiler + H2-Calciner,China - North East,2020,0,,1.851094,,,
Alumina,Elec-Boiler + H2-Calciner,China - North West,2020,0,,1.291099,,,
Alumina,Elec-Boiler + H2-Calciner,China - South,2020,0,,0.94888,,,
Alumina,Elec-Boiler + H2-Calciner,Rest of Europe,2020,0,,0.680178,,,
Alumina,Elec-Boiler + H2-Calciner,Middle East,2020,0,,0.635775,,,
Alumina,Elec-Boiler + H2-Calciner,US,2020,0,,0.828481,,,
Alumina,Elec-Boiler + H2-Calciner,Oceania,2020,0,,1.382262,,,
Alumina,Elec-Boiler + H2-Calciner,Rest of Asia,2020,0,,1.584585,,,
Alumina,Elec-Boiler + H2-Calciner,Russia,2020,0,,0.940109,,,
Alumina,Elec-Boiler + H2-Calciner,South America,2020,0,,0.356049,,,
Alumina,Elec-Boiler + Oil-Calciner,Africa,2020,0.23735,,1.053277,,,
Alumina,Elec-Boiler + Oil-Calciner,China - Central,2020,0.218283,,0.871103,,,
Alumina,Elec-Boiler + Oil-Calciner,China - East,2020,0.218283,,1.291099,,,
Alumina,Elec-Boiler + Oil-Calciner,China - North,2020,0.218283,,1.664429,,,
Alumina,Elec-Boiler + Oil-Calciner,China - North East,2020,0.218283,,1.851094,,,
Alumina,Elec-Boiler + Oil-Calciner,China - North West,2020,0.218283,,1.291099,,,
Alumina,Elec-Boiler + Oil-Calciner,China - South,2020,0.218283,,0.94888,,,
Alumina,Elec-Boiler + Oil-Calciner,Rest of Europe,2020,0.28911,,0.680178,,,
Alumina,Elec-Boiler + Oil-Calciner,Middle East,2020,0.221932,,0.635775,,,
Alumina,Elec-Boiler + Oil-Calciner,US,2020,0.218578,,0.828481,,,
Alumina,Elec-Boiler + Oil-Calciner,Oceania,2020,0.220519,,1.382262,,,
Alumina,Elec-Boiler + Oil-Calciner,Rest of Asia,2020,0.23735,,1.584585,,,
Alumina,Elec-Boiler + Oil-Calciner,Russia,2020,0.28911,,0.940109,,,
Alumina,Elec-Boiler + Oil-Calciner,South America,2020,0.17458,,0.356049,,,
Alumina,Gas-Boiler + Elec-Calciner,Africa,2020,0.517452,,0.365875,,,
Alumina,Gas-Boiler + Elec-Calciner,China - Central,2020,0.475883,,0.302594,,,
Alumina,Gas-Boiler + Elec-Calciner,China - East,2020,0.475883,,0.448487,,,
Alumina,Gas-Boiler + Elec-Calciner,China - North,2020,0.475883,,0.57817,,,
Alumina,Gas-Boiler + Elec-Calciner,China - North East,2020,0.475883,,0.643011,,,
Alumina,Gas-Boiler + Elec-Calciner,China - North West,2020,0.475883,,0.448487,,,
Alumina,Gas-Boiler + Elec-Calciner,China - South,2020,0.475883,,0.329611,,,
Alumina,Gas-Boiler + Elec-Calciner,Rest of Europe,2020,0.630296,,0.236272,,,
Alumina,Gas-Boiler + Elec-Calciner,Middle East,2020,0.483838,,0.220848,,,
Alumina,Gas-Boiler + Elec-Calciner,US,2020,0.476527,,0.287788,,,
Alumina,Gas-Boiler + Elec-Calciner,Oceania,2020,0.480757,,0.480154,,,
Alumina,Gas-Boiler + Elec-Calciner,Rest of Asia,2020,0.517452,,0.550435,,,
Alumina,Gas-Boiler + Elec-Calciner,Russia,2020,0.630296,,0.326564,,,
Alumina,Gas-Boiler + Elec-Calciner,South America,2020,0.380605,,0.12368,,,
Alumina,Gas-Boiler + Gas-Calciner,Africa,2020,0.697776,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,China - Central,2020,0.641721,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,China - East,2020,0.641721,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,China - North,2020,0.641721,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,China - North East,2020,0.641721,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,China - North West,2020,0.641721,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,China - South,2020,0.641721,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,Rest of Europe,2020,0.849944,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,Middle East,2020,0.652448,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,US,2020,0.642589,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,Oceania,2020,0.648294,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,Rest of Asia,2020,0.697776,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,Russia,2020,0.849944,,0,,,
Alumina,Gas-Boiler + Gas-Calciner,South America,2020,0.51324,,0,,,
Alumina,Gas-Boiler + H2-Calciner,Africa,2020,0.517452,,0,,,
Alumina,Gas-Boiler + H2-Calciner,China - Central,2020,0.475883,,0,,,
Alumina,Gas-Boiler + H2-Calciner,China - East,2020,0.475883,,0,,,
Alumina,Gas-Boiler + H2-Calciner,China - North,2020,0.475883,,0,,,
Alumina,Gas-Boiler + H2-Calciner,China - North East,2020,0.475883,,0,,,
Alumina,Gas-Boiler + H2-Calciner,China - North West,2020,0.475883,,0,,,
Alumina,Gas-Boiler + H2-Calciner,China - South,2020,0.475883,,0,,,
