product,technology,region,technology_lifetime,wacc,technology_classification,current_trl,expected_maturity
Ammonia,Natural Gas SMR + ammonia synthesis,China,30,0.06,Conventional,9,2020
Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,30,0.06,Conventional,9,2020
Ammonia,Natural Gas SMR + ammonia synthesis,North America,30,0.06,Conventional,9,2020
Ammonia,Natural Gas SMR + ammonia synthesis,Russia,30,0.06,Conventional,9,2020
Ammonia,Natural Gas SMR + ammonia synthesis,Europe,30,0.06,Conventional,9,2020
Ammonia,Natural Gas SMR + ammonia synthesis,India,30,0.06,Conventional,9,2020
Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,30,0.06,Conventional,9,2020
Ammonia,Natural Gas SMR + ammonia synthesis,Africa,30,0.06,Conventional,9,2020
Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,30,0.06,Conventional,9,2020
Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,30,0.06,Conventional,9,2020
Ammonia,Coal Gasification + ammonia synthesis,China,30,0.06,Conventional,9,2020
Ammonia,Coal Gasification + ammonia synthesis,Rest of Asia,30,0.06,Conventional,9,2020
Ammonia,Coal Gasification + ammonia synthesis,North America,30,0.06,Conventional,9,2020
Ammonia,Coal Gasification + ammonia synthesis,Russia,30,0.06,Conventional,9,2020
Ammonia,Coal Gasification + ammonia synthesis,Europe,30,0.06,Conventional,9,2020
Ammonia,Coal Gasification + ammonia synthesis,India,30,0.06,Conventional,9,2020
Ammonia,Coal Gasification + ammonia synthesis,Middle East,30,0.06,Conventional,9,2020
Ammonia,Coal Gasification + ammonia synthesis,Africa,30,0.06,Conventional,9,2020
Ammonia,Coal Gasification + ammonia synthesis,Latin America,30,0.06,Conventional,9,2020
Ammonia,Coal Gasification + ammonia synthesis,Oceania,30,0.06,Conventional,9,2020
Ammonia,Coal Gasification+ CCS + ammonia synthesis,China,30,0.06,Transition,9,2025
Ammonia,Coal Gasification+ CCS + ammonia synthesis,Rest of Asia,30,0.06,Transition,9,2025
Ammonia,Coal Gasification+ CCS + ammonia synthesis,North America,30,0.06,Transition,9,2025
Ammonia,Coal Gasification+ CCS + ammonia synthesis,Russia,30,0.06,Transition,9,2025
Ammonia,Coal Gasification+ CCS + ammonia synthesis,Europe,30,0.06,Transition,9,2025
Ammonia,Coal Gasification+ CCS + ammonia synthesis,India,30,0.06,Transition,9,2025
Ammonia,Coal Gasification+ CCS + ammonia synthesis,Middle East,30,0.06,Transition,9,2025
Ammonia,Coal Gasification+ CCS + ammonia synthesis,Africa,30,0.06,Transition,9,2025
Ammonia,Coal Gasification+ CCS + ammonia synthesis,Latin America,30,0.06,Transition,9,2025
Ammonia,Coal Gasification+ CCS + ammonia synthesis,Oceania,30,0.06,Transition,9,2025
Ammonia,Natural Gas ATR + CCS + ammonia synthesis,China,30,0.06,End-state,9,2025
Ammonia,Natural Gas ATR + CCS + ammonia synthesis,Rest of Asia,30,0.06,End-state,9,2025
Ammonia,Natural Gas ATR + CCS + ammonia synthesis,North America,30,0.06,End-state,9,2025
Ammonia,Natural Gas ATR + CCS + ammonia synthesis,Russia,30,0.06,End-state,9,2025
Ammonia,Natural Gas ATR + CCS + ammonia synthesis,Europe,30,0.06,End-state,9,2025
Ammonia,Natural Gas ATR + CCS + ammonia synthesis,India,30,0.06,End-state,9,2025
Ammonia,Natural Gas ATR + CCS + ammonia synthesis,Middle East,30,0.06,End-state,9,2025
Ammonia,Natural Gas ATR + CCS + ammonia synthesis,Africa,30,0.06,End-state,9,2025
Ammonia,Natural Gas ATR + CCS + ammonia synthesis,Latin America,30,0.06,End-state,9,2025
Ammonia,Natural Gas ATR + CCS + ammonia synthesis,Oceania,30,0.06,End-state,9,2025
Ammonia,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,China,30,0.06,Transition,9,2020
