,technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,Natural Gas SMR + ammonia synthesis,243.53398100840667,245.19800785467513,245.19800785467513,235.21384677706442,231.8857930845275,234.80149035665733,236.05316078251872,238.96885805464854,238.96885805464854,240.2205284805099,245.63956660436247,248.14290745608523,251.05860472821504,252.31027515407644,255.22597242620625,242.98711757768038,244.593251048342,245.11712893583095,245.83291717302788,247.18275916215435,236.91420171419855,248.61379375248174,261.0573669704659,263.28686424259575,248.1036341124907,249.4950998919167,266.47640509431847,249.4950998919167,251.04263061021464,245.35774273564095,247.04435030169324
1,Coal Gasification + ammonia synthesis,85.2488995025938,85.2488995025938,85.2488995025938,83.58487265632535,81.92084581005689,80.25681896378843,73.84853842498308,67.44025788617772,62.93615788617772,64.60785788617771,63.191657886177715,57.97945788617772,58.94305788617772,56.818757886177714,54.694457886177716,51.59159041122526,51.59159041122526,51.59159041122526,51.59159041122526,51.59159041122526,51.00841015212365,51.59159041122526,52.57015788617772,52.57015788617772,51.59159041122526,51.59159041122526,52.57015788617772,51.59159041122526,51.59159041122526,51.00841015212365,50.42522989302204
5,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,0.0,4.2486,6.620726846268453,8.036926846268452,8.745026846268452,11.9564676979912,13.3726676979912,16.58410854971395,19.251978975575323,21.2117494014367,21.919849401436696,23.336049401436696,24.587719827298073,25.29581982729807,26.00391982729807,28.671790253159447,29.379890253159445,32.04776067902082,33.299431104882196,34.0075311048822,37.21897195660494,37.92707195660494,37.92707195660494,38.63517195660494,39.343271956604944,39.343271956604944,40.594942382466314,42.55471280832769,44.514483234189065,44.514483234189065,46.47425366005044
7,Electrolyser + SMR + ammonia synthesis,0.0,0.0,0.0,0.0,0.7081,0.7081,0.7081,0.7081,0.7081,0.7081,0.7081,0.7081,1.4162,1.4162,1.4162,1.4162,1.4162,1.4162,1.4162,1.4162,1.4162,1.4162,1.4162,1.4162,2.1243,2.1243,2.1243,2.1243,2.1243,2.1243,2.1243
8,Electrolyser + Coal Gasification + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Electrolyser - grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,2.3721268462684533,4.7442536925369065,4.423053692536906,6.1604536925369064,6.868553692536906,5.518053692536906,8.284753692536906,8.992853692536906,9.700953692536906,5.583126347553897,8.953678777853897,5.583126347553897,5.583126347553897,8.953678777853897,5.365491594091189,8.616623534823898,10.409053692536906,6.978053692536906,8.953678777853897,8.953678777853897,8.007353692536906,8.953678777853897,8.953678777853897,5.365491594091189,5.365491594091189
17,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,2.3721268462684533,4.7442536925369065,4.423053692536906,6.1604536925369064,6.868553692536906,5.518053692536906,8.284753692536906,8.992853692536906,9.700953692536906,5.583126347553897,8.953678777853897,5.583126347553897,5.583126347553897,8.953678777853897,5.365491594091189,8.953678777853897,10.409053692536906,6.978053692536906,8.279568291793897,8.616623534823898,6.978053692536906,8.953678777853897,8.616623534823898,5.365491594091189,5.365491594091189
2,Coal Gasification+ CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Natural Gas ATR + CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Oversized ATR + CCS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Natural Gas SMR + CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,ESMR Gas + CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,GHR + CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,1.2516704258613742,1.2516704258613742,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,2.5033408517227485,3.7550112775841225,5.006681703445497,6.258352129306871,7.510022555168245,8.76169298102962,8.76169298102962,10.013363406890994,10.013363406890994,11.265033832752367,12.516704258613743,12.516704258613743,12.516704258613743,12.516704258613743,12.516704258613743,12.516704258613743,12.516704258613743,13.768374684475116,13.768374684475116
14,Methane Pyrolysis + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Biomass Digestion + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Biomass Gasification + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Waste to ammonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7081,1.4162,2.1243,2.8324,3.5404999999999998,3.5404999999999998,3.5404999999999998,3.5404999999999998,3.5404999999999998,3.51027621515,3.5404999999999998,3.5404999999999998,3.5404999999999998,3.5404999999999998,3.5404999999999998,3.5404999999999998,3.5404999999999998,3.5404999999999998,3.51027621515,3.5404999999999998
