product,scenario,region,year,value
Ammonia,NZ+Circular,Global,2020,185.0
Ammonia,NZ+Circular,North America,2020,20.7
Ammonia,NZ+Circular,Latin America,2020,14.7
Ammonia,NZ+Circular,Africa,2020,10.1
Ammonia,NZ+Circular,Middle East,2020,7.7
Ammonia,NZ+Circular,Russia,2020,5.8
Ammonia,NZ+Circular,Europe,2020,27.2
Ammonia,NZ+Circular,China,2020,19.6
Ammonia,NZ+Circular,India,2020,24.3
Ammonia,NZ+Circular,Rest of Asia,2020,52.0
Ammonia,NZ+Circular,Oceania,2020,3.0
Ammonium nitrate,NZ+Circular,Global,2020,13.8918018
Ammonium nitrate,NZ+Circular,North America,2020,1.197464025
Ammonium nitrate,NZ+Circular,Latin America,2020,0.971192732
Ammonium nitrate,NZ+Circular,Africa,2020,0.582833111
Ammonium nitrate,NZ+Circular,Middle East,2020,1.457929047
Ammonium nitrate,NZ+Circular,Russia,2020,0.874240792
Ammonium nitrate,NZ+Circular,Europe,2020,1.564739108
Ammonium nitrate,NZ+Circular,China,2020,3.259369095
Ammonium nitrate,NZ+Circular,India,2020,1.383100326
Ammonium nitrate,NZ+Circular,Rest of Asia,2020,2.425156805
Ammonium nitrate,NZ+Circular,Oceania,2020,0.175776755
Urea,NZ+Circular,Global,2020,74.8
Urea,NZ+Circular,North America,2020,6.4
Urea,NZ+Circular,Latin America,2020,5.3
Urea,NZ+Circular,Africa,2020,3.1
Urea,NZ+Circular,Middle East,2020,7.8
Urea,NZ+Circular,Russia,2020,4.6
Urea,NZ+Circular,Europe,2020,8.5
Urea,NZ+Circular,China,2020,17.6
Urea,NZ+Circular,India,2020,7.5
Urea,NZ+Circular,Rest of Asia,2020,13.0
Urea,NZ+Circular,Oceania,2020,0.9
Ammonia,NZ+Circular,Global,2021,187.4
Ammonia,NZ+Circular,North America,2021,20.9
Ammonia,NZ+Circular,Latin America,2021,14.9
Ammonia,NZ+Circular,Africa,2021,10.7
Ammonia,NZ+Circular,Middle East,2021,7.8
Ammonia,NZ+Circular,Russia,2021,5.8
Ammonia,NZ+Circular,Europe,2021,27.3
Ammonia,NZ+Circular,China,2021,19.6
Ammonia,NZ+Circular,India,2021,24.9
Ammonia,NZ+Circular,Rest of Asia,2021,52.5
Ammonia,NZ+Circular,Oceania,2021,3.0
Ammonium nitrate,NZ+Circular,Global,2021,14.34458881
Ammonium nitrate,NZ+Circular,North America,2021,1.248525236
Ammonium nitrate,NZ+Circular,Latin America,2021,0.983734805
Ammonium nitrate,NZ+Circular,Africa,2021,0.548231397
Ammonium nitrate,NZ+Circular,Middle East,2021,1.574322148
Ammonium nitrate,NZ+Circular,Russia,2021,0.905570401
Ammonium nitrate,NZ+Circular,Europe,2021,1.74196426
Ammonium nitrate,NZ+Circular,China,2021,3.290259916
Ammonium nitrate,NZ+Circular,India,2021,1.399607578
Ammonium nitrate,NZ+Circular,Rest of Asia,2021,2.473979199
Ammonium nitrate,NZ+Circular,Oceania,2021,0.178393865
Urea,NZ+Circular,Global,2021,77.4
Urea,NZ+Circular,North America,2021,6.7
Urea,NZ+Circular,Latin America,2021,5.4
Urea,NZ+Circular,Africa,2021,2.9
Urea,NZ+Circular,Middle East,2021,8.5
Urea,NZ+Circular,Russia,2021,4.8
Urea,NZ+Circular,Europe,2021,9.6
Urea,NZ+Circular,China,2021,17.8
Urea,NZ+Circular,India,2021,7.6
Urea,NZ+Circular,Rest of Asia,2021,13.3
Urea,NZ+Circular,Oceania,2021,1.0
Ammonia,NZ+Circular,Global,2022,198.3
Ammonia,NZ+Circular,North America,2022,21.1
Ammonia,NZ+Circular,Latin America,2022,15.1
