product,year,region,emissivity_type,unit,name,scenario,scope,emission_factor_ch4
Ammonia,2020,China,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonium nitrate,2020,China,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Urea,2020,China,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonia,2020,North America,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonium nitrate,2020,North America,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Urea,2020,North America,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonia,2020,Rest of Asia,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonium nitrate,2020,Rest of Asia,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Urea,2020,Rest of Asia,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonia,2020,Russia,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonium nitrate,2020,Russia,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Urea,2020,Russia,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonia,2020,Europe,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonium nitrate,2020,Europe,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Urea,2020,Europe,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonia,2020,India,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonium nitrate,2020,India,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Urea,2020,India,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonia,2020,Middle East,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonium nitrate,2020,Middle East,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Urea,2020,Middle East,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonia,2020,Africa,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonium nitrate,2020,Africa,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Urea,2020,Africa,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonia,2020,Latin America,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonium nitrate,2020,Latin America,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Urea,2020,Latin America,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonia,2020,Oceania,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonium nitrate,2020,Oceania,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Urea,2020,Oceania,Fossil,tCH4/GJ,Coal,,3_upstream,0.00034
Ammonia,2020,China,Fossil,tCH4/GJ,Natural gas,,3_upstream,0.0003262040868018
Ammonium nitrate,2020,China,Fossil,tCH4/GJ,Natural gas,,3_upstream,0.0003262040868018
Urea,2020,China,Fossil,tCH4/GJ,Natural gas,,3_upstream,0.0003262040868018
Ammonia,2020,North America,Fossil,tCH4/GJ,Natural gas,,3_upstream,0.0003845703027235
Ammonium nitrate,2020,North America,Fossil,tCH4/GJ,Natural gas,,3_upstream,0.0003845703027235
Urea,2020,North America,Fossil,tCH4/GJ,Natural gas,,3_upstream,0.0003845703027235
Ammonia,2020,Rest of Asia,Fossil,tCH4/GJ,Natural gas,,3_upstream,0.0003262040868018
Ammonium nitrate,2020,Rest of Asia,Fossil,tCH4/GJ,Natural gas,,3_upstream,0.0003262040868018
Urea,2020,Rest of Asia,Fossil,tCH4/GJ,Natural gas,,3_upstream,0.0003262040868018
