,Unnamed: 0,product,technology_origin,region,switch_type,technology_destination,year,tco,lcox,switch_capex,salvage_value,marginal cost,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,tco_normalized,sum_emissions_delta,sum_emissions_delta_normalized,brownfield_bau_score,brownfield_bau_score_binned,rank
0,0,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2020,186.70824371544003,303.3191027,130.0,0.0,0.0,0.5074245,0.101074424,0.0786914999999999,0.0,0.7134844609157069,1.6871904239999997,0.9335989426522544,0.7134844609157069,8,489.0
2,2,Ammonia,Natural Gas SMR + ammonia synthesis,China,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2020,203.41680881544,337.268489,130.0,0.0,0.0,0.5074245,0.091303984,0.1221074999999999,0.0,0.6490309583040235,1.7208359839999998,0.9166220667583954,0.6490309583040235,7,745.0
4,4,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2020,190.00441191544004,310.0164396,130.0,0.0,0.0,0.5074245,0.03273587,0.103113,0.0,0.7007694501164103,1.64327337,0.9557586087532765,0.7007694501164103,8,534.0
6,6,Ammonia,Natural Gas SMR + ammonia synthesis,India,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2020,186.70824371544003,303.3191027,130.0,0.0,0.0,0.5074245,0.101074424,0.1103489999999999,0.0,0.7134844609157069,1.7188479239999999,0.9176252020276418,0.7134844609157069,8,489.0
8,8,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2020,186.70824371544003,303.3191027,130.0,0.0,0.0,0.5074245,0.101074424,0.0515565,0.0,0.7134844609157069,1.6600554239999998,0.9472907203304938,0.7134844609157069,8,489.0
10,10,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2020,145.38953301544004,219.3654626,130.0,0.0,0.0,0.5074245,0.101074424,0.0479384999999999,0.0,0.8728719135231034,1.656437424,0.9491162906875923,0.8728719135231034,9,156.5
12,12,Ammonia,Natural Gas SMR + ammonia synthesis,North America,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2020,133.54490456544005,195.2988919,130.0,0.0,0.0,0.5074245,0.052720107,0.1383885,0.0,0.9185627185783201,1.6985331069999998,0.9278756519240161,0.9185627185783201,10,125.0
14,14,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2020,145.38953301544004,219.3654626,130.0,0.0,0.0,0.5074245,0.101074424,0.1103489999999999,0.0,0.8728719135231034,1.7188479239999999,0.9176252020276418,0.8728719135231034,9,156.5
16,16,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2020,181.99704341544003,293.7466256,130.0,0.0,0.0,0.5074245,0.091303984,0.1103489999999999,0.0,0.731657976057364,1.7090774839999998,0.9225551704189658,0.731657976057364,8,403.0
18,18,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2020,150.09924981544003,228.9349255,130.0,0.0,0.0,0.5074245,0.03273587,0.1049219999999999,0.0,0.8547041210015847,1.64508237,0.9548458235747271,0.8547041210015847,9,210.0
20,20,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2021,186.51386251544,302.9241484,125.0,0.0,0.0,0.5074245,0.095327185,0.0786914999999999,0.0,0.7142342888696265,1.681443185,0.9364988843751844,0.7142342888696265,8,482.0
22,22,Ammonia,Natural Gas SMR + ammonia synthesis,China,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2021,202.20968271544004,334.8157834,125.0,0.0,0.0,0.5074245,0.087584113,0.1221074999999999,0.0,0.6536874626042628,1.7171161129999999,0.9184990391823398,0.6536874626042628,7,737.0
24,24,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2021,190.71528281544005,311.4608263,125.0,0.0,0.0,0.5074245,0.030770092,0.103113,0.0,0.6980272565686401,1.641307592,0.9567505009714734,0.6980272565686401,7,548.0
26,26,Ammonia,Natural Gas SMR + ammonia synthesis,India,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2021,186.51386251544,302.9241484,125.0,0.0,0.0,0.5074245,0.095327185,0.1103489999999999,0.0,0.7142342888696265,1.713100685,0.9205251437505718,0.7142342888696265,8,482.0
28,28,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2021,186.51386251544,302.9241484,125.0,0.0,0.0,0.5074245,0.095327185,0.0515565,0.0,0.7142342888696265,1.654308185,0.9501906620534237,0.7142342888696265,8,482.0
30,30,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2021,146.22864271544003,221.0704121,125.0,0.0,0.0,0.5074245,0.095327185,0.0479384999999999,0.0,0.8696350371715585,1.6506901849999998,0.9520162324105225,0.8696350371715585,9,158.5
32,32,Ammonia,Natural Gas SMR + ammonia synthesis,North America,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2021,134.28611924544003,196.8049329,125.0,0.0,0.0,0.5074245,0.048790155,0.1383885,0.0,0.9157034735128537,1.694603155,0.9298586270141267,0.9157034735128537,10,126.0
34,34,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,brownfield_renovation,Electrolyser + SMR + ammonia synthesis,2021,146.22864271544003,221.0704121,125.0,0.0,0.0,0.5074245,0.095327185,0.1103489999999999,0.0,0.8696350371715585,1.713100685,0.9205251437505718,0.8696350371715585,9,158.5
