,Unnamed: 0,product,technology_origin,region,switch_type,technology_destination,year,tco,lcox,switch_capex,salvage_value,marginal cost,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,tco_normalized,sum_emissions_delta,sum_emissions_delta_normalized,decommission_bau_score,decommission_bau_score_binned,rank
0,0,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2020,186.7082437,303.3191027,130,0,0,0.5074245,0.101074424,0.0786915,0,0.713484461,1.687190424,0.933598943,0.713484461,8,489
2,2,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2020,203.4168088,337.268489,130,0,0,0.5074245,0.091303984,0.1221075,0,0.649030958,1.720835984,0.916622067,0.649030958,7,745
4,4,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2020,190.0044119,310.0164396,130,0,0,0.5074245,0.03273587,0.103113,0,0.70076945,1.64327337,0.955758609,0.70076945,8,534
6,6,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2020,186.7082437,303.3191027,130,0,0,0.5074245,0.101074424,0.110349,0,0.713484461,1.718847924,0.917625202,0.713484461,8,489
8,8,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2020,186.7082437,303.3191027,130,0,0,0.5074245,0.101074424,0.0515565,0,0.713484461,1.660055424,0.94729072,0.713484461,8,489
10,10,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2020,145.389533,219.3654626,130,0,0,0.5074245,0.101074424,0.0479385,0,0.872871914,1.656437424,0.949116291,0.872871914,9,156.5
12,12,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2020,133.5449046,195.2988919,130,0,0,0.5074245,0.052720107,0.1383885,0,0.918562719,1.698533107,0.927875652,0.918562719,10,125
14,14,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2020,145.389533,219.3654626,130,0,0,0.5074245,0.101074424,0.110349,0,0.872871914,1.718847924,0.917625202,0.872871914,9,156.5
16,16,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2020,181.9970434,293.7466256,130,0,0,0.5074245,0.091303984,0.110349,0,0.731657976,1.709077484,0.92255517,0.731657976,8,403
18,18,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2020,150.0992498,228.9349255,130,0,0,0.5074245,0.03273587,0.104922,0,0.854704121,1.64508237,0.954845824,0.854704121,9,210
20,20,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2021,186.5138625,302.9241484,125,0,0,0.5074245,0.095327185,0.0786915,0,0.714234289,1.681443185,0.936498884,0.714234289,8,482
22,22,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2021,202.2096827,334.8157834,125,0,0,0.5074245,0.087584113,0.1221075,0,0.653687463,1.717116113,0.918499039,0.653687463,7,737
24,24,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2021,190.7152828,311.4608263,125,0,0,0.5074245,0.030770092,0.103113,0,0.698027257,1.641307592,0.956750501,0.698027257,7,548
26,26,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2021,186.5138625,302.9241484,125,0,0,0.5074245,0.095327185,0.110349,0,0.714234289,1.713100685,0.920525144,0.714234289,8,482
28,28,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2021,186.5138625,302.9241484,125,0,0,0.5074245,0.095327185,0.0515565,0,0.714234289,1.654308185,0.950190662,0.714234289,8,482
30,30,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2021,146.2286427,221.0704121,125,0,0,0.5074245,0.095327185,0.0479385,0,0.869635037,1.650690185,0.952016232,0.869635037,9,158.5
32,32,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2021,134.2861192,196.8049329,125,0,0,0.5074245,0.048790155,0.1383885,0,0.915703474,1.694603155,0.929858627,0.915703474,10,126
34,34,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2021,146.2286427,221.0704121,125,0,0,0.5074245,0.095327185,0.110349,0,0.869635037,1.713100685,0.920525144,0.869635037,9,158.5
36,36,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2021,181.7809661,293.3075878,125,0,0,0.5074245,0.087584113,0.110349,0,0.732491497,1.705357613,0.924432143,0.732491497,8,397
38,38,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2021,150.8844185,230.5302748,125,0,0,0.5074245,0.030770092,0.104922,0,0.851675323,1.643116592,0.955837716,0.851675323,9,219
40,40,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2022,186.2788705,302.4466786,120,0,0,0.5074245,0.089579946,0.0786915,0,0.715140774,1.675695946,0.939398826,0.715140774,8,474
42,42,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2022,201.0228597,332.4043307,120,0,0,0.5074245,0.083864241,0.1221075,0,0.658265647,1.713396241,0.920376012,0.658265647,7,729
44,44,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2022,191.3319676,312.7138406,120,0,0,0.5074245,0.028804313,0.103113,0,0.695648387,1.639341813,0.957742394,0.695648387,7,563
46,46,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2022,186.2788705,302.4466786,120,0,0,0.5074245,0.089579946,0.110349,0,0.715140774,1.707353446,0.923425085,0.715140774,8,474
48,48,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2022,186.2788705,302.4466786,120,0,0,0.5074245,0.089579946,0.0515565,0,0.715140774,1.648560946,0.953090604,0.715140774,8,474
50,50,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2022,146.9717119,222.5802212,120,0,0,0.5074245,0.089579946,0.0479385,0,0.866768638,1.644942946,0.954916174,0.866768638,9,160.5
52,52,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2022,134.9872112,198.2294504,120,0,0,0.5074245,0.044860203,0.1383885,0,0.912999002,1.690673203,0.931841602,0.912999002,10,127
54,54,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2022,146.9717119,222.5802212,120,0,0,0.5074245,0.089579946,0.110349,0,0.866768638,1.707353446,0.923425085,0.866768638,9,160.5
56,56,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2022,181.5183309,292.7739512,120,0,0,0.5074245,0.083864241,0.110349,0,0.733504616,1.701637741,0.926309116,0.733504616,8,388
58,58,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2022,151.5976287,231.9794147,120,0,0,0.5074245,0.028804313,0.104922,0,0.848924105,1.641150813,0.956829609,0.848924105,9,220
60,60,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2023,186.0008228,301.8817259,115,0,0,0.5074245,0.083832707,0.0786915,0,0.716213346,1.669948707,0.942298768,0.716213346,7,468
62,62,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2023,199.8575795,330.03665,115,0,0,0.5074245,0.08014437,0.1221075,0,0.662760731,1.70967637,0.922252985,0.662760731,7,715
64,64,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2023,191.8485412,313.7634434,115,0,0,0.5074245,0.026838534,0.103113,0,0.693655698,1.637376034,0.958734286,0.693655698,7,582
66,66,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2023,186.0008228,301.8817259,115,0,0,0.5074245,0.083832707,0.110349,0,0.716213346,1.701606207,0.926325027,0.716213346,7,468
68,68,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2023,186.0008228,301.8817259,115,0,0,0.5074245,0.083832707,0.0515565,0,0.716213346,1.642813707,0.955990545,0.716213346,7,468
70,70,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2023,147.61297,223.8831648,115,0,0,0.5074245,0.083832707,0.0479385,0,0.864294977,1.639195707,0.957816116,0.864294977,9,162.5
72,72,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2023,135.645076,199.5661364,115,0,0,0.5074245,0.040930251,0.1383885,0,0.91046128,1.686743251,0.933824577,0.91046128,10,128
74,74,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2023,147.61297,223.8831648,115,0,0,0.5074245,0.083832707,0.110349,0,0.864294977,1.701606207,0.926325027,0.864294977,9,162.5
76,76,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2023,181.206366,292.1400837,115,0,0,0.5074245,0.08014437,0.110349,0,0.734708024,1.69791787,0.928186088,0.734708024,8,379
78,78,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2023,152.2342887,233.2730157,115,0,0,0.5074245,0.026838534,0.104922,0,0.846468181,1.639185034,0.957821501,0.846468181,9,221
80,80,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2024,185.6771277,301.2240244,110,0,0,0.5074245,0.078085468,0.0786915,0,0.717462004,1.664201468,0.94519871,0.717462004,7,459
82,82,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2024,198.7151564,327.7154116,110,0,0,0.5074245,0.076424499,0.1221075,0,0.667167642,1.705956499,0.924129957,0.667167642,7,680
84,84,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2024,192.2587227,314.5968729,110,0,0,0.5074245,0.024872755,0.103113,0,0.692073418,1.635410255,0.959726179,0.692073418,7,591
86,86,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2024,185.6771277,301.2240244,110,0,0,0.5074245,0.078085468,0.110349,0,0.717462004,1.695858968,0.929224969,0.717462004,7,459
88,88,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2024,185.6771277,301.2240244,110,0,0,0.5074245,0.078085468,0.0515565,0,0.717462004,1.637066468,0.958890487,0.717462004,7,459
90,90,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2024,148.1463,224.9668142,110,0,0,0.5074245,0.078085468,0.0479385,0,0.86223765,1.633448468,0.960716058,0.86223765,9,164.5
92,92,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2024,136.2564229,200.8083047,110,0,0,0.5074245,0.0370003,0.1383885,0,0.908103002,1.6828133,0.935807552,0.908103002,10,129
94,94,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2024,148.1463,224.9668142,110,0,0,0.5074245,0.078085468,0.110349,0,0.86223765,1.695858968,0.929224969,0.86223765,9,164.5
96,96,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2024,180.8421334,291.4000156,110,0,0,0.5074245,0.076424499,0.110349,0,0.736113056,1.694197999,0.930063061,0.736113056,8,366
98,98,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2024,152.7895313,234.4011883,110,0,0,0.5074245,0.024872755,0.104922,0,0.844326326,1.637219255,0.958813394,0.844326326,9,222
100,100,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2025,185.3050383,300.4679925,105,0,0,0.5074245,0.072338228,0.0786915,0,0.718897344,1.658454228,0.948098652,0.718897344,7,449
102,102,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2025,197.5969835,325.4434462,105,0,0,0.5074245,0.072704627,0.1221075,0,0.671481008,1.702236627,0.92600693,0.671481008,7,672
104,104,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2025,192.5558546,315.2006017,105,0,0,0.5074245,0.022906976,0.103113,0,0.690927227,1.633444476,0.960718072,0.690927227,7,597
106,106,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2025,185.3050383,300.4679925,105,0,0,0.5074245,0.072338228,0.110349,0,0.718897344,1.690111728,0.932124911,0.718897344,7,449
108,108,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2025,185.3050383,300.4679925,105,0,0,0.5074245,0.072338228,0.0515565,0,0.718897344,1.631319228,0.961790429,0.718897344,7,449
110,110,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2025,148.5652181,225.8179952,105,0,0,0.5074245,0.072338228,0.0479385,0,0.860621668,1.627701228,0.963616,0.860621668,9,166.5
112,112,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2025,136.8177635,201.9488676,105,0,0,0.5074245,0.033070348,0.1383885,0,0.905937624,1.678883348,0.937790527,0.905937624,10,130
114,114,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2025,148.5652181,225.8179952,105,0,0,0.5074245,0.072338228,0.110349,0,0.860621668,1.690111728,0.932124911,0.860621668,9,166.5
116,116,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2025,180.4225185,290.547419,105,0,0,0.5074245,0.072704627,0.110349,0,0.737731726,1.690478127,0.931940034,0.737731726,8,338
118,118,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2025,153.2581975,235.3534501,105,0,0,0.5074245,0.022906976,0.104922,0,0.84251844,1.635253476,0.959805287,0.84251844,9,223
120,120,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2026,184.8816426,299.6077138,100,0,0,0.5074245,0.066590989,0.0786915,0,0.720530598,1.652706989,0.950998593,0.720530598,7,442
122,122,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2026,196.5045375,323.2237541,100,0,0,0.5074245,0.068984756,0.1221075,0,0.675695133,1.698516756,0.927883902,0.675695133,7,663
124,124,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2026,192.7328796,315.560291,100,0,0,0.5074245,0.021350119,0.103113,0,0.690244351,1.631887619,0.961503631,0.690244351,7,601
126,126,Ammonia,Natural Gas SMR + ammonia synthesis,India,decommission,Decommissioned,2026,184.8816426,299.6077138,100,0,0,0.5074245,0.066590989,0.110349,0,0.720530598,1.684364489,0.935024853,0.720530598,7,442
128,128,Ammonia,Natural Gas SMR + ammonia synthesis,Latin America,decommission,Decommissioned,2026,184.8816426,299.6077138,100,0,0,0.5074245,0.066590989,0.0515565,0,0.720530598,1.625571989,0.964690371,0.720530598,7,442
130,130,Ammonia,Natural Gas SMR + ammonia synthesis,Middle East,decommission,Decommissioned,2026,148.8628513,226.4227429,100,0,0,0.5074245,0.066590989,0.0479385,0,0.859473544,1.621953989,0.966515942,0.859473544,9,168.5
132,132,Ammonia,Natural Gas SMR + ammonia synthesis,North America,decommission,Decommissioned,2026,137.3254004,202.9803124,100,0,0,0.5074245,0.029162129,0.1383885,0,0.903979408,1.674975129,0.939762536,0.903979408,10,131
134,134,Ammonia,Natural Gas SMR + ammonia synthesis,Oceania,decommission,Decommissioned,2026,148.8628513,226.4227429,100,0,0,0.5074245,0.066590989,0.110349,0,0.859473544,1.684364489,0.935024853,0.859473544,9,168.5
136,136,Ammonia,Natural Gas SMR + ammonia synthesis,Rest of Asia,decommission,Decommissioned,2026,179.9442202,289.5755861,100,0,0,0.5074245,0.068984756,0.110349,0,0.739576768,1.686758256,0.933817006,0.739576768,8,335
138,138,Ammonia,Natural Gas SMR + ammonia synthesis,Russia,decommission,Decommissioned,2026,153.6348184,236.1186892,100,0,0,0.5074245,0.021350119,0.104922,0,0.84106562,1.633696619,0.960590846,0.84106562,9,224
140,140,Ammonia,Natural Gas SMR + ammonia synthesis,Africa,decommission,Decommissioned,2027,184.4594801,298.7499406,95,0,0,0.5074245,0.06084375,0.0786915,0,0.722159095,1.64695975,0.953898535,0.722159095,7,436
142,142,Ammonia,Natural Gas SMR + ammonia synthesis,China,decommission,Decommissioned,2027,195.4909169,321.1642236,95,0,0,0.5074245,0.065264885,0.1221075,0,0.679605187,1.694796885,0.929760875,0.679605187,7,645
144,144,Ammonia,Natural Gas SMR + ammonia synthesis,Europe,decommission,Decommissioned,2027,192.7849577,315.6661061,95,0,0,0.5074245,0.019793261,0.103113,0,0.690043459,1.630330761,0.96228919,0.690043459,7,605
