,Unnamed: 0,product,technology_origin,region,switch_type,technology_destination,year,tco,lcox,switch_capex,salvage_value,marginal cost,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,tco_normalized,sum_emissions_delta,sum_emissions_delta_normalized,greenfield_bau_score,greenfield_bau_score_binned,greenfield_bau_ranking
1,1,Ammonia,New-build,Africa,greenfield,Electrolyser + SMR + ammonia synthesis,2020,253.72578751544003,439.4890525,2040.0,0.0,0.0,-1.4448555,0.0,-0.2240685,0.0,0.6135891240902198,-0.6689240000000001,0.6577195636641682,0.6135891240902198,7,665.0
3,3,Ammonia,New-build,China,greenfield,Electrolyser + SMR + ammonia synthesis,2020,270.43435271544,473.4384387,2040.0,0.0,0.0,-1.4448555,0.0,-0.3476925,0.0,0.5266635260517244,-0.792548,0.7064395313429954,0.5266635260517244,6,944.0
5,5,Ammonia,New-build,Europe,greenfield,Electrolyser + SMR + ammonia synthesis,2020,257.02195581544004,446.1863893,2040.0,0.0,0.0,-1.4448555,0.0,-0.293607,0.0,0.5964409490504485,-0.7384625,0.6851245454835084,0.5964409490504485,6,693.0
7,7,Ammonia,New-build,India,greenfield,Electrolyser + SMR + ammonia synthesis,2020,253.72578751544003,439.4890525,2040.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.6135891240902198,-0.7590665000000001,0.6932445400966463,0.6135891240902198,7,665.0
9,9,Ammonia,New-build,Latin America,greenfield,Electrolyser + SMR + ammonia synthesis,2020,253.72578751544003,439.4890525,2040.0,0.0,0.0,-1.4448555,0.0,-0.1468035,0.0,0.6135891240902198,-0.5916590000000002,0.6272695838649011,0.6135891240902198,7,665.0
11,11,Ammonia,New-build,Middle East,greenfield,Electrolyser + SMR + ammonia synthesis,2020,212.40707681544004,355.5354123,2040.0,0.0,0.0,-1.4448555,0.0,-0.1365015,0.0,0.8285479547728858,-0.5813570000000001,0.6232095865583321,0.8285479547728858,9,205.5
13,13,Ammonia,New-build,North America,greenfield,Electrolyser + SMR + ammonia synthesis,2020,200.56244841544003,331.4688417,2040.0,0.0,0.0,-1.4448555,0.0,-0.3940515,0.0,0.8901691289963761,-0.8389070000000001,0.7247095192225556,0.8901691289963761,9,140.0
15,15,Ammonia,New-build,Oceania,greenfield,Electrolyser + SMR + ammonia synthesis,2020,212.40707681544004,355.5354123,2040.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.8285479547728858,-0.7590665000000001,0.6932445400966463,0.8285479547728858,9,205.5
17,17,Ammonia,New-build,Rest of Asia,greenfield,Electrolyser + SMR + ammonia synthesis,2020,249.01458721544003,429.9165754,2040.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.6380989427763054,-0.7590665000000001,0.6932445400966463,0.6380989427763054,7,599.0
19,19,Ammonia,New-build,Russia,greenfield,Electrolyser + SMR + ammonia synthesis,2020,217.11679361544003,365.1048753,2040.0,0.0,0.0,-1.4448555,0.0,-0.298758,0.0,0.8040458539322972,-0.7436135000000001,0.687154544136793,0.8040458539322972,9,330.0
21,21,Ammonia,New-build,Africa,greenfield,Electrolyser + SMR + ammonia synthesis,2021,253.53140641544005,439.0940981,2035.0,0.0,0.0,-1.4448555,0.0,-0.2240685,0.0,0.61460038347501,-0.6689240000000001,0.6577195636641682,0.61460038347501,6,660.0
23,23,Ammonia,New-build,China,greenfield,Electrolyser + SMR + ammonia synthesis,2021,269.22722661544003,470.9857332,2035.0,0.0,0.0,-1.4448555,0.0,-0.3476925,0.0,0.5329435481179144,-0.792548,0.7064395313429954,0.5329435481179144,6,939.0
25,25,Ammonia,New-build,Europe,greenfield,Electrolyser + SMR + ammonia synthesis,2021,257.73282661544005,447.630776,2035.0,0.0,0.0,-1.4448555,0.0,-0.293607,0.0,0.5927426740233321,-0.7384625,0.6851245454835084,0.5927426740233321,6,700.0
27,27,Ammonia,New-build,India,greenfield,Electrolyser + SMR + ammonia synthesis,2021,253.53140641544005,439.0940981,2035.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.61460038347501,-0.7590665000000001,0.6932445400966463,0.61460038347501,6,660.0
29,29,Ammonia,New-build,Latin America,greenfield,Electrolyser + SMR + ammonia synthesis,2021,253.53140641544005,439.0940981,2035.0,0.0,0.0,-1.4448555,0.0,-0.1468035,0.0,0.61460038347501,-0.5916590000000002,0.6272695838649011,0.61460038347501,6,660.0
31,31,Ammonia,New-build,Middle East,greenfield,Electrolyser + SMR + ammonia synthesis,2021,213.24618651544003,357.2403618,2035.0,0.0,0.0,-1.4448555,0.0,-0.1365015,0.0,0.824182522336329,-0.5813570000000001,0.6232095865583321,0.824182522336329,9,211.5
33,33,Ammonia,New-build,North America,greenfield,Electrolyser + SMR + ammonia synthesis,2021,201.30366311544003,332.9748826,2035.0,0.0,0.0,-1.4448555,0.0,-0.3940515,0.0,0.8863129911233034,-0.8389070000000001,0.7247095192225556,0.8863129911233034,9,143.0
35,35,Ammonia,New-build,Oceania,greenfield,Electrolyser + SMR + ammonia synthesis,2021,213.24618651544003,357.2403618,2035.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.824182522336329,-0.7590665000000001,0.6932445400966463,0.824182522336329,9,211.5
37,37,Ammonia,New-build,Rest of Asia,greenfield,Electrolyser + SMR + ammonia synthesis,2021,248.79851001544003,429.4775376,2035.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.6392230751962743,-0.7590665000000001,0.6932445400966463,0.6392230751962743,7,594.0
39,39,Ammonia,New-build,Russia,greenfield,Electrolyser + SMR + ammonia synthesis,2021,217.90196241544004,366.7002246,2035.0,0.0,0.0,-1.4448555,0.0,-0.298758,0.0,0.7999610467280754,-0.7436135000000001,0.687154544136793,0.7999610467280754,8,369.0
41,41,Ammonia,New-build,Africa,greenfield,Electrolyser + SMR + ammonia synthesis,2022,253.29641441544004,438.6166284,2030.0,0.0,0.0,-1.4448555,0.0,-0.2240685,0.0,0.6158229193354957,-0.6689240000000001,0.6577195636641682,0.6158229193354957,6,655.0
43,43,Ammonia,New-build,China,greenfield,Electrolyser + SMR + ammonia synthesis,2022,268.04040351544006,468.5742805,2030.0,0.0,0.0,-1.4448555,0.0,-0.3476925,0.0,0.5391179446922774,-0.792548,0.7064395313429954,0.5391179446922774,5,929.0
45,45,Ammonia,New-build,Europe,greenfield,Electrolyser + SMR + ammonia synthesis,2022,258.34951151544004,448.8837904,2030.0,0.0,0.0,-1.4448555,0.0,-0.293607,0.0,0.5895343971250975,-0.7384625,0.6851245454835084,0.5895343971250975,6,713.0
47,47,Ammonia,New-build,India,greenfield,Electrolyser + SMR + ammonia synthesis,2022,253.29641441544004,438.6166284,2030.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.6158229193354957,-0.7590665000000001,0.6932445400966463,0.6158229193354957,6,655.0
49,49,Ammonia,New-build,Latin America,greenfield,Electrolyser + SMR + ammonia synthesis,2022,253.29641441544004,438.6166284,2030.0,0.0,0.0,-1.4448555,0.0,-0.1468035,0.0,0.6158229193354957,-0.5916590000000002,0.6272695838649011,0.6158229193354957,6,655.0
51,51,Ammonia,New-build,Middle East,greenfield,Electrolyser + SMR + ammonia synthesis,2022,213.98925571544004,358.7501709,2030.0,0.0,0.0,-1.4448555,0.0,-0.1365015,0.0,0.820316736506078,-0.5813570000000001,0.6232095865583321,0.820316736506078,9,218.5
53,53,Ammonia,New-build,North America,greenfield,Electrolyser + SMR + ammonia synthesis,2022,202.00475511544005,334.3994001,2030.0,0.0,0.0,-1.4448555,0.0,-0.3940515,0.0,0.8826655898862418,-0.8389070000000001,0.7247095192225556,0.8826655898862418,9,146.0
55,55,Ammonia,New-build,Oceania,greenfield,Electrolyser + SMR + ammonia synthesis,2022,213.98925571544004,358.7501709,2030.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.820316736506078,-0.7590665000000001,0.6932445400966463,0.820316736506078,9,218.5
57,57,Ammonia,New-build,Rest of Asia,greenfield,Electrolyser + SMR + ammonia synthesis,2022,248.53587481544,428.9439009,2030.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.640589423626118,-0.7590665000000001,0.6932445400966463,0.640589423626118,7,585.0
59,59,Ammonia,New-build,Russia,greenfield,Electrolyser + SMR + ammonia synthesis,2022,218.61517261544003,368.1493645,2030.0,0.0,0.0,-1.4448555,0.0,-0.298758,0.0,0.7962506010722058,-0.7436135000000001,0.687154544136793,0.7962506010722058,8,370.0
61,61,Ammonia,New-build,Africa,greenfield,Electrolyser + SMR + ammonia synthesis,2023,253.01836661544004,438.0516756,2025.0,0.0,0.0,-1.4448555,0.0,-0.2240685,0.0,0.6172694511596817,-0.6689240000000001,0.6577195636641682,0.6172694511596817,6,651.0
63,63,Ammonia,New-build,China,greenfield,Electrolyser + SMR + ammonia synthesis,2023,266.87512331544,466.2065997,2025.0,0.0,0.0,-1.4448555,0.0,-0.3476925,0.0,0.5451802652479298,-0.792548,0.7064395313429954,0.5451802652479298,5,921.0
65,65,Ammonia,New-build,Europe,greenfield,Electrolyser + SMR + ammonia synthesis,2023,258.86608511544,449.9333931,2025.0,0.0,0.0,-1.4448555,0.0,-0.293607,0.0,0.586846944996599,-0.7384625,0.6851245454835084,0.586846944996599,6,731.0
67,67,Ammonia,New-build,India,greenfield,Electrolyser + SMR + ammonia synthesis,2023,253.01836661544004,438.0516756,2025.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.6172694511596817,-0.7590665000000001,0.6932445400966463,0.6172694511596817,6,651.0
69,69,Ammonia,New-build,Latin America,greenfield,Electrolyser + SMR + ammonia synthesis,2023,253.01836661544004,438.0516756,2025.0,0.0,0.0,-1.4448555,0.0,-0.1468035,0.0,0.6172694511596817,-0.5916590000000002,0.6272695838649011,0.6172694511596817,6,651.0
71,71,Ammonia,New-build,Middle East,greenfield,Electrolyser + SMR + ammonia synthesis,2023,214.63051381544005,360.0531145,2025.0,0.0,0.0,-1.4448555,0.0,-0.1365015,0.0,0.8169806185825874,-0.5813570000000001,0.6232095865583321,0.8169806185825874,9,226.5
73,73,Ammonia,New-build,North America,greenfield,Electrolyser + SMR + ammonia synthesis,2023,202.66261991544005,335.7360862,2025.0,0.0,0.0,-1.4448555,0.0,-0.3940515,0.0,0.8792430763140725,-0.8389070000000001,0.7247095192225556,0.8792430763140725,9,149.0
75,75,Ammonia,New-build,Oceania,greenfield,Electrolyser + SMR + ammonia synthesis,2023,214.63051381544005,360.0531145,2025.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.8169806185825874,-0.7590665000000001,0.6932445400966463,0.8169806185825874,9,226.5
77,77,Ammonia,New-build,Rest of Asia,greenfield,Electrolyser + SMR + ammonia synthesis,2023,248.22390991544003,428.3100334,2025.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.6422124077169075,-0.7590665000000001,0.6932445400966463,0.6422124077169075,6,576.0
79,79,Ammonia,New-build,Russia,greenfield,Electrolyser + SMR + ammonia synthesis,2023,219.25183261544004,369.4429654,2025.0,0.0,0.0,-1.4448555,0.0,-0.298758,0.0,0.792938404567913,-0.7436135000000001,0.687154544136793,0.792938404567913,8,371.0
81,81,Ammonia,New-build,Africa,greenfield,Electrolyser + SMR + ammonia synthesis,2024,252.69467161544003,437.3939741,2020.0,0.0,0.0,-1.4448555,0.0,-0.2240685,0.0,0.6189534605955771,-0.6689240000000001,0.6577195636641682,0.6189534605955771,6,646.0
83,83,Ammonia,New-build,China,greenfield,Electrolyser + SMR + ammonia synthesis,2024,265.73270021544005,463.8853613,2020.0,0.0,0.0,-1.4448555,0.0,-0.3476925,0.0,0.5511236727154059,-0.792548,0.7064395313429954,0.5511236727154059,5,906.0
85,85,Ammonia,New-build,Europe,greenfield,Electrolyser + SMR + ammonia synthesis,2024,259.27626661544,450.7668226,2020.0,0.0,0.0,-1.4448555,0.0,-0.293607,0.0,0.5847129932320376,-0.7384625,0.6851245454835084,0.5847129932320376,6,741.0
87,87,Ammonia,New-build,India,greenfield,Electrolyser + SMR + ammonia synthesis,2024,252.69467161544003,437.3939741,2020.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.6189534605955771,-0.7590665000000001,0.6932445400966463,0.6189534605955771,6,646.0
89,89,Ammonia,New-build,Latin America,greenfield,Electrolyser + SMR + ammonia synthesis,2024,252.69467161544003,437.3939741,2020.0,0.0,0.0,-1.4448555,0.0,-0.1468035,0.0,0.6189534605955771,-0.5916590000000002,0.6272695838649011,0.6189534605955771,6,646.0
91,91,Ammonia,New-build,Middle East,greenfield,Electrolyser + SMR + ammonia synthesis,2024,215.16384391544003,361.136764,2020.0,0.0,0.0,-1.4448555,0.0,-0.1365015,0.0,0.8142059914772972,-0.5813570000000001,0.6232095865583321,0.8142059914772972,8,235.5
93,93,Ammonia,New-build,North America,greenfield,Electrolyser + SMR + ammonia synthesis,2024,203.27396671544005,336.9782544,2020.0,0.0,0.0,-1.4448555,0.0,-0.3940515,0.0,0.8760625706534835,-0.8389070000000001,0.7247095192225556,0.8760625706534835,9,151.0
95,95,Ammonia,New-build,Oceania,greenfield,Electrolyser + SMR + ammonia synthesis,2024,215.16384391544003,361.136764,2020.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.8142059914772972,-0.7590665000000001,0.6932445400966463,0.8142059914772972,8,235.5
97,97,Ammonia,New-build,Rest of Asia,greenfield,Electrolyser + SMR + ammonia synthesis,2024,247.85967721544003,427.5699654,2020.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.6441073128086191,-0.7590665000000001,0.6932445400966463,0.6441073128086191,6,563.0
99,99,Ammonia,New-build,Russia,greenfield,Electrolyser + SMR + ammonia synthesis,2024,219.80707521544,370.5711381,2020.0,0.0,0.0,-1.4448555,0.0,-0.298758,0.0,0.790049778615671,-0.7436135000000001,0.687154544136793,0.790049778615671,8,373.0
101,101,Ammonia,New-build,Africa,greenfield,Electrolyser + SMR + ammonia synthesis,2025,252.32258221544004,436.6379423,2015.0,0.0,0.0,-1.4448555,0.0,-0.2240685,0.0,0.6208892398340472,-0.6689240000000001,0.6577195636641682,0.6208892398340472,6,640.0
103,103,Ammonia,New-build,China,greenfield,Electrolyser + SMR + ammonia synthesis,2025,264.61452741544,461.6133959,2015.0,0.0,0.0,-1.4448555,0.0,-0.3476925,0.0,0.5569409190311088,-0.792548,0.7064395313429954,0.5569409190311088,5,893.0
105,105,Ammonia,New-build,Europe,greenfield,Electrolyser + SMR + ammonia synthesis,2025,259.57339841544,451.3705515,2015.0,0.0,0.0,-1.4448555,0.0,-0.293607,0.0,0.5831671777115491,-0.7384625,0.6851245454835084,0.5831671777115491,5,755.0
107,107,Ammonia,New-build,India,greenfield,Electrolyser + SMR + ammonia synthesis,2025,252.32258221544004,436.6379423,2015.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.6208892398340472,-0.7590665000000001,0.6932445400966463,0.6208892398340472,6,640.0
109,109,Ammonia,New-build,Latin America,greenfield,Electrolyser + SMR + ammonia synthesis,2025,252.32258221544004,436.6379423,2015.0,0.0,0.0,-1.4448555,0.0,-0.1468035,0.0,0.6208892398340472,-0.5916590000000002,0.6272695838649011,0.6208892398340472,6,640.0
111,111,Ammonia,New-build,Middle East,greenfield,Electrolyser + SMR + ammonia synthesis,2025,215.58276201544004,361.987945,2015.0,0.0,0.0,-1.4448555,0.0,-0.1365015,0.0,0.8120265879237443,-0.5813570000000001,0.6232095865583321,0.8120265879237443,8,252.5
113,113,Ammonia,New-build,North America,greenfield,Electrolyser + SMR + ammonia synthesis,2025,203.83530741544004,338.1188174,2015.0,0.0,0.0,-1.4448555,0.0,-0.3940515,0.0,0.8731422195960002,-0.8389070000000001,0.7247095192225556,0.8731422195960002,9,152.0
115,115,Ammonia,New-build,Oceania,greenfield,Electrolyser + SMR + ammonia synthesis,2025,215.58276201544004,361.987945,2015.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.8120265879237443,-0.7590665000000001,0.6932445400966463,0.8120265879237443,8,252.5
117,117,Ammonia,New-build,Rest of Asia,greenfield,Electrolyser + SMR + ammonia synthesis,2025,247.44006241544,426.7173687,2015.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.6462903409142164,-0.7590665000000001,0.6932445400966463,0.6462903409142164,6,536.0
119,119,Ammonia,New-build,Russia,greenfield,Electrolyser + SMR + ammonia synthesis,2025,220.27574131544003,371.5233998,2015.0,0.0,0.0,-1.4448555,0.0,-0.298758,0.0,0.7876115632132574,-0.7436135000000001,0.687154544136793,0.7876115632132574,8,374.0
121,121,Ammonia,New-build,Africa,greenfield,Electrolyser + SMR + ammonia synthesis,2026,251.89918651544,435.7776635,2010.0,0.0,0.0,-1.4448555,0.0,-0.2240685,0.0,0.6230919379106858,-0.6689240000000001,0.6577195636641682,0.6230919379106858,6,636.0
123,123,Ammonia,New-build,China,greenfield,Electrolyser + SMR + ammonia synthesis,2026,263.52208141544,459.3937038,2010.0,0.0,0.0,-1.4448555,0.0,-0.3476925,0.0,0.5626243227667427,-0.792548,0.7064395313429954,0.5626243227667427,5,871.0
125,125,Ammonia,New-build,Europe,greenfield,Electrolyser + SMR + ammonia synthesis,2026,259.75042341544,451.7302407,2010.0,0.0,0.0,-1.4448555,0.0,-0.293607,0.0,0.5822462126969848,-0.7384625,0.6851245454835084,0.5822462126969848,5,760.0
127,127,Ammonia,New-build,India,greenfield,Electrolyser + SMR + ammonia synthesis,2026,251.89918651544,435.7776635,2010.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.6230919379106858,-0.7590665000000001,0.6932445400966463,0.6230919379106858,6,636.0
129,129,Ammonia,New-build,Latin America,greenfield,Electrolyser + SMR + ammonia synthesis,2026,251.89918651544,435.7776635,2010.0,0.0,0.0,-1.4448555,0.0,-0.1468035,0.0,0.6230919379106858,-0.5916590000000002,0.6272695838649011,0.6230919379106858,6,636.0
131,131,Ammonia,New-build,Middle East,greenfield,Electrolyser + SMR + ammonia synthesis,2026,215.88039521544005,362.5926926,2010.0,0.0,0.0,-1.4448555,0.0,-0.1365015,0.0,0.8104781638911343,-0.5813570000000001,0.6232095865583321,0.8104781638911343,8,257.5
133,133,Ammonia,New-build,North America,greenfield,Electrolyser + SMR + ammonia synthesis,2026,204.34294431544004,339.1502621,2010.0,0.0,0.0,-1.4448555,0.0,-0.3940515,0.0,0.8705012602682114,-0.8389070000000001,0.7247095192225556,0.8705012602682114,9,155.0
135,135,Ammonia,New-build,Oceania,greenfield,Electrolyser + SMR + ammonia synthesis,2026,215.88039521544005,362.5926926,2010.0,0.0,0.0,-1.4448555,0.0,-0.314211,0.0,0.8104781638911343,-0.7590665000000001,0.6932445400966463,0.8104781638911343,8,257.5
