,Unnamed: 0,product,technology_origin,region,switch_type,technology_destination,year,tco,lcox,switch_capex,salvage_value,marginal cost,delta_co2_scope1,delta_co2_scope2,delta_co2_scope3_upstream,delta_co2_scope3_downstream,tco_normalized,sum_emissions_delta,sum_emissions_delta_normalized,greenfield_bau_score,greenfield_bau_score_binned,greenfield_bau_ranking
6,6,Ammonia,New-build,Africa,greenfield,Biomass Digestion + ammonia synthesis,2020,613.2411122,1246.017186,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.429298225395331,1.0,0.0,0.429298225395331,5,5145.5
13,13,Ammonia,New-build,China,greenfield,Biomass Digestion + ammonia synthesis,2020,592.3655308,1203.601026,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.45402356736997085,1.0,0.0,0.45402356736997085,5,5052.5
20,20,Ammonia,New-build,Europe,greenfield,Biomass Digestion + ammonia synthesis,2020,975.6971728,1982.475443,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5269.5
27,27,Ammonia,New-build,India,greenfield,Biomass Digestion + ammonia synthesis,2020,528.4937339,1073.822779,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.5296742518049078,1.0,0.0,0.5296742518049078,6,4961.0
34,34,Ammonia,New-build,Latin America,greenfield,Biomass Digestion + ammonia synthesis,2020,613.2411122,1246.017186,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.429298225395331,1.0,0.0,0.429298225395331,5,5145.5
41,41,Ammonia,New-build,Middle East,greenfield,Biomass Digestion + ammonia synthesis,2020,969.9193084,1970.735659,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.006843386559432396,1.0,0.0,0.006843386559432396,1,5208.0
48,48,Ammonia,New-build,North America,greenfield,Biomass Digestion + ammonia synthesis,2020,598.7510022,1216.57538,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.446460522249978,1.0,0.0,0.446460522249978,5,5084.0
55,55,Ammonia,New-build,Oceania,greenfield,Biomass Digestion + ammonia synthesis,2020,677.451857,1376.484126,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.35324608614203445,1.0,0.0,0.35324608614203445,4,5177.0
62,62,Ammonia,New-build,Rest of Asia,greenfield,Biomass Digestion + ammonia synthesis,2020,592.3655308,1203.601026,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.45402356736997085,1.0,0.0,0.45402356736997085,5,5052.5
69,69,Ammonia,New-build,Russia,greenfield,Biomass Digestion + ammonia synthesis,2020,975.6971728,1982.475443,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,5269.5
76,76,Ammonia,New-build,Africa,greenfield,Biomass Digestion + ammonia synthesis,2021,613.0117421,1245.551139,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4295698946749831,1.0,0.0,0.4295698946749831,5,5143.5
83,83,Ammonia,New-build,China,greenfield,Biomass Digestion + ammonia synthesis,2021,592.0825647,1203.02608,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.45435871653088133,1.0,0.0,0.45435871653088133,5,5050.5
90,90,Ammonia,New-build,Europe,greenfield,Biomass Digestion + ammonia synthesis,2021,975.4272255,1981.92695,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0003197295050010318,1.0,0.0,0.0003197295050010318,1,5267.5
97,97,Ammonia,New-build,India,greenfield,Biomass Digestion + ammonia synthesis,2021,528.2643638,1073.356732,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.5299459210845601,1.0,0.0,0.5299459210845601,6,4958.0
104,104,Ammonia,New-build,Latin America,greenfield,Biomass Digestion + ammonia synthesis,2021,613.0117421,1245.551139,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4295698946749831,1.0,0.0,0.4295698946749831,5,5143.5
111,111,Ammonia,New-build,Middle East,greenfield,Biomass Digestion + ammonia synthesis,2021,969.6899383,1970.269612,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.007115055839084561,1.0,0.0,0.007115055839084561,1,5207.0
118,118,Ammonia,New-build,North America,greenfield,Biomass Digestion + ammonia synthesis,2021,598.3517103,1215.764076,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.44693344937885804,1.0,0.0,0.44693344937885804,5,5080.0
125,125,Ammonia,New-build,Oceania,greenfield,Biomass Digestion + ammonia synthesis,2021,677.2224869,1376.01808,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.3535177554216865,1.0,0.0,0.3535177554216865,4,5176.0
132,132,Ammonia,New-build,Rest of Asia,greenfield,Biomass Digestion + ammonia synthesis,2021,592.0825647,1203.02608,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.45435871653088133,1.0,0.0,0.45435871653088133,5,5050.5
139,139,Ammonia,New-build,Russia,greenfield,Biomass Digestion + ammonia synthesis,2021,975.4272255,1981.92695,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0003197295050010318,1.0,0.0,0.0003197295050010318,1,5267.5
146,146,Ammonia,New-build,Africa,greenfield,Biomass Digestion + ammonia synthesis,2022,612.7695303,1245.059,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.42985677385073107,1.0,0.0,0.42985677385073107,5,5141.5
153,153,Ammonia,New-build,China,greenfield,Biomass Digestion + ammonia synthesis,2022,591.7801947,1202.411708,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4547168479529299,1.0,0.0,0.4547168479529299,5,5048.5
160,160,Ammonia,New-build,Europe,greenfield,Biomass Digestion + ammonia synthesis,2022,975.1717597,1981.40788,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0006223069109564383,1.0,0.0,0.0006223069109564383,1,5265.5
167,167,Ammonia,New-build,India,greenfield,Biomass Digestion + ammonia synthesis,2022,528.022152,1072.864593,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.530232800260308,1.0,0.0,0.530232800260308,6,4957.0
174,174,Ammonia,New-build,Latin America,greenfield,Biomass Digestion + ammonia synthesis,2022,612.7695303,1245.059,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.42985677385073107,1.0,0.0,0.42985677385073107,5,5141.5
181,181,Ammonia,New-build,Middle East,greenfield,Biomass Digestion + ammonia synthesis,2022,969.4477265,1969.777473,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.007401935014832439,1.0,0.0,0.007401935014832439,1,5206.0
188,188,Ammonia,New-build,North America,greenfield,Biomass Digestion + ammonia synthesis,2022,598.006483,1215.062625,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.44734234160983,1.0,0.0,0.44734234160983,5,5071.0
195,195,Ammonia,New-build,Oceania,greenfield,Biomass Digestion + ammonia synthesis,2022,676.9802751,1375.52594,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.3538046345974347,1.0,0.0,0.3538046345974347,4,5175.0
202,202,Ammonia,New-build,Rest of Asia,greenfield,Biomass Digestion + ammonia synthesis,2022,591.7801947,1202.411708,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4547168479529299,1.0,0.0,0.4547168479529299,5,5048.5
209,209,Ammonia,New-build,Russia,greenfield,Biomass Digestion + ammonia synthesis,2022,975.1717597,1981.40788,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.0006223069109564383,1.0,0.0,0.0006223069109564383,1,5265.5
216,216,Ammonia,New-build,Africa,greenfield,Biomass Digestion + ammonia synthesis,2023,612.5137064,1244.539203,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4301597753955305,1.0,0.0,0.4301597753955305,5,5139.5
223,223,Ammonia,New-build,China,greenfield,Biomass Digestion + ammonia synthesis,2023,591.4572563,1201.755544,5522.867347,0.0,0.0,0.0,0.0,0.0,0.0,0.4550993408868389,1.0,0.0,0.4550993408868389,5,5046.5
