,product,region,technology,daily_production_capacity,capacity_factor,asset_lifetime,retrofit_status,uuid
0,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,1e8403a0157a426796e3fe542e8a794e
1,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,c574d3858235461c985bdba672f894a3
2,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,927eff288b204c919ed1072f9a91cab3
3,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,89268a7b884547d1ad78c6295e96bd70
4,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,531117d6409f49afb4dd543c47bd8c3f
5,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,980a0e23736c4e0f966125106aeff6bd
6,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,5d656b3c321a42cc9edd5bcf9ca8ef10
7,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,9a14cb2e0cdf40f9b29efea8156b09ae
8,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,f682c4834f564af19cda004b362c4578
9,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.5,30,False,badb5948f33e4b439fb29a96212582e8
10,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,434eeef75ce44af7b1c8aeb815054983
11,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,1384c89906d948ee833920f76aebd004
12,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,cf53f8c887d440c180166041a43a1de3
13,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,c78b8b084330476081b3fd8111b09c43
14,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,821a26b91a1045db938594423e1aa70b
15,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,53fe188dd7824390b4a7a993171aeb71
16,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,a5e0f2e4d8b54c61bf1cb8d1da15e959
17,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,7d844fc3d30c49a491a367376c98652f
18,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,66963586de4a4bbe8abdb9b3042ced9d
19,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,c99737ec87ee491398d76dc6409c593c
20,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,bffbd7c3da6e479fba7c1ec581b863bb
21,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,35c08247da9145d0bb20fb561538e5bd
22,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,6ae9581473ec4e4a867b8eec4012917b
23,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,9688b688fb5f46c2844489dbc73ce2e7
24,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,adb0b1154551444e8f73df838064c2db
25,Ammonia,China,Coal Gasification + ammonia synthesis,1,0.95,30,False,aba1b1a3a1d34a13bfe075379de15377
26,Ammonia,China,Natural Gas SMR + ammonia synthesis,1,0.95,30,False,2f793d50b4674f158207eca03ae66880
