sector,product,region,technology,parameter_group,parameter,unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
chemicals,Ammonia,Africa,Biomass Digestion + ammonia synthesis,Cost,Fixed OPEX,USD/tpa,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202,170.65539208464202
chemicals,Ammonia,Africa,Biomass Digestion + ammonia synthesis,Cost,Greenfield CAPEX,USD/tpa,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403,3413.1078416928403
chemicals,Ammonia,Africa,Biomass Digestion + ammonia synthesis,Cost,Total OPEX,USD/tpa,729.9662760199975,729.9370316452855,729.9077872705735,729.8785428958614,729.8492985211494,729.8200541464373,727.6587767041905,725.4974992619434,723.3362218196966,721.1749443774496,719.0136669352027,718.6783771881351,718.3430874410676,718.0077976940003,717.6725079469327,717.3372181998653,717.1451491377384,716.9530800756115,716.7610110134847,716.5689419513579,716.376872889231,716.4674003210229,716.5579277528147,716.6484551846066,716.7389826163985,716.8295100481904,717.4885528633176,718.1475956784449,718.8066384935721,719.4656813086993,720.1247241238266
chemicals,Ammonia,Africa,Biomass Digestion + ammonia synthesis,Cost,Variable OPEX,USD/tpa,559.3108839353555,559.2816395606435,559.2523951859315,559.2231508112194,559.1939064365074,559.1646620617953,557.0033846195485,554.8421071773014,552.6808297350545,550.5195522928076,548.3582748505606,548.022985103493,547.6876953564256,547.3524056093582,547.0171158622907,546.6818261152233,546.4897570530964,546.2976879909695,546.1056189288427,545.9135498667159,545.721480804589,545.8120082363808,545.9025356681727,545.9930630999646,546.0835905317565,546.1741179635484,546.8331607786756,547.4922035938029,548.1512464089301,548.8102892240573,549.4693320391846
chemicals,Ammonia,Africa,Biomass Digestion + ammonia synthesis,Energy,Electricity - PPA,GJ/tNH3,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208,6.7208
chemicals,Ammonia,Africa,Biomass Digestion + ammonia synthesis,Energy,Steam,GJ/tNH3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
chemicals,Ammonia,Africa,Biomass Digestion + ammonia synthesis,Raw material,Wet biomass,GJ/tNH3,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52,155.52
chemicals,Ammonia,Africa,Biomass Gasification + ammonia synthesis,Cost,Fixed OPEX,USD/tpa,281.4512977649603,278.40398341744776,275.37505407354,272.36450973323724,269.3723503965393,266.3985760634462,263.44318673395816,260.5061824080749,257.58756308579666,254.6873287671232,251.80547945205475,249.8107065609228,247.8251261715933,245.84873828406623,243.8815428983416,241.9235400144195,239.9747296322998,238.03511175198256,236.10468637346776,234.18345349675545,232.2714131218455,230.3685652487381,228.4749098774332,226.59044700793052,224.7151766402305,222.8490987743329,220.9922134102377,219.14452054794492,217.3060201874547,215.4767123287669,213.65659697188173
chemicals,Ammonia,Africa,Biomass Gasification + ammonia synthesis,Cost,Greenfield CAPEX,USD/tpa,5629.025955299207,5568.079668348955,5507.5010814708,5447.290194664744,5387.447007930785,5327.971521268924,5268.863734679163,5210.123648161499,5151.751261715933,5093.746575342464,5036.109589041094,4996.214131218455,4956.5025234318655,4916.974765681324,4877.630857966832,4838.47080028839,4799.494592645996,4760.702235039651,4722.093727469355,4683.669069935108,4645.42826243691,4607.371304974762,4569.498197548663,4531.808940158611,4494.30353280461,4456.981975486658,4419.8442682047535,4382.890410958899,4346.120403749093,4309.534246575337,4273.131939437635
chemicals,Ammonia,Africa,Biomass Gasification + ammonia synthesis,Cost,Total OPEX,USD/tpa,557.840698024532,554.7671852287295,551.712057436532,548.6753146479394,545.6569568629517,542.6569840815688,537.7654235783692,532.8922480787744,528.0374575827846,523.2010520903997,518.3830316016197,516.0878908213757,513.8019425429343,511.5251867662952,509.2576234914586,506.9992527184245,504.87837808662425,502.7666959566265,500.66420632843096,498.5709092020381,496.4868045774475,494.6650553177987,492.8524985599524,491.0491343039084,489.25496254966697,487.469983297228,486.20349862669866,484.9462064579719,483.6981067910476,482.45919962592575,481.2294849626065
