product,year,region,technology,expected_maturity,wacc,technology_lifetime,trl_current,technology_classification
Ammonia,2020,China,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Rest of Asia,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,North America,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Russia,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Europe,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,India,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Middle East,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Africa,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Latin America,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Oceania,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Brazil,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Saudi Arabia,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Namibia,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Australia,Natural Gas SMR + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,China,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Rest of Asia,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,North America,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Russia,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Europe,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,India,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Middle East,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Africa,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Latin America,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Oceania,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Brazil,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Saudi Arabia,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Namibia,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,Australia,Coal Gasification + ammonia synthesis,2020,0.06,30,9,initial
Ammonia,2020,China,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Rest of Asia,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,North America,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Russia,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Europe,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,India,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Middle East,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Africa,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Latin America,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Oceania,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Brazil,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Saudi Arabia,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Namibia,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Australia,Coal Gasification+ CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,China,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Rest of Asia,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,North America,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Russia,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Europe,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,India,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Middle East,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Africa,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Latin America,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Oceania,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Brazil,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Saudi Arabia,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Namibia,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,Australia,Natural Gas ATR + CCS + ammonia synthesis,2025,0.06,30,9,end-state
Ammonia,2020,China,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,Rest of Asia,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,North America,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,Russia,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,Europe,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,India,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,Middle East,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,Africa,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,Latin America,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,Oceania,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,Brazil,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,Saudi Arabia,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,Namibia,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,Australia,Oversized ATR + CCS,2025,0.06,30,9,end-state
Ammonia,2020,China,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,Rest of Asia,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,North America,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,Russia,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,Europe,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,India,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,Middle East,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,Africa,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,Latin America,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,Oceania,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,Brazil,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,Saudi Arabia,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,Namibia,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,Australia,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,2020,0.06,30,9,transition
Ammonia,2020,China,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,Rest of Asia,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,North America,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,Russia,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,Europe,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,India,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,Middle East,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,Africa,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,Latin America,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,Oceania,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,Brazil,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,Saudi Arabia,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,Namibia,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,Australia,Natural Gas SMR + CCS + ammonia synthesis,2025,0.06,30,8,end-state
Ammonia,2020,China,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Rest of Asia,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,North America,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Russia,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Europe,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,India,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Middle East,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Africa,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Latin America,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Oceania,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Brazil,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Saudi Arabia,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Namibia,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Australia,Electrolyser + SMR + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,China,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Rest of Asia,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,North America,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Russia,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Europe,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,India,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Middle East,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Africa,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Latin America,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Oceania,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Brazil,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Saudi Arabia,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Namibia,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
Ammonia,2020,Australia,Electrolyser + Coal Gasification + ammonia synthesis,2020,0.06,30,8,transition
