product,scenario,region,year,unit,value
All,Midpoint,Global,2020,MtCO2,3.8817
All,Midpoint,Global,2021,MtCO2,3.9817
All,Midpoint,Global,2022,MtCO2,4.2747
All,Midpoint,Global,2023,MtCO2,5.2147
All,Midpoint,Global,2024,MtCO2,8.5387
All,Midpoint,Global,2025,MtCO2,15.2997
All,Midpoint,Global,2026,MtCO2,21.7597
All,Midpoint,Global,2027,MtCO2,30.8097229
All,Midpoint,Global,2028,MtCO2,39.99850354
All,Midpoint,Global,2029,MtCO2,52.64770856
All,Midpoint,Global,2030,MtCO2,60.09799684
All,Midpoint,Global,2031,MtCO2,70.17766859
All,Midpoint,Global,2032,MtCO2,83.14809661
All,Midpoint,Global,2033,MtCO2,99.12507256
All,Midpoint,Global,2034,MtCO2,118.0853737
All,Midpoint,Global,2035,MtCO2,139.8923896
All,Midpoint,Global,2036,MtCO2,164.3302466
All,Midpoint,Global,2037,MtCO2,191.1375428
All,Midpoint,Global,2038,MtCO2,220.0353404
All,Midpoint,Global,2039,MtCO2,250.7475195
All,Midpoint,Global,2040,MtCO2,283.0139089
All,Midpoint,Global,2041,MtCO2,316.5976515
All,Midpoint,Global,2042,MtCO2,351.2884421
All,Midpoint,Global,2043,MtCO2,386.9030352
All,Midpoint,Global,2044,MtCO2,423.284078
All,Midpoint,Global,2045,MtCO2,460.2980067
All,Midpoint,Global,2046,MtCO2,497.8325017
All,Midpoint,Global,2047,MtCO2,535.7938208
All,Midpoint,Global,2048,MtCO2,574.1042081
All,Midpoint,Global,2049,MtCO2,612.6994913
All,Midpoint,Global,2050,MtCO2,651.526924
