,technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,Natural Gas SMR + ammonia synthesis,257.363431054,249.73803602299998,205.762640992,204.81264099199998,217.512640992,240.612640992,222.96027080599998,206.68329565099998,189.481715527,171.33013540299999,151.30395031,134.20395030999998,115.20395031,93.35395031,87.65395031,70.528555279,40.976975155,2.8499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Coal Gasification + ammonia synthesis,77.89999999999999,76.95,74.25,61.4,55.9,54.949999999999996,69.35,65.55,61.75,57.949999999999996,54.15,46.55,38.949999999999996,31.349999999999998,16.15,8.549999999999999,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,0.0,0.0,16.15,26.599999999999998,32.3,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,39.9,29.45,11.399999999999999,11.399999999999999,11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Electrolyser + SMR + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Electrolyser + Coal Gasification + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Electrolyser - grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,1.9253950309999999,3.125395031,5.725395031,6.675395031,7.625395031,8.575395031,9.525395031,11.425395030999999,13.325395031,15.225395031,16.175395031,17.125395031,17.125395031,17.125395031,17.125395031,17.125395031,17.125395031,12.225395031,12.225395031,12.225395031,12.225395031,13.975395031,12.925395030999999,17.125395031,12.225395031
15,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,2.875395031,5.650790062,12.426185092999999,16.251580124,20.051580124,21.001580124,21.951580124,25.751580124,27.651580124,29.551580123999997,30.501580124,31.451580124,31.451580124,31.451580124,31.451580124,31.451580124,31.451580124,25.501580124,25.501580124,25.501580124,25.501580124,31.451580124,30.051580123999997,31.451580124,25.501580124
16,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,5.725395031,10.550790061999999,23.826185093,41.901580124,66.626975155,84.676975155,109.376975155,134.07697515499999,159.726975155,188.226975155,211.976975155,234.802370186,259.502370186,285.152370186,311.752370186,343.102370186,374.452370186,400.252370186,405.002370186,404.402370186,405.002370186,407.702370186,411.502370186,417.202370186,426.602370186
17,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,8.575395031,13.050790061999999,26.676185092999997,44.751580124,59.976975155,79.926975155,115.076975155,136.926975155,170.17697515499998,195.82697515499999,225.276975155,258.526975155,286.076975155,307.926975155,337.37697515499997,361.12697515499997,387.726975155,416.026975155,418.87697515499997,416.976975155,416.976975155,419.07697515499996,432.37697515499997,441.87697515499997,449.276975155
2,Coal Gasification+ CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
