,technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,Natural Gas SMR + ammonia synthesis,257.363431054,249.73803602299998,221.862640992,206.912640992,217.512640992,243.06264099199998,218.03566583699998,210.534085713,193.307110558,175.130135403,155.10395031,138.00395031,119.00395031,97.15395031,87.65395031,74.328555279,44.776975154999995,6.6499999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Coal Gasification + ammonia synthesis,77.89999999999999,76.95,57.8,56.849999999999994,47.15,54.949999999999996,43.8,65.55,61.75,57.949999999999996,54.15,46.55,38.949999999999996,31.349999999999998,16.15,8.549999999999999,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,0.0,0.0,16.15,26.599999999999998,32.3,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,38.949999999999996,32.3,10.45,10.45,10.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Electrolyser + SMR + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Electrolyser + Coal Gasification + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Electrolyser - grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,2.8499999999999996,3.8,4.75,5.699999999999999,6.6499999999999995,8.549999999999999,10.45,11.399999999999999,12.35,12.35,12.35,12.35,12.35,12.35,12.35,7.8,7.8,7.8,7.8,9.2,8.15,12.35,7.8
15,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,2.525395031,4.100790062,6.726185093,9.601580124,10.551580124,11.501580124,12.451580124,15.301580124,17.201580124,20.051580124,21.001580124,22.901580124,22.901580124,22.901580124,22.901580124,22.901580124,22.901580124,17.301580124,17.301580124,17.301580124,17.301580124,22.901580124,21.501580124,22.901580124,17.301580124
16,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,6.225395031,12.450790062,25.726185092999998,43.801580124,66.626975155,88.47697515499999,123.626975155,140.726975155,162.57697515499999,183.476975155,203.42697515499998,236.67697515499998,263.276975155,282.276975155,303.176975155,330.726975155,356.37697515499997,386.82697515499996,389.676975155,388.726975155,388.726975155,391.526975155,395.32697515499996,401.976975155,412.82697515499996
17,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,5.5253950309999995,12.100790062,25.726185092999998,43.801580124,64.72697515499999,81.826975155,104.626975155,132.176975155,161.626975155,191.07697515499999,217.67697515499998,241.452370186,267.102370186,293.702370186,325.05237018599996,356.402370186,390.602370186,411.30237018599996,413.80237018599996,413.80237018599996,415.352370186,419.102370186,433.352370186,441.902370186,445.152370186
2,Coal Gasification+ CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
