,technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,Natural Gas SMR + ammonia synthesis,257.363431054,218.863431054,234.263431054,220.263431054,231.813431054,254.913431054,232.68645589899998,224.80948074399998,207.582505589,189.430925465,169.404740372,152.304740372,132.35474037199998,110.504740372,99.07934534099999,79.10395031,62.877765217,24.725395030999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Coal Gasification + ammonia synthesis,77.89999999999999,50.949999999999996,59.699999999999996,59.699999999999996,50.949999999999996,49.199999999999996,46.8,70.3,66.5,62.699999999999996,58.9,51.3,43.699999999999996,36.1,16.15,8.549999999999999,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,0.0,11.399999999999999,16.15,29.45,36.1,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,41.8,26.599999999999998,13.299999999999999,13.299999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Electrolyser + SMR + ammonia synthesis,0.0,1.9,1.9,1.9,1.9,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Electrolyser + Coal Gasification + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Electrolyser - grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,2.8499999999999996,3.8,4.75,5.699999999999999,6.6499999999999995,7.6,9.5,10.45,12.35,12.35,13.299999999999999,13.299999999999999,13.299999999999999,13.299999999999999,13.299999999999999,8.75,9.382529578,8.75,8.75,10.15,9.1,13.299999999999999,8.75
15,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,1.575395031,3.150790062,5.776185093,7.7015801239999995,9.626975155,10.576975155,11.526975155,13.426975155,16.276975155,17.226975154999998,19.126975155,19.126975155,20.076975155,20.076975155,20.076975155,20.076975155,20.076975155,14.826975155,17.780191032,14.826975155,14.826975155,20.076975155,18.676975155,20.076975155,14.826975155
16,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,5.875395031,12.450790062,25.726185092999998,43.801580124,66.626975155,81.826975155,103.676975155,129.32697515499999,147.376975155,171.126975155,197.726975155,221.50237018599998,251.90237018599998,272.80237018599996,304.152370186,336.452370186,364.952370186,389.102370186,388.93119338599996,394.80237018599996,393.852370186,397.252370186,407.702370186,411.502370186,419.502370186
17,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,5.875395031,12.450790062,25.726185092999998,43.801580124,63.776975154999995,82.776975155,111.27697515499999,132.176975155,160.67697515499998,189.17697515499998,215.776975155,242.376975155,267.076975155,291.776975155,318.37697515499997,344.026975155,373.476975155,397.026975155,394.79742693599997,400.476975155,401.07697515499996,403.87697515499997,409.57697515499996,420.976975155,429.676975155
2,Coal Gasification+ CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Natural Gas ATR + CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,1.9253950309999999,3.8507900619999997,6.726185093,6.726185093,8.626185093,9.576185093,9.576185093,9.576185093,9.576185093,10.526185093,12.426185092999999,20.051580124,25.751580124,25.751580124,25.751580124,25.751580124,25.751580124,25.751580124,24.711214843,26.701580124,26.701580124,26.701580124,26.701580124,26.701580124,26.701580124
