product,scenario,region,year,unit,value
All,Midpoint,Global,2020,MtCO2,0
All,Midpoint,Global,2021,MtCO2,0.1
All,Midpoint,Global,2022,MtCO2,0.293
All,Midpoint,Global,2023,MtCO2,0.94
All,Midpoint,Global,2024,MtCO2,3.324
All,Midpoint,Global,2025,MtCO2,6.761
All,Midpoint,Global,2026,MtCO2,6.46
All,Midpoint,Global,2027,MtCO2,9.050022896
All,Midpoint,Global,2028,MtCO2,9.188780647
All,Midpoint,Global,2029,MtCO2,12.64920502
All,Midpoint,Global,2030,MtCO2,7.450288271
All,Midpoint,Global,2031,MtCO2,10.07967176
All,Midpoint,Global,2032,MtCO2,12.97042802
All,Midpoint,Global,2033,MtCO2,15.97697595
All,Midpoint,Global,2034,MtCO2,18.96030112
All,Midpoint,Global,2035,MtCO2,21.80701591
All,Midpoint,Global,2036,MtCO2,24.43785703
All,Midpoint,Global,2037,MtCO2,26.80729619
All,Midpoint,Global,2038,MtCO2,28.89779753
All,Midpoint,Global,2039,MtCO2,30.71217914
All,Midpoint,Global,2040,MtCO2,32.26638938
All,Midpoint,Global,2041,MtCO2,33.58374264
All,Midpoint,Global,2042,MtCO2,34.69079061
All,Midpoint,Global,2043,MtCO2,35.61459312
All,Midpoint,Global,2044,MtCO2,36.38104281
All,Midpoint,Global,2045,MtCO2,37.0139287
All,Midpoint,Global,2046,MtCO2,37.53449495
All,Midpoint,Global,2047,MtCO2,37.96131909
All,Midpoint,Global,2048,MtCO2,38.31038735
All,Midpoint,Global,2049,MtCO2,38.59528321
All,Midpoint,Global,2050,MtCO2,38.82743266
