,,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox,lcox
year,,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
product,technology_destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonia,Biomass Digestion + ammonia synthesis,,,,,,,,,,,826.9503219,826.9015314,826.8751516,826.8725271,826.8950833,826.9443309,827.0218715,827.1185793,827.2356044,827.3741658,827.5355557,827.7211438,827.911026,828.1054598,828.3047185,828.5090914,828.7188855,828.8914629,829.0245906,829.1159015,829.1628868
Ammonia,Biomass Gasification + ammonia synthesis,,,,,,,,,,,854.2673982,849.9685943,845.7255345,841.5400823,837.4142132,833.3500209,829.349725,825.4196531,821.5625376,817.7812747,814.0789344,810.4587711,806.9211077,803.4694132,800.1073645,796.8388594,793.6680292,790.6044225,787.6529915,784.8189857,782.1079693
Ammonia,Coal Gasification+ CCS + ammonia synthesis,,,,,,484.6120384,483.6173192,482.8135255,482.2121128,481.8252239,481.6657304,481.7472759,481.8246793,481.8976923,481.9660513,482.029477,482.0876736,482.1438264,482.1978128,482.2495027,482.2987585,482.345434,482.3866223,482.4219941,482.4512006,482.4738717,482.4896154,482.5025662,482.5125566,482.5194088,482.5229348
Ammonia,ESMR Gas + CCS + ammonia synthesis,,,,,,,,,,,272.3400492,272.721707,273.0899256,273.4438985,273.7827712,274.1056374,274.4115369,274.7050207,274.9853437,275.2517163,275.5033015,275.7392121,275.9541275,276.146788,276.3158583,276.459923,276.5774818,276.674186,276.7487845,276.7999509,276.8262792
Ammonia,Electrolyser + Coal Gasification + ammonia synthesis,385.0628736,382.2159946,379.6064782,377.2471497,375.1516038,373.3342509,371.8103662,370.5024345,369.4226852,368.5840817,368.0003647,368.0425658,368.0805587,368.114179,368.1432523,368.1675936,368.1870069,368.2057324,368.2237998,368.2412408,368.258089,368.27438,368.2866865,368.2948536,368.2987174,368.2981041,368.2928294,368.2883725,368.2848452,368.2823658,368.2810596
Ammonia,Electrolyser + SMR + ammonia synthesis,232.8863948,231.8833187,230.9662468,230.1389229,229.4053152,228.7696304,228.2363272,227.760063,227.3435322,226.9895912,226.7012676,226.8382365,226.9695908,227.0950814,227.2144447,227.3274007,227.4336531,227.5352093,227.6318589,227.7233784,227.8095314,227.890067,227.9629262,228.0277327,228.0840878,228.1315688,228.1697276,228.2009993,228.2250333,228.2414579,228.249879
Ammonia,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,,,,,,383.3363568,373.2899008,364.2490306,355.8985892,344.6782762,334.3557858,325.801541,318.5568132,312.4057021,307.1648949,302.6817943,298.8322436,295.5117188,292.6425894,290.1649256,288.0329586,286.2120625,284.6022545,283.1866838,281.9530825,281.0956128,280.5997555,280.1786936,279.8348537,279.5709246,279.3898636
Ammonia,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,,,,,,392.4728046,383.1004907,374.6948334,363.6702711,354.0513012,344.9651561,337.0652948,330.4168841,324.8119263,320.0738527,316.0556206,312.6374673,309.7181955,307.222571,305.0922829,303.2825482,301.7592192,300.4223847,299.2549376,298.2440852,297.5736471,297.2283538,296.9319428,296.685286,296.4894244,296.345568
