product,year,region,name,unit,electrolyser_efficiency
Ammonia,2020,China,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,China,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,China,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2020,Rest of Asia,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,Rest of Asia,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,Rest of Asia,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2020,North America,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,North America,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,North America,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2020,Russia,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,Russia,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,Russia,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2020,Europe,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,Europe,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,Europe,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2020,India,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,India,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,India,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2020,Middle East,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,Middle East,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,Middle East,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2020,Africa,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,Africa,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,Africa,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2020,Latin America,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,Latin America,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,Latin America,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2020,Oceania,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,Oceania,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,Oceania,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2020,Brazil,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,Brazil,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,Brazil,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2020,Saudi Arabia,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,Saudi Arabia,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,Saudi Arabia,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2020,Namibia,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,Namibia,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,Namibia,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2020,Australia,Electrolyser efficiency,kWh/tH2,53000
Ammonium nitrate,2020,Australia,Electrolyser efficiency,kWh/tH2,53000
Urea,2020,Australia,Electrolyser efficiency,kWh/tH2,53000
Ammonia,2021,China,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,China,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,China,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2021,Rest of Asia,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,Rest of Asia,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,Rest of Asia,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2021,North America,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,North America,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,North America,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2021,Russia,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,Russia,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,Russia,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2021,Europe,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,Europe,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,Europe,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2021,India,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,India,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,India,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2021,Middle East,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,Middle East,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,Middle East,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2021,Africa,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,Africa,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,Africa,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2021,Latin America,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,Latin America,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,Latin America,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2021,Oceania,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,Oceania,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,Oceania,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2021,Brazil,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,Brazil,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,Brazil,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2021,Saudi Arabia,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,Saudi Arabia,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,Saudi Arabia,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2021,Namibia,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,Namibia,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,Namibia,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2021,Australia,Electrolyser efficiency,kWh/tH2,52600
Ammonium nitrate,2021,Australia,Electrolyser efficiency,kWh/tH2,52600
Urea,2021,Australia,Electrolyser efficiency,kWh/tH2,52600
Ammonia,2022,China,Electrolyser efficiency,kWh/tH2,52200
Ammonium nitrate,2022,China,Electrolyser efficiency,kWh/tH2,52200
Urea,2022,China,Electrolyser efficiency,kWh/tH2,52200
