product,driver,region,unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ammonia,Fertiliser,Global,Mt Ammonia,36.8,37.5,38.3,39.0,39.7,40.4,40.7,40.8,41.0,41.1,41.2,41.6,42.1,42.5,42.9,43.3,43.5,43.8,44.1,44.3,44.5,44.6,44.7,44.8,44.9,44.9,45.1,45.4,45.5,45.7,45.9
Ammonia,Fertiliser,North America,Mt Ammonia,3.6,3.7,3.7,3.8,3.8,3.9,3.9,3.9,3.9,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9,3.9
Ammonia,Fertiliser,Latin America,Mt Ammonia,2.1,2.1,2.2,2.3,2.4,2.5,2.6,2.6,2.7,2.8,2.8,2.9,3.0,3.0,3.1,3.2,3.2,3.3,3.4,3.4,3.5,3.5,3.6,3.6,3.6,3.7,3.7,3.8,3.8,3.9,3.9
Ammonia,Fertiliser,Africa,Mt Ammonia,1.9,2.0,2.0,2.1,2.2,2.3,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.8,2.8,2.9,3.0,3.0,3.1,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.5,3.5,3.5
Ammonia,Fertiliser,Middle East,Mt Ammonia,4.1,4.2,4.3,4.5,4.7,4.9,5.0,5.1,5.2,5.3,5.4,5.5,5.6,5.8,5.9,6.0,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.7,6.8,6.9,6.9,7.0,7.1,7.2,7.3
Ammonia,Fertiliser,Russia,Mt Ammonia,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9
Ammonia,Fertiliser,Europe,Mt Ammonia,3.4,3.4,3.5,3.5,3.5,3.6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
Ammonia,Fertiliser,China,Mt Ammonia,8.4,8.4,8.7,9.0,9.3,9.6,9.8,10.0,10.2,10.3,10.5,10.3,10.2,10.1,9.9,9.8,9.7,9.5,9.4,9.2,9.1,8.9,8.8,8.6,8.4,8.3,8.2,8.0,7.9,7.8,7.7
Ammonia,Fertiliser,India,Mt Ammonia,3.6,3.6,3.7,3.8,3.8,3.9,3.9,3.9,3.9,3.9,3.8,4.0,4.2,4.4,4.6,4.8,4.9,5.1,5.3,5.4,5.6,5.8,5.9,6.1,6.2,6.4,6.6,6.7,6.9,7.1,7.3
Ammonia,Fertiliser,Rest of Asia,Mt Ammonia,6.5,6.8,6.8,6.7,6.6,6.5,6.4,6.2,6.0,5.8,5.6,5.7,5.7,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.7,5.7,5.6,5.6,5.5,5.5,5.4,5.3
Ammonia,Fertiliser,Oceania,Mt Ammonia,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonium nitrate,Fertiliser,Global,Mt Ammonium nitrate,32.8,33.4,34.0,34.6,35.2,35.8,36.3,36.9,37.4,37.9,38.4,38.8,39.3,39.7,40.2,40.6,41.0,41.3,41.7,42.1,42.4,42.7,43.0,43.3,43.6,43.8,44.0,44.3,44.5,44.7,44.8
Ammonium nitrate,Fertiliser,North America,Mt Ammonium nitrate,3.2,3.3,3.3,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8
Ammonium nitrate,Fertiliser,Latin America,Mt Ammonium nitrate,1.8,1.9,2.0,2.1,2.1,2.2,2.3,2.4,2.5,2.5,2.6,2.7,2.8,2.8,2.9,3.0,3.1,3.1,3.2,3.2,3.3,3.4,3.4,3.5,3.5,3.6,3.6,3.7,3.7,3.8,3.8
Ammonium nitrate,Fertiliser,Africa,Mt Ammonium nitrate,1.7,1.7,1.8,1.9,2.0,2.0,2.1,2.2,2.3,2.3,2.4,2.5,2.5,2.6,2.7,2.7,2.8,2.8,2.9,3.0,3.0,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.5
Ammonium nitrate,Fertiliser,Middle East,Mt Ammonium nitrate,3.6,3.7,3.9,4.0,4.2,4.3,4.4,4.6,4.7,4.9,5.0,5.1,5.3,5.4,5.5,5.6,5.7,5.9,6.0,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,6.9,7.0,7.1
Ammonium nitrate,Fertiliser,Russia,Mt Ammonium nitrate,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.6,2.6,2.6,2.6,2.7,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.9
Ammonium nitrate,Fertiliser,Europe,Mt Ammonium nitrate,3.0,3.1,3.1,3.1,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3
Ammonium nitrate,Fertiliser,China,Mt Ammonium nitrate,7.5,7.5,7.8,8.0,8.3,8.5,8.8,9.0,9.3,9.5,9.8,9.6,9.5,9.4,9.3,9.2,9.1,9.0,8.9,8.7,8.6,8.5,8.4,8.3,8.2,8.1,8.0,7.9,7.7,7.6,7.5
Ammonium nitrate,Fertiliser,India,Mt Ammonium nitrate,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.5,3.5,3.6,3.6,3.8,3.9,4.1,4.3,4.5,4.6,4.8,5.0,5.2,5.3,5.5,5.7,5.9,6.0,6.2,6.4,6.6,6.7,6.9,7.1
Ammonium nitrate,Fertiliser,Rest of Asia,Mt Ammonium nitrate,5.8,6.1,6.0,5.9,5.9,5.8,5.7,5.6,5.5,5.4,5.2,5.3,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.4,5.4,5.3,5.3,5.2
Ammonium nitrate,Fertiliser,Oceania,Mt Ammonium nitrate,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urea,Fertiliser,Global,Mt Urea,143.4,145.9,148.6,151.2,153.8,156.2,158.6,161.0,163.2,165.4,167.5,169.6,171.6,173.5,175.4,177.2,178.9,180.5,182.1,183.6,185.1,186.5,187.8,189.0,190.2,191.3,192.3,193.3,194.2,195.0,195.8
Urea,Fertiliser,North America,Mt Urea,14.1,14.4,14.5,14.7,14.8,15.0,15.1,15.2,15.4,15.5,15.6,15.7,15.8,15.9,16.0,16.1,16.2,16.2,16.3,16.4,16.4,16.5,16.5,16.6,16.6,16.6,16.7,16.7,16.7,16.7,16.7
Urea,Fertiliser,Latin America,Mt Urea,8.1,8.2,8.6,9.0,9.3,9.7,10.1,10.4,10.8,11.1,11.4,11.8,12.1,12.4,12.7,13.0,13.3,13.6,13.9,14.2,14.4,14.7,15.0,15.2,15.5,15.7,15.9,16.1,16.4,16.6,16.8
Urea,Fertiliser,Africa,Mt Urea,7.5,7.6,8.0,8.3,8.6,8.9,9.3,9.6,9.9,10.2,10.5,10.8,11.1,11.3,11.6,11.9,12.1,12.4,12.6,12.9,13.1,13.4,13.6,13.8,14.0,14.2,14.4,14.6,14.8,15.0,15.1
Urea,Fertiliser,Middle East,Mt Urea,15.9,16.2,16.8,17.5,18.1,18.8,19.4,20.0,20.6,21.2,21.8,22.4,23.0,23.5,24.1,24.6,25.1,25.6,26.1,26.6,27.0,27.5,27.9,28.4,28.8,29.2,29.6,30.0,30.3,30.7,31.0
Urea,Fertiliser,Russia,Mt Urea,10.7,10.9,10.9,10.9,10.9,10.8,10.9,11.0,11.1,11.2,11.4,11.5,11.5,11.6,11.7,11.8,11.9,12.0,12.0,12.1,12.2,12.2,12.3,12.3,12.4,12.4,12.4,12.5,12.5,12.5,12.5
Urea,Fertiliser,Europe,Mt Urea,13.2,13.4,13.5,13.6,13.7,13.8,13.8,13.9,14.0,14.1,14.1,14.2,14.2,14.3,14.3,14.4,14.4,14.4,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.5,14.4,14.4
Urea,Fertiliser,China,Mt Urea,32.8,32.8,33.9,35.0,36.1,37.2,38.3,39.3,40.4,41.5,42.6,42.1,41.6,41.1,40.6,40.2,39.7,39.2,38.7,38.2,37.7,37.2,36.7,36.2,35.8,35.3,34.8,34.3,33.8,33.3,32.8
Urea,Fertiliser,India,Mt Urea,13.9,14.2,14.4,14.6,14.8,15.0,15.1,15.3,15.4,15.5,15.6,16.4,17.2,17.9,18.7,19.5,20.2,21.0,21.8,22.5,23.3,24.1,24.8,25.6,26.4,27.1,27.9,28.7,29.5,30.2,31.0
Urea,Fertiliser,Rest of Asia,Mt Urea,25.5,26.5,26.2,25.9,25.6,25.3,24.9,24.4,23.9,23.4,22.9,23.1,23.4,23.6,23.7,23.9,24.0,24.1,24.2,24.2,24.2,24.2,24.1,24.1,24.0,23.8,23.7,23.5,23.3,23.1,22.8
Urea,Fertiliser,Oceania,Mt Urea,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.7,1.7,1.8,1.9,1.9,2.0,2.0,2.1,2.1,2.2,2.2,2.3,2.3,2.4,2.4,2.4,2.5,2.5,2.5,2.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ammonia,Industrial,Global,Mt Ammonia,25.97,26.36,26.77,27.17,27.55,27.91,28.76,29.6,30.45,31.29,32.13,32.58,33.02,33.45,33.87,34.27,34.73,35.19,35.63,36.06,36.48,36.96,37.43,37.89,38.34,38.78,39.01,39.23,39.44,39.63,39.81
