product,scenario,region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ammonia,NZ+Circular,Global,185.00,187.40,198.30,203.00,208.30,223.30,233.30,255.30,281.60,309.40,337.70,388.30,433.30,485.10,537.10,588.40,642.40,702.00,754.30,814.60,879.70,943.70,1006.80,1015.80,1017.80,1019.80,1020.70,1039.30,1057.10,1078.40,1093.60
Ammonia,NZ+Circular,North America,20.70,20.90,21.10,21.20,21.40,22.60,23.10,24.80,26.90,29.00,31.10,35.30,38.90,43.10,47.30,51.50,56.00,61.20,65.80,71.30,77.40,83.50,89.50,89.90,89.60,89.30,89.00,90.60,92.20,94.10,95.50
Ammonia,NZ+Circular,Latin America,14.70,14.90,15.10,15.30,15.50,16.00,16.40,17.10,17.90,18.80,19.70,20.90,21.80,23.00,24.20,25.40,26.60,28.20,29.50,31.10,32.90,34.90,36.90,36.90,36.70,36.50,36.30,36.70,37.20,37.70,38.10
Ammonia,NZ+Circular,Africa,10.10,10.70,11.30,12.00,12.60,13.60,14.30,15.50,16.80,18.20,19.50,21.50,23.30,25.30,27.30,29.30,31.40,33.80,35.90,38.30,41.00,43.60,46.30,46.80,47.20,47.50,47.80,48.90,49.90,51.00,51.90
Ammonia,NZ+Circular,Middle East,7.70,7.80,7.90,8.00,8.10,8.90,9.20,10.30,11.70,13.20,14.60,17.50,20.00,22.90,25.80,28.70,31.80,35.40,38.60,42.40,46.60,50.80,54.90,55.20,55.00,54.80,54.50,55.70,56.70,58.10,59.00
Ammonia,NZ+Circular,Russia,5.80,5.80,5.80,5.90,5.90,6.00,6.10,6.30,6.50,6.70,6.90,7.30,7.60,7.90,8.30,8.70,9.00,9.50,9.90,10.40,10.90,11.40,11.90,12.00,11.90,11.90,11.90,12.00,12.10,12.30,12.40
Ammonia,NZ+Circular,Europe,27.20,27.30,32.90,34.50,36.40,40.50,44.00,50.10,57.50,65.60,74.30,87.10,99.40,113.00,126.80,140.40,154.30,168.90,181.60,195.40,209.60,223.10,236.00,238.70,239.70,240.50,240.90,244.40,247.60,251.30,253.80
Ammonia,NZ+Circular,China,19.60,19.60,19.60,19.70,19.70,20.40,20.70,21.90,23.30,24.80,26.20,29.20,31.70,34.70,37.80,40.70,44.00,47.70,50.90,54.90,59.30,63.70,68.10,68.30,68.00,67.80,67.50,68.60,69.70,71.10,72.00
Ammonia,NZ+Circular,India,24.30,24.90,25.50,26.10,26.70,27.30,27.90,28.60,29.20,29.80,30.40,30.60,30.80,31.10,31.30,31.50,31.80,32.00,32.20,32.50,32.70,32.80,32.90,33.00,33.10,33.20,33.30,33.40,33.50,33.60,33.70
Ammonia,NZ+Circular,Rest of Asia,52.00,52.50,56.10,57.40,58.90,64.90,68.50,77.70,88.80,100.50,112.30,136.00,156.90,181.10,205.30,229.20,254.40,282.30,306.90,335.40,366.30,396.90,427.10,432.00,433.60,435.20,436.40,446.00,455.20,466.10,474.20
Ammonia,NZ+Circular,Oceania,3.00,3.00,3.00,3.00,3.00,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,2.90,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.10,3.10,3.10,3.10,3.10,3.10,3.10
