product,scenario,region,year,value
All,ETC Aggressive 3%,Global,2020,0.00
All,ETC Aggressive 3%,Global,2021,0.10
All,ETC Aggressive 3%,Global,2022,0.30
All,ETC Aggressive 3%,Global,2023,0.60
All,ETC Aggressive 3%,Global,2024,1.10
All,ETC Aggressive 3%,Global,2025,2.20
All,ETC Aggressive 3%,Global,2026,4.10
All,ETC Aggressive 3%,Global,2027,7.20
All,ETC Aggressive 3%,Global,2028,11.90
All,ETC Aggressive 3%,Global,2029,18.50
All,ETC Aggressive 3%,Global,2030,27.00
All,ETC Aggressive 3%,Global,2031,36.70
All,ETC Aggressive 3%,Global,2032,46.90
All,ETC Aggressive 3%,Global,2033,56.80
All,ETC Aggressive 3%,Global,2034,65.80
All,ETC Aggressive 3%,Global,2035,73.30
All,ETC Aggressive 3%,Global,2036,79.40
All,ETC Aggressive 3%,Global,2037,84.20
All,ETC Aggressive 3%,Global,2038,87.90
All,ETC Aggressive 3%,Global,2039,90.60
All,ETC Aggressive 3%,Global,2040,92.50
All,ETC Aggressive 3%,Global,2041,94.00
All,ETC Aggressive 3%,Global,2042,95.00
All,ETC Aggressive 3%,Global,2043,95.80
All,ETC Aggressive 3%,Global,2044,96.30
All,ETC Aggressive 3%,Global,2045,96.70
All,ETC Aggressive 3%,Global,2046,96.90
All,ETC Aggressive 3%,Global,2047,97.10
All,ETC Aggressive 3%,Global,2048,97.30
All,ETC Aggressive 3%,Global,2049,97.40
All,ETC Aggressive 3%,Global,2050,97.40
