product,year,region,scope,scenario,unit,name,emissivity_type,emission_factor_ch4
Ammonia,2020,China,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonium nitrate,2020,China,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Urea,2020,China,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonia,2020,North America,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonium nitrate,2020,North America,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Urea,2020,North America,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonia,2020,Rest of Asia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonium nitrate,2020,Rest of Asia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Urea,2020,Rest of Asia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonia,2020,Russia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonium nitrate,2020,Russia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Urea,2020,Russia,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonia,2020,Europe,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonium nitrate,2020,Europe,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Urea,2020,Europe,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonia,2020,India,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonium nitrate,2020,India,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Urea,2020,India,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonia,2020,Middle East,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonium nitrate,2020,Middle East,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Urea,2020,Middle East,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonia,2020,Africa,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonium nitrate,2020,Africa,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Urea,2020,Africa,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonia,2020,Latin America,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonium nitrate,2020,Latin America,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Urea,2020,Latin America,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonia,2020,Oceania,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Ammonium nitrate,2020,Oceania,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
Urea,2020,Oceania,3_upstream,,tCH4/GJ,Coal,Fossil,0.00034
