product,year,region,scope,scenario,unit,name,emissivity_type,emission_factor_co2
Ammonia,2020,China,2,,tCO2/GJ,Electricity - grid,Fossil,0.18253443080790197
Ammonium nitrate,2020,China,2,,tCO2/GJ,Electricity - grid,Fossil,0.18253443080790197
Urea,2020,China,2,,tCO2/GJ,Electricity - grid,Fossil,0.18253443080790197
Ammonia,2020,North America,2,,tCO2/GJ,Electricity - grid,Fossil,0.1055000160349744
Ammonium nitrate,2020,North America,2,,tCO2/GJ,Electricity - grid,Fossil,0.1055000160349744
Urea,2020,North America,2,,tCO2/GJ,Electricity - grid,Fossil,0.1055000160349744
Ammonia,2020,Rest of Asia,2,,tCO2/GJ,Electricity - grid,Fossil,0.1407147638135853
Ammonium nitrate,2020,Rest of Asia,2,,tCO2/GJ,Electricity - grid,Fossil,0.1407147638135853
Urea,2020,Rest of Asia,2,,tCO2/GJ,Electricity - grid,Fossil,0.1407147638135853
Ammonia,2020,Russia,2,,tCO2/GJ,Electricity - grid,Fossil,0.09053359258195337
Ammonium nitrate,2020,Russia,2,,tCO2/GJ,Electricity - grid,Fossil,0.09053359258195337
Urea,2020,Russia,2,,tCO2/GJ,Electricity - grid,Fossil,0.09053359258195337
Ammonia,2020,Europe,2,,tCO2/GJ,Electricity - grid,Fossil,0.06634214637931554
Ammonium nitrate,2020,Europe,2,,tCO2/GJ,Electricity - grid,Fossil,0.06634214637931554
Urea,2020,Europe,2,,tCO2/GJ,Electricity - grid,Fossil,0.06634214637931554
Ammonia,2020,India,2,,tCO2/GJ,Electricity - grid,Fossil,0.20204239658004333
Ammonium nitrate,2020,India,2,,tCO2/GJ,Electricity - grid,Fossil,0.20204239658004333
Urea,2020,India,2,,tCO2/GJ,Electricity - grid,Fossil,0.20204239658004333
Ammonia,2020,Middle East,2,,tCO2/GJ,Electricity - grid,Fossil,0.07975885847791815
Ammonium nitrate,2020,Middle East,2,,tCO2/GJ,Electricity - grid,Fossil,0.07975885847791815
Urea,2020,Middle East,2,,tCO2/GJ,Electricity - grid,Fossil,0.07975885847791815
Ammonia,2020,Africa,2,,tCO2/GJ,Electricity - grid,Fossil,0.1235515584802676
Ammonium nitrate,2020,Africa,2,,tCO2/GJ,Electricity - grid,Fossil,0.1235515584802676
Urea,2020,Africa,2,,tCO2/GJ,Electricity - grid,Fossil,0.1235515584802676
Ammonia,2020,Latin America,2,,tCO2/GJ,Electricity - grid,Fossil,0.0567821449629698
Ammonium nitrate,2020,Latin America,2,,tCO2/GJ,Electricity - grid,Fossil,0.0567821449629698
Urea,2020,Latin America,2,,tCO2/GJ,Electricity - grid,Fossil,0.0567821449629698
Ammonia,2020,Oceania,2,,tCO2/GJ,Electricity - grid,Fossil,0.17451804729500198
Ammonium nitrate,2020,Oceania,2,,tCO2/GJ,Electricity - grid,Fossil,0.17451804729500198
Urea,2020,Oceania,2,,tCO2/GJ,Electricity - grid,Fossil,0.17451804729500198
Ammonia,2020,China,3_upstream,,tCO2/GJ,Natural gas,Fossil,0.0008570273205491529
Ammonium nitrate,2020,China,3_upstream,,tCO2/GJ,Natural gas,Fossil,0.0008570273205491529
Urea,2020,China,3_upstream,,tCO2/GJ,Natural gas,Fossil,0.0008570273205491529
Ammonia,2020,North America,3_upstream,,tCO2/GJ,Natural gas,Fossil,0.0007712915736666527
