product,region,technology,year,annual_production_capacity,annual_production_volume,average_cuf,average_age
Ammonia,China,Coal Gasification + ammonia synthesis,2020,52.5,41,0.780612245,12
Ammonia,China,Natural Gas SMR + ammonia synthesis,2020,17.5,13.7,0.780612245,13
Ammonia,North America,Natural Gas SMR + ammonia synthesis,2020,22.5,21.9,0.975395031,36.6
Ammonia,Rest of Asia,Natural Gas SMR + ammonia synthesis,2020,25.9,22.5,0.871305088,24.2
Ammonia,Russia,Natural Gas SMR + ammonia synthesis,2020,20.3,18.2,0.897255454,33
Ammonia,Europe,Natural Gas SMR + ammonia synthesis,2020,19.1,16.1,0.843258761,43
Ammonia,India,Natural Gas SMR + ammonia synthesis,2020,17.8,15.8,0.886837881,29
Ammonia,Middle East,Natural Gas SMR + ammonia synthesis,2020,20.1,18,0.894632207,26.7
Ammonia,Africa,Natural Gas SMR + ammonia synthesis,2020,11.7,9.4,0.804616694,23.9
Ammonia,Latin America,Natural Gas SMR + ammonia synthesis,2020,10.9,6.4,0.592549813,33
Ammonia,Oceania,Natural Gas SMR + ammonia synthesis,2020,2.2,2.1,0.919183673,32
