product,region,year,demand,current_production,minimum_share,share
Ammonia,North America,2020,20.7,22.5,0.4,1.09
Ammonia,Latin America,2020,14.7,10.9,,0.74
Ammonia,Africa,2020,10.1,11.7,,1.16
Ammonia,Middle East,2020,7.7,20.1,,2.61
Ammonia,Russia,2020,5.8,20.3,,3.50
Ammonia,Europe,2020,27.2,19.1,,0.70
Ammonia,China,2020,19.6,69.9,,3.57
Ammonia,India,2020,24.3,17.8,,0.73
Ammonia,Rest of Asia,2020,52,25.9,,0.50
Ammonia,Oceania,2020,3,2.2,,0.73
Ammonia,North America,2021,20.9,22.5,,1.08
Ammonia,Latin America,2021,14.9,10.9,,0.73
Ammonia,Africa,2021,10.7,11.7,,1.09
Ammonia,Middle East,2021,7.8,20.1,,2.58
Ammonia,Russia,2021,5.8,20.3,,3.50
Ammonia,Europe,2021,27.3,19.1,,0.70
Ammonia,China,2021,19.6,69.9,,3.57
Ammonia,India,2021,24.9,17.8,,0.71
Ammonia,Rest of Asia,2021,52.5,25.9,,0.49
Ammonia,Oceania,2021,3,2.2,,0.73
Ammonia,North America,2022,21.1,22.5,,1.07
Ammonia,Latin America,2022,15.1,10.9,,0.72
Ammonia,Africa,2022,11.3,11.7,,1.04
Ammonia,Middle East,2022,7.9,20.1,,2.54
Ammonia,Russia,2022,5.8,20.3,,3.50
Ammonia,Europe,2022,32.9,19.1,,0.58
Ammonia,China,2022,19.6,69.9,,3.57
Ammonia,India,2022,25.5,17.8,,0.70
Ammonia,Rest of Asia,2022,56.1,25.9,,0.46
Ammonia,Oceania,2022,3,2.2,,0.73
Ammonia,North America,2023,21.2,22.5,,1.06
Ammonia,Latin America,2023,15.3,10.9,,0.71
Ammonia,Africa,2023,12,11.7,,0.98
Ammonia,Middle East,2023,8,20.1,,2.51
Ammonia,Russia,2023,5.9,20.3,,3.44
Ammonia,Europe,2023,34.5,19.1,,0.55
Ammonia,China,2023,19.7,69.9,,3.55
Ammonia,India,2023,26.1,17.8,,0.68
Ammonia,Rest of Asia,2023,57.4,25.9,,0.45
Ammonia,Oceania,2023,3,2.2,,0.73
Ammonia,North America,2024,21.4,22.5,,1.05
Ammonia,Latin America,2024,15.5,10.9,,0.70
Ammonia,Africa,2024,12.6,11.7,,0.93
Ammonia,Middle East,2024,8.1,20.1,,2.48
Ammonia,Russia,2024,5.9,20.3,,3.44
Ammonia,Europe,2024,36.4,19.1,,0.52
Ammonia,China,2024,19.7,69.9,,3.55
Ammonia,India,2024,26.7,17.8,,0.67
Ammonia,Rest of Asia,2024,58.9,25.9,,0.44
Ammonia,Oceania,2024,3,2.2,,0.73
Ammonia,North America,2025,22.6,22.5,,1.00
Ammonia,Latin America,2025,16,10.9,,0.68
Ammonia,Africa,2025,13.6,11.7,,0.86
Ammonia,Middle East,2025,8.9,20.1,,2.26
Ammonia,Russia,2025,6,20.3,,3.38
Ammonia,Europe,2025,40.5,19.1,,0.47
Ammonia,China,2025,20.4,69.9,,3.43
Ammonia,India,2025,27.3,17.8,,0.65
Ammonia,Rest of Asia,2025,64.9,25.9,,0.40
Ammonia,Oceania,2025,2.9,2.2,,0.76
Ammonia,North America,2026,23.1,22.5,,0.97
Ammonia,Latin America,2026,16.4,10.9,,0.66
Ammonia,Africa,2026,14.3,11.7,,0.82
Ammonia,Middle East,2026,9.2,20.1,,2.18
Ammonia,Russia,2026,6.1,20.3,,3.33
Ammonia,Europe,2026,44,19.1,,0.43
Ammonia,China,2026,20.7,69.9,,3.38
Ammonia,India,2026,27.9,17.8,,0.64
Ammonia,Rest of Asia,2026,68.5,25.9,,0.38
Ammonia,Oceania,2026,2.9,2.2,,0.76
Ammonia,North America,2027,24.8,22.5,,0.91
Ammonia,Latin America,2027,17.1,10.9,,0.64
Ammonia,Africa,2027,15.5,11.7,,0.75
Ammonia,Middle East,2027,10.3,20.1,,1.95
Ammonia,Russia,2027,6.3,20.3,,3.22
Ammonia,Europe,2027,50.1,19.1,,0.38
Ammonia,China,2027,21.9,69.9,,3.19
Ammonia,India,2027,28.6,17.8,,0.62
Ammonia,Rest of Asia,2027,77.7,25.9,,0.33
Ammonia,Oceania,2027,2.9,2.2,,0.76
Ammonia,North America,2028,26.9,22.5,,0.84
Ammonia,Latin America,2028,17.9,10.9,,0.61
Ammonia,Africa,2028,16.8,11.7,,0.70
Ammonia,Middle East,2028,11.7,20.1,,1.72
Ammonia,Russia,2028,6.5,20.3,,3.12
Ammonia,Europe,2028,57.5,19.1,,0.33
Ammonia,China,2028,23.3,69.9,,3.00
Ammonia,India,2028,29.2,17.8,,0.61
Ammonia,Rest of Asia,2028,88.8,25.9,,0.29
Ammonia,Oceania,2028,2.9,2.2,,0.76
Ammonia,North America,2029,29,22.5,,0.78
Ammonia,Latin America,2029,18.8,10.9,,0.58
Ammonia,Africa,2029,18.2,11.7,,0.64
Ammonia,Middle East,2029,13.2,20.1,,1.52
Ammonia,Russia,2029,6.7,20.3,,3.03
Ammonia,Europe,2029,65.6,19.1,,0.29
Ammonia,China,2029,24.8,69.9,,2.82
Ammonia,India,2029,29.8,17.8,,0.60
Ammonia,Rest of Asia,2029,100.5,25.9,,0.26
Ammonia,Oceania,2029,2.9,2.2,,0.76
Ammonia,North America,2030,31.1,22.5,,0.72
Ammonia,Latin America,2030,19.7,10.9,,0.55
Ammonia,Africa,2030,19.5,11.7,,0.60
Ammonia,Middle East,2030,14.6,20.1,,1.38
Ammonia,Russia,2030,6.9,20.3,,2.94
Ammonia,Europe,2030,74.3,19.1,,0.26
Ammonia,China,2030,26.2,69.9,,2.67
Ammonia,India,2030,30.4,17.8,,0.59
Ammonia,Rest of Asia,2030,112.3,25.9,,0.23
Ammonia,Oceania,2030,2.9,2.2,,0.76
Ammonia,North America,2031,35.3,22.5,,0.64
Ammonia,Latin America,2031,20.9,10.9,,0.52
Ammonia,Africa,2031,21.5,11.7,,0.54
Ammonia,Middle East,2031,17.5,20.1,,1.15
Ammonia,Russia,2031,7.3,20.3,,2.78
Ammonia,Europe,2031,87.1,19.1,,0.22
Ammonia,China,2031,29.2,69.9,,2.39
Ammonia,India,2031,30.6,17.8,,0.58
Ammonia,Rest of Asia,2031,136,25.9,,0.19
Ammonia,Oceania,2031,2.9,2.2,,0.76
Ammonia,North America,2032,38.9,22.5,,0.58
Ammonia,Latin America,2032,21.8,10.9,,0.50
Ammonia,Africa,2032,23.3,11.7,,0.50
Ammonia,Middle East,2032,20,20.1,,1.01
Ammonia,Russia,2032,7.6,20.3,,2.67
Ammonia,Europe,2032,99.4,19.1,,0.19
Ammonia,China,2032,31.7,69.9,,2.21
Ammonia,India,2032,30.8,17.8,,0.58
Ammonia,Rest of Asia,2032,156.9,25.9,,0.17
Ammonia,Oceania,2032,2.9,2.2,,0.76
Ammonia,North America,2033,43.1,22.5,,0.52
Ammonia,Latin America,2033,23,10.9,,0.47
Ammonia,Africa,2033,25.3,11.7,,0.46
Ammonia,Middle East,2033,22.9,20.1,,0.88
Ammonia,Russia,2033,7.9,20.3,,2.57
Ammonia,Europe,2033,113,19.1,,0.17
Ammonia,China,2033,34.7,69.9,,2.01
Ammonia,India,2033,31.1,17.8,,0.57
Ammonia,Rest of Asia,2033,181.1,25.9,,0.14
Ammonia,Oceania,2033,2.9,2.2,,0.76
Ammonia,North America,2034,47.3,22.5,,0.48
Ammonia,Latin America,2034,24.2,10.9,,0.45
Ammonia,Africa,2034,27.3,11.7,,0.43
Ammonia,Middle East,2034,25.8,20.1,,0.78
Ammonia,Russia,2034,8.3,20.3,,2.45
Ammonia,Europe,2034,126.8,19.1,,0.15
Ammonia,China,2034,37.8,69.9,,1.85
Ammonia,India,2034,31.3,17.8,,0.57
Ammonia,Rest of Asia,2034,205.3,25.9,,0.13
Ammonia,Oceania,2034,3,2.2,,0.73
Ammonia,North America,2035,51.5,22.5,,0.44
Ammonia,Latin America,2035,25.4,10.9,,0.43
Ammonia,Africa,2035,29.3,11.7,,0.40
Ammonia,Middle East,2035,28.7,20.1,,0.70
Ammonia,Russia,2035,8.7,20.3,,2.33
Ammonia,Europe,2035,140.4,19.1,,0.14
Ammonia,China,2035,40.7,69.9,,1.72
Ammonia,India,2035,31.5,17.8,,0.57
Ammonia,Rest of Asia,2035,229.2,25.9,,0.11
Ammonia,Oceania,2035,3,2.2,,0.73
Ammonia,North America,2036,56,22.5,,0.40
Ammonia,Latin America,2036,26.6,10.9,,0.41
Ammonia,Africa,2036,31.4,11.7,,0.37
Ammonia,Middle East,2036,31.8,20.1,,0.63
Ammonia,Russia,2036,9,20.3,,2.26
Ammonia,Europe,2036,154.3,19.1,,0.12
Ammonia,China,2036,44,69.9,,1.59
Ammonia,India,2036,31.8,17.8,,0.56
Ammonia,Rest of Asia,2036,254.4,25.9,,0.10
Ammonia,Oceania,2036,3,2.2,,0.73
Ammonia,North America,2037,61.2,22.5,,0.37
Ammonia,Latin America,2037,28.2,10.9,,0.39
Ammonia,Africa,2037,33.8,11.7,,0.35
Ammonia,Middle East,2037,35.4,20.1,,0.57
Ammonia,Russia,2037,9.5,20.3,,2.14
Ammonia,Europe,2037,168.9,19.1,,0.11
Ammonia,China,2037,47.7,69.9,,1.47
Ammonia,India,2037,32,17.8,,0.56
Ammonia,Rest of Asia,2037,282.3,25.9,,0.09
Ammonia,Oceania,2037,3,2.2,,0.73
Ammonia,North America,2038,65.8,22.5,,0.34
Ammonia,Latin America,2038,29.5,10.9,,0.37
Ammonia,Africa,2038,35.9,11.7,,0.33
Ammonia,Middle East,2038,38.6,20.1,,0.52
Ammonia,Russia,2038,9.9,20.3,,2.05
Ammonia,Europe,2038,181.6,19.1,,0.11
Ammonia,China,2038,50.9,69.9,,1.37
Ammonia,India,2038,32.2,17.8,,0.55
Ammonia,Rest of Asia,2038,306.9,25.9,,0.08
Ammonia,Oceania,2038,3,2.2,,0.73
Ammonia,North America,2039,71.3,22.5,,0.32
Ammonia,Latin America,2039,31.1,10.9,,0.35
Ammonia,Africa,2039,38.3,11.7,,0.31
Ammonia,Middle East,2039,42.4,20.1,,0.47
Ammonia,Russia,2039,10.4,20.3,,1.95
Ammonia,Europe,2039,195.4,19.1,,0.10
Ammonia,China,2039,54.9,69.9,,1.27
Ammonia,India,2039,32.5,17.8,,0.55
Ammonia,Rest of Asia,2039,335.4,25.9,,0.08
Ammonia,Oceania,2039,3,2.2,,0.73
Ammonia,North America,2040,77.4,22.5,,0.29
Ammonia,Latin America,2040,32.9,10.9,,0.33
Ammonia,Africa,2040,41,11.7,,0.29
Ammonia,Middle East,2040,46.6,20.1,,0.43
Ammonia,Russia,2040,10.9,20.3,,1.86
Ammonia,Europe,2040,209.6,19.1,,0.09
Ammonia,China,2040,59.3,69.9,,1.18
Ammonia,India,2040,32.7,17.8,,0.54
Ammonia,Rest of Asia,2040,366.3,25.9,,0.07
Ammonia,Oceania,2040,3,2.2,,0.73
Ammonia,North America,2041,83.5,22.5,,0.27
Ammonia,Latin America,2041,34.9,10.9,,0.31
Ammonia,Africa,2041,43.6,11.7,,0.27
Ammonia,Middle East,2041,50.8,20.1,,0.40
Ammonia,Russia,2041,11.4,20.3,,1.78
Ammonia,Europe,2041,223.1,19.1,,0.09
Ammonia,China,2041,63.7,69.9,,1.10
Ammonia,India,2041,32.8,17.8,,0.54
Ammonia,Rest of Asia,2041,396.9,25.9,,0.07
Ammonia,Oceania,2041,3,2.2,,0.73
Ammonia,North America,2042,89.5,22.5,,0.25
Ammonia,Latin America,2042,36.9,10.9,,0.30
Ammonia,Africa,2042,46.3,11.7,,0.25
Ammonia,Middle East,2042,54.9,20.1,,0.37
Ammonia,Russia,2042,11.9,20.3,,1.71
Ammonia,Europe,2042,236,19.1,,0.08
Ammonia,China,2042,68.1,69.9,,1.03
Ammonia,India,2042,32.9,17.8,,0.54
Ammonia,Rest of Asia,2042,427.1,25.9,,0.06
Ammonia,Oceania,2042,3,2.2,,0.73
Ammonia,North America,2043,89.9,22.5,,0.25
Ammonia,Latin America,2043,36.9,10.9,,0.30
Ammonia,Africa,2043,46.8,11.7,,0.25
Ammonia,Middle East,2043,55.2,20.1,,0.36
Ammonia,Russia,2043,12,20.3,,1.69
Ammonia,Europe,2043,238.7,19.1,,0.08
Ammonia,China,2043,68.3,69.9,,1.02
Ammonia,India,2043,33,17.8,,0.54
Ammonia,Rest of Asia,2043,432,25.9,,0.06
Ammonia,Oceania,2043,3,2.2,,0.73
Ammonia,North America,2044,89.6,22.5,,0.25
Ammonia,Latin America,2044,36.7,10.9,,0.30
Ammonia,Africa,2044,47.2,11.7,,0.25
Ammonia,Middle East,2044,55,20.1,,0.37
Ammonia,Russia,2044,11.9,20.3,,1.71
Ammonia,Europe,2044,239.7,19.1,,0.08
Ammonia,China,2044,68,69.9,,1.03
Ammonia,India,2044,33.1,17.8,,0.54
Ammonia,Rest of Asia,2044,433.6,25.9,,0.06
Ammonia,Oceania,2044,3.1,2.2,,0.71
Ammonia,North America,2045,89.3,22.5,,0.25
Ammonia,Latin America,2045,36.5,10.9,,0.30
Ammonia,Africa,2045,47.5,11.7,,0.25
Ammonia,Middle East,2045,54.8,20.1,,0.37
Ammonia,Russia,2045,11.9,20.3,,1.71
Ammonia,Europe,2045,240.5,19.1,,0.08
Ammonia,China,2045,67.8,69.9,,1.03
Ammonia,India,2045,33.2,17.8,,0.54
Ammonia,Rest of Asia,2045,435.2,25.9,,0.06
Ammonia,Oceania,2045,3.1,2.2,,0.71
Ammonia,North America,2046,89,22.5,,0.25
Ammonia,Latin America,2046,36.3,10.9,,0.30
Ammonia,Africa,2046,47.8,11.7,,0.24
Ammonia,Middle East,2046,54.5,20.1,,0.37
Ammonia,Russia,2046,11.9,20.3,,1.71
Ammonia,Europe,2046,240.9,19.1,,0.08
Ammonia,China,2046,67.5,69.9,,1.04
Ammonia,India,2046,33.3,17.8,,0.53
Ammonia,Rest of Asia,2046,436.4,25.9,,0.06
Ammonia,Oceania,2046,3.1,2.2,,0.71
Ammonia,North America,2047,90.6,22.5,,0.25
Ammonia,Latin America,2047,36.7,10.9,,0.30
Ammonia,Africa,2047,48.9,11.7,,0.24
Ammonia,Middle East,2047,55.7,20.1,,0.36
Ammonia,Russia,2047,12,20.3,,1.69
Ammonia,Europe,2047,244.4,19.1,,0.08
Ammonia,China,2047,68.6,69.9,,1.02
Ammonia,India,2047,33.4,17.8,,0.53
Ammonia,Rest of Asia,2047,446,25.9,,0.06
Ammonia,Oceania,2047,3.1,2.2,,0.71
Ammonia,North America,2048,92.2,22.5,,0.24
Ammonia,Latin America,2048,37.2,10.9,,0.29
Ammonia,Africa,2048,49.9,11.7,,0.23
Ammonia,Middle East,2048,56.7,20.1,,0.35
Ammonia,Russia,2048,12.1,20.3,,1.68
Ammonia,Europe,2048,247.6,19.1,,0.08
Ammonia,China,2048,69.7,69.9,,1.00
Ammonia,India,2048,33.5,17.8,,0.53
Ammonia,Rest of Asia,2048,455.2,25.9,,0.06
Ammonia,Oceania,2048,3.1,2.2,,0.71
Ammonia,North America,2049,94.1,22.5,,0.24
Ammonia,Latin America,2049,37.7,10.9,,0.29
Ammonia,Africa,2049,51,11.7,,0.23
Ammonia,Middle East,2049,58.1,20.1,,0.35
Ammonia,Russia,2049,12.3,20.3,,1.65
Ammonia,Europe,2049,251.3,19.1,,0.08
Ammonia,China,2049,71.1,69.9,,0.98
Ammonia,India,2049,33.6,17.8,,0.53
Ammonia,Rest of Asia,2049,466.1,25.9,,0.06
Ammonia,Oceania,2049,3.1,2.2,,0.71
Ammonia,North America,2050,95.5,22.5,,0.24
Ammonia,Latin America,2050,38.1,10.9,,0.29
Ammonia,Africa,2050,51.9,11.7,,0.23
Ammonia,Middle East,2050,59,20.1,,0.34
Ammonia,Russia,2050,12.4,20.3,,1.64
Ammonia,Europe,2050,253.8,19.1,,0.08
Ammonia,China,2050,72,69.9,,0.97
Ammonia,India,2050,33.7,17.8,,0.53
Ammonia,Rest of Asia,2050,474.2,25.9,,0.05
Ammonia,Oceania,2050,3.1,2.2,,0.71
