product,scenario,region,year,value
Ammonia,NZ+Circular,Global,2020,185.0
Ammonia,NZ+Circular,North America,2020,20.7
Ammonia,NZ+Circular,Latin America,2020,14.7
Ammonia,NZ+Circular,Africa,2020,10.1
Ammonia,NZ+Circular,Middle East,2020,7.7
Ammonia,NZ+Circular,Russia,2020,5.8
Ammonia,NZ+Circular,Europe,2020,27.2
Ammonia,NZ+Circular,China,2020,19.6
Ammonia,NZ+Circular,India,2020,24.3
Ammonia,NZ+Circular,Rest of Asia,2020,52.0
Ammonia,NZ+Circular,Oceania,2020,3.0
Ammonium nitrate,NZ+Circular,Global,2020,20.9655
Ammonium nitrate,NZ+Circular,North America,2020,2.0643
Ammonium nitrate,NZ+Circular,Latin America,2020,1.1788
Ammonium nitrate,NZ+Circular,Africa,2020,1.0946
Ammonium nitrate,NZ+Circular,Middle East,2020,2.3204
Ammonium nitrate,NZ+Circular,Russia,2020,1.5612
Ammonium nitrate,NZ+Circular,Europe,2020,1.9237
Ammonium nitrate,NZ+Circular,China,2020,4.7966
Ammonium nitrate,NZ+Circular,India,2020,2.0354
Ammonium nitrate,NZ+Circular,Rest of Asia,2020,3.7318
Ammonium nitrate,NZ+Circular,Oceania,2020,0.2587
Urea,NZ+Circular,Global,2020,101.4313
Urea,NZ+Circular,North America,2020,9.98720358
Urea,NZ+Circular,Latin America,2020,5.703080686
Urea,NZ+Circular,Africa,2020,5.29546034
Urea,NZ+Circular,Middle East,2020,11.2261577
Urea,NZ+Circular,Russia,2020,7.553187809
Urea,NZ+Circular,Europe,2020,9.30697275
Urea,NZ+Circular,China,2020,23.20601598
Urea,NZ+Circular,India,2020,9.847380683
Urea,NZ+Circular,Rest of Asia,2020,18.05436074
Urea,NZ+Circular,Oceania,2020,1.251493175
Ammonia,NZ+Circular,Global,2021,187.4
Ammonia,NZ+Circular,North America,2021,20.9
Ammonia,NZ+Circular,Latin America,2021,14.9
Ammonia,NZ+Circular,Africa,2021,10.7
Ammonia,NZ+Circular,Middle East,2021,7.8
Ammonia,NZ+Circular,Russia,2021,5.8
Ammonia,NZ+Circular,Europe,2021,27.3
Ammonia,NZ+Circular,China,2021,19.6
Ammonia,NZ+Circular,India,2021,24.9
Ammonia,NZ+Circular,Rest of Asia,2021,52.5
Ammonia,NZ+Circular,Oceania,2021,3.0
Ammonium nitrate,NZ+Circular,Global,2021,21.3311
Ammonium nitrate,NZ+Circular,North America,2021,2.1003
Ammonium nitrate,NZ+Circular,Latin America,2021,1.1994
Ammonium nitrate,NZ+Circular,Africa,2021,1.1136
Ammonium nitrate,NZ+Circular,Middle East,2021,2.3609
Ammonium nitrate,NZ+Circular,Russia,2021,1.5884
Ammonium nitrate,NZ+Circular,Europe,2021,1.9573
Ammonium nitrate,NZ+Circular,China,2021,4.7966
Ammonium nitrate,NZ+Circular,India,2021,2.0709
Ammonium nitrate,NZ+Circular,Rest of Asia,2021,3.8751
Ammonium nitrate,NZ+Circular,Oceania,2021,0.2686
Urea,NZ+Circular,Global,2021,103.2004
Urea,NZ+Circular,North America,2021,10.16141577
Urea,NZ+Circular,Latin America,2021,5.802555961
Urea,NZ+Circular,Africa,2021,5.387817953
Urea,NZ+Circular,Middle East,2021,11.42191371
Urea,NZ+Circular,Russia,2021,7.684915521
Urea,NZ+Circular,Europe,2021,9.469298924
Urea,NZ+Circular,China,2021,23.20601598
Urea,NZ+Circular,India,2021,10.01914167
Urea,NZ+Circular,Rest of Asia,2021,18.74778765
Urea,NZ+Circular,Oceania,2021,1.299560905
Ammonia,NZ+Circular,Global,2022,198.3
Ammonia,NZ+Circular,North America,2022,21.1
