,technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,Natural Gas SMR + ammonia synthesis,243.53398100840667,243.53398100840667,243.53398100840667,217.4926156721822,197.69500130062448,178.1931305086597,119.78541656953523,96.36400492584768,72.94259328216012,56.4730326031393,43.62726919624831,35.24461706694144,30.78150578935731,27.02649451177319,25.774824085911813,24.52315366005044,23.271483234189066,22.019812808327693,20.76814238246632,18.26480153074357,15.761460679020821,13.258119827298072,13.258119827298072,13.258119827298072,13.258119827298072,13.258119827298072,13.258119827298072,13.258119827298072,13.258119827298072,13.258119827298072,13.258119827298072
1,Coal Gasification + ammonia synthesis,85.2488995025938,85.2488995025938,85.2488995025938,85.2488995025938,85.2488995025938,85.2488995025938,80.50464581005689,75.76039211751998,71.01613842498307,66.27188473244617,63.191657886177715,61.06735788617772,58.94305788617772,56.818757886177714,54.694457886177716,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772,52.57015788617772
5,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,0.0,9.240680538805359,12.320907385073813,29.071610479047415,41.49041630089119,57.66423340031909,52.7700512982837,57.6455189962749,56.0981049908206,56.9374189962749,56.52506257586782,48.32154118533971,40.53037621521869,35.49037894308886,28.902967665504736,21.06388596205924,15.184574684475116,11.973133832752367,10.013363406890994,7.510022555168245,5.006681703445497,5.006681703445497,5.006681703445497,5.006681703445497,5.006681703445497,5.006681703445497,5.006681703445497,5.006681703445497,5.006681703445497,5.006681703445497,5.006681703445497
7,Electrolyser + SMR + ammonia synthesis,0.0,0.0,0.0,12.123062242250857,22.582097638233257,32.74538945462274,22.975739654596147,22.975739654596147,15.844757951150648,14.593087525289274,13.3414170994279,8.334735395982403,2.5033408517227485,2.5033408517227485,2.5033408517227485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Electrolyser + Coal Gasification + ammonia synthesis,0.0,0.0,0.0,0.0,0.7081,1.4162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Electrolyser - grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906,3.328053692536906
15,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,7.116380538805359,7.116380538805359,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108,10.327821390528108
16,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,15.236604657203639,17.608731503472093,23.900399201463294,26.27252604773175,26.980626047731747,27.68872604773175,28.396826047731746,29.104926047731748,30.521126047731748,31.937326047731748,31.937326047731748,31.937326047731748,31.937326047731748,31.937326047731748,68.2982528940002,105.82755289400019,153.27025289400018,204.33675016613,211.41775016613002,212.83395016613002,215.66635016613,217.08255016613,234.32477701239847,249.90297701239845,268.31357701239847
17,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,18.77710465720364,26.81403150347209,47.97579920146329,67.34232604773175,88.37287974026864,101.11867974026865,130.3986065865371,153.76590658653708,182.7980065865371,211.83010658653708,240.8622065865371,272.26643343280557,305.54713343280554,336.5390038586669,337.7906742845283,337.7906742845283,337.7906742845283,337.7906742845283,337.7906742845283,337.7906742845283,337.7906742845283,337.7906742845283,337.7906742845283,337.7906742845283,337.7906742845283
2,Coal Gasification+ CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
