product,driver,region,unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ammonia,Fert Optimization,Global,Mt NH3,0.00,-0.32,-0.68,-1.03,-1.37,-1.69,-1.36,-1.01,-0.62,-0.21,0.24,0.13,0.05,-0.02,-0.07,-0.10,0.19,0.50,0.83,1.18,1.54,2.21,2.89,3.60,4.32,5.06,5.87,6.69,7.53,8.39,9.26
Ammonia,Fert Optimization,North America,Mt NH3,0.00,-0.04,-0.06,-0.08,-0.09,-0.11,-0.06,-0.01,0.05,0.10,0.16,0.17,0.18,0.19,0.21,0.23,0.27,0.32,0.37,0.42,0.47,0.56,0.64,0.72,0.81,0.90,0.99,1.08,1.18,1.28,1.38
Ammonia,Fert Optimization,Latin America,Mt NH3,0.00,0.02,-0.02,-0.06,-0.10,-0.14,-0.14,-0.15,-0.14,-0.14,-0.13,-0.16,-0.19,-0.22,-0.24,-0.26,-0.27,-0.27,-0.27,-0.27,-0.27,-0.26,-0.25,-0.24,-0.22,-0.21,-0.19,-0.17,-0.15,-0.13,-0.10
Ammonia,Fert Optimization,Africa,Mt NH3,0.00,0.11,0.16,0.21,0.27,0.32,0.39,0.45,0.52,0.60,0.68,0.61,0.55,0.48,0.42,0.35,0.32,0.29,0.27,0.24,0.22,0.23,0.25,0.27,0.29,0.32,0.35,0.39,0.43,0.48,0.52
Ammonia,Fert Optimization,Middle East,Mt NH3,0.00,-0.05,-0.21,-0.36,-0.51,-0.66,-0.72,-0.78,-0.84,-0.88,-0.93,-1.03,-1.13,-1.23,-1.33,-1.42,-1.48,-1.53,-1.57,-1.61,-1.65,-1.65,-1.64,-1.63,-1.61,-1.59,-1.57,-1.54,-1.52,-1.48,-1.45
Ammonia,Fert Optimization,Russia,Mt NH3,0.00,-0.03,-0.02,0.00,0.01,0.03,0.08,0.11,0.15,0.18,0.21,0.21,0.22,0.22,0.22,0.23,0.25,0.28,0.31,0.34,0.38,0.43,0.49,0.55,0.61,0.67,0.74,0.81,0.88,0.95,1.02
Ammonia,Fert Optimization,Europe,Mt NH3,0.00,-0.04,-0.05,-0.05,-0.06,-0.06,0.00,0.05,0.11,0.17,0.24,0.27,0.31,0.34,0.38,0.42,0.48,0.55,0.61,0.68,0.75,0.84,0.92,1.01,1.10,1.19,1.29,1.38,1.48,1.57,1.67
Ammonia,Fert Optimization,China,Mt NH3,0.00,0.01,-0.25,-0.52,-0.79,-1.06,-1.16,-1.26,-1.36,-1.45,-1.53,-1.33,-1.13,-0.93,-0.74,-0.54,-0.27,-0.01,0.26,0.52,0.79,1.11,1.44,1.77,2.09,2.41,2.76,3.10,3.44,3.78,4.13
Ammonia,Fert Optimization,India,Mt NH3,0.00,0.14,0.28,0.43,0.58,0.73,0.91,1.10,1.29,1.48,1.68,1.52,1.36,1.20,1.03,0.87,0.76,0.64,0.53,0.42,0.31,0.25,0.19,0.14,0.09,0.04,0.00,-0.04,-0.08,-0.12,-0.16
Ammonia,Fert Optimization,Rest of Asia and Pacific,Mt NH3,0.00,-0.40,-0.49,-0.56,-0.64,-0.70,-0.60,-0.48,-0.37,-0.25,-0.13,-0.10,-0.06,-0.01,0.04,0.10,0.20,0.30,0.41,0.53,0.66,0.80,0.95,1.11,1.27,1.44,1.61,1.80,1.98,2.18,2.37
Ammonia,Fert Optimization,Oceania,Mt NH3,0.00,-0.03,-0.04,-0.04,-0.05,-0.06,-0.05,-0.04,-0.04,-0.03,-0.02,-0.03,-0.04,-0.06,-0.07,-0.08,-0.08,-0.09,-0.10,-0.10,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11,-0.11
Ammonium nitrate,Fert Optimization,Global,Mt AN,0.00,-0.17,-0.37,-0.56,-0.74,-0.90,-0.57,-0.23,0.14,0.51,0.90,1.18,1.47,1.77,2.09,2.43,3.35,4.29,5.24,6.20,7.19,8.72,10.27,11.83,13.41,15.01,17.21,19.43,21.66,23.91,26.17
Ammonium nitrate,Fert Optimization,North America,Mt AN,0.00,-0.03,-0.03,-0.03,-0.04,-0.04,0.01,0.06,0.11,0.16,0.21,0.26,0.31,0.35,0.40,0.45,0.56,0.67,0.78,0.89,1.00,1.17,1.33,1.50,1.67,1.84,2.07,2.30,2.53,2.76,2.99
Ammonium nitrate,Fert Optimization,Latin America,Mt AN,0.00,0.03,0.00,-0.03,-0.06,-0.08,-0.09,-0.09,-0.09,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.07,-0.04,0.01,0.05,0.09,0.14,0.21,0.28,0.35,0.43,0.50,0.61,0.73,0.85,0.97,1.09
