product,scenario,region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ammonia,NZ,Global, 62.8 , 64.5 , 66.3 , 68.1 , 69.9 , 75.6 , 78.7 , 82.5 , 86.9 , 92.5 , 99.4 , 109.1 , 121.5 , 137.8 , 159.4 , 188.3 , 227.3 , 250.2 , 270.4 , 294.4 , 320.9 , 347.5 , 374.0 , 377.2 , 377.7 , 378.4 , 378.8 , 387.1 , 395.1 , 404.7 , 411.7 
Ammonia,NZ,North America, 6.2 , 6.3 , 6.4 , 6.4 , 6.5 , 7.0 , 7.2 , 7.5 , 7.8 , 8.3 , 8.9 , 9.8 , 10.9 , 12.5 , 14.6 , 17.5 , 21.5 , 23.8 , 25.8 , 28.2 , 30.9 , 33.5 , 36.2 , 36.4 , 36.2 , 36.1 , 36.0 , 36.7 , 37.4 , 38.2 , 38.8 
Ammonia,NZ,Latin America, 3.5 , 3.6 , 3.8 , 3.9 , 4.1 , 4.4 , 4.6 , 4.8 , 5.1 , 5.4 , 5.7 , 6.1 , 6.7 , 7.3 , 8.2 , 9.3 , 10.8 , 11.7 , 12.5 , 13.4 , 14.4 , 15.5 , 16.5 , 16.6 , 16.7 , 16.8 , 16.8 , 17.1 , 17.5 , 17.8 , 18.1 
Ammonia,NZ,Africa, 3.3 , 3.3 , 3.5 , 3.6 , 3.8 , 4.1 , 4.3 , 4.5 , 4.7 , 5.0 , 5.3 , 5.8 , 6.3 , 6.9 , 7.8 , 9.0 , 10.5 , 11.4 , 12.2 , 13.2 , 14.2 , 15.3 , 16.3 , 16.4 , 16.5 , 16.5 , 16.6 , 16.9 , 17.2 , 17.6 , 17.9 
Ammonia,NZ,Middle East, 6.9 , 7.1 , 7.4 , 7.7 , 7.9 , 8.5 , 8.9 , 9.3 , 9.8 , 10.3 , 11.0 , 11.8 , 12.8 , 14.1 , 15.8 , 18.0 , 20.9 , 22.7 , 24.2 , 26.1 , 28.1 , 30.1 , 32.1 , 32.4 , 32.5 , 32.6 , 32.6 , 33.3 , 33.9 , 34.6 , 35.2 
Ammonia,NZ,Russia, 4.7 , 4.8 , 4.8 , 4.8 , 4.8 , 4.8 , 4.8 , 4.9 , 5.0 , 5.1 , 5.2 , 5.3 , 5.4 , 5.6 , 5.8 , 6.1 , 6.5 , 6.7 , 6.9 , 7.1 , 7.4 , 7.6 , 7.9 , 7.9 , 7.9 , 7.9 , 8.0 , 8.0 , 8.1 , 8.2 , 8.2 
Ammonia,NZ,Europe, 5.8 , 5.9 , 5.9 , 5.9 , 6.0 , 6.7 , 7.1 , 7.5 , 8.0 , 8.8 , 9.8 , 11.2 , 13.0 , 15.6 , 19.2 , 24.1 , 30.9 , 34.7 , 38.1 , 42.1 , 46.6 , 51.1 , 55.6 , 55.9 , 55.6 , 55.4 , 55.1 , 56.3 , 57.5 , 58.9 , 59.8 
Ammonia,NZ,China, 14.4 , 14.4 , 14.8 , 15.3 , 15.8 , 16.6 , 17.2 , 17.8 , 18.5 , 19.3 , 20.2 , 20.6 , 21.1 , 22.0 , 23.3 , 25.2 , 27.9 , 29.3 , 30.5 , 32.1 , 33.8 , 35.5 , 37.2 , 37.1 , 36.8 , 36.5 , 36.2 , 36.5 , 36.7 , 37.1 , 37.3 
Ammonia,NZ,India, 6.1 , 6.2 , 6.3 , 6.4 , 6.5 , 6.5 , 6.6 , 6.7 , 6.7 , 6.8 , 6.8 , 7.2 , 7.5 , 7.8 , 8.2 , 8.5 , 8.9 , 9.2 , 9.5 , 9.9 , 10.2 , 10.5 , 10.9 , 11.2 , 11.5 , 11.9 , 12.2 , 12.6 , 12.9 , 13.2 , 13.6 
Ammonia,NZ,Rest of Asia, 11.2 , 12.3 , 12.8 , 13.3 , 13.8 , 16.2 , 17.3 , 18.8 , 20.5 , 22.8 , 25.8 , 30.7 , 37.0 , 45.1 , 55.7 , 69.8 , 88.6 , 99.8 , 109.7 , 121.5 , 134.4 , 147.4 , 160.3 , 162.3 , 162.9 , 163.7 , 164.3 , 168.6 , 172.9 , 177.8 , 181.6 
Ammonia,NZ,Oceania, 0.8 , 0.8 , 0.8 , 0.8 , 0.8 , 0.8 , 0.8 , 0.8 , 0.7 , 0.7 , 0.7 , 0.7 , 0.8 , 0.8 , 0.8 , 0.8 , 0.9 , 0.9 , 0.9 , 0.9 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.0 , 1.1 , 1.1 , 1.1 , 1.1 , 1.1 
Ammonium nitrate,NZ,Global,49.27,50.13,51.05,51.94,52.81,53.66,54.49,55.29,56.07,56.82,57.55,58.26,58.94,59.6,60.24,60.85,61.45,62.01,62.56,63.08,63.57,64.05,64.5,64.92,65.33,65.71,66.06,66.39,66.7,66.99,67.25
Ammonium nitrate,NZ,North America,4.85,4.94,4.99,5.04,5.09,5.14,5.19,5.23,5.28,5.32,5.36,5.39,5.43,5.46,5.49,5.52,5.55,5.57,5.6,5.62,5.64,5.66,5.67,5.69,5.7,5.71,5.72,5.73,5.73,5.74,5.74
Ammonium nitrate,NZ,Latin America,2.77,2.82,2.95,3.08,3.21,3.33,3.46,3.58,3.7,3.82,3.93,4.04,4.15,4.26,4.37,4.47,4.58,4.68,4.77,4.87,4.96,5.05,5.14,5.23,5.31,5.39,5.47,5.54,5.62,5.69,5.76
Ammonium nitrate,NZ,Africa,2.57,2.62,2.73,2.85,2.96,3.07,3.18,3.29,3.39,3.5,3.6,3.7,3.8,3.89,3.99,4.08,4.17,4.26,4.34,4.43,4.51,4.59,4.66,4.74,4.81,4.88,4.95,5.02,5.08,5.14,5.2
Ammonium nitrate,NZ,Middle East,5.45,5.55,5.78,6.01,6.23,6.45,6.67,6.88,7.09,7.3,7.5,7.7,7.89,8.08,8.26,8.45,8.62,8.8,8.97,9.13,9.29,9.45,9.6,9.75,9.89,10.03,10.16,10.29,10.42,10.54,10.65
Ammonium nitrate,NZ,Russia,3.67,3.73,3.73,3.73,3.73,3.73,3.75,3.78,3.82,3.86,3.9,3.93,3.97,4,4.03,4.05,4.08,4.11,4.13,4.15,4.17,4.19,4.21,4.23,4.24,4.26,4.27,4.28,4.29,4.3,4.31
Ammonium nitrate,NZ,Europe,4.52,4.6,4.63,4.67,4.7,4.73,4.76,4.78,4.81,4.83,4.85,4.87,4.89,4.91,4.92,4.94,4.95,4.96,4.97,4.97,4.98,4.98,4.99,4.99,4.99,4.98,4.98,4.98,4.97,4.96,4.95
Ammonium nitrate,NZ,China,11.27,11.27,11.65,12.02,12.39,12.77,13.14,13.51,13.89,14.26,14.63,14.47,14.3,14.13,13.96,13.79,13.63,13.46,13.29,13.12,12.95,12.79,12.62,12.45,12.28,12.11,11.94,11.78,11.61,11.44,11.27
Ammonium nitrate,NZ,India,4.78,4.87,4.94,5.01,5.07,5.14,5.19,5.24,5.29,5.33,5.37,5.63,5.9,6.16,6.42,6.69,6.95,7.21,7.48,7.74,8.01,8.27,8.53,8.8,9.06,9.32,9.59,9.85,10.12,10.38,10.64
Ammonium nitrate,NZ,Rest of Asia,8.77,9.11,9.01,8.91,8.8,8.69,8.54,8.39,8.22,8.04,7.86,7.95,8.03,8.1,8.16,8.21,8.25,8.28,8.3,8.31,8.32,8.31,8.29,8.27,8.23,8.19,8.14,8.08,8.01,7.93,7.84
Ammonium nitrate,NZ,Oceania,0.61,0.63,0.63,0.62,0.62,0.61,0.6,0.59,0.58,0.57,0.55,0.57,0.6,0.62,0.64,0.66,0.67,0.69,0.71,0.73,0.75,0.76,0.78,0.79,0.81,0.82,0.84,0.85,0.86,0.87,0.89
Urea,NZ,Global,179.29,182.42,185.76,189.02,192.19,195.28,198.28,201.2,204.03,206.78,209.44,212.01,214.5,216.91,219.22,221.46,223.61,225.67,227.65,229.54,231.35,233.07,234.71,236.26,237.73,239.11,240.41,241.62,242.74,243.78,244.74
Urea,NZ,North America,17.65,17.96,18.16,18.35,18.54,18.71,18.88,19.04,19.2,19.35,19.49,19.62,19.75,19.87,19.99,20.09,20.19,20.28,20.37,20.45,20.52,20.59,20.65,20.7,20.74,20.78,20.82,20.84,20.86,20.87,20.88
Urea,NZ,Latin America,10.08,10.26,10.74,11.21,11.68,12.13,12.58,13.02,13.46,13.89,14.31,14.72,15.12,15.52,15.9,16.28,16.65,17.02,17.37,17.72,18.06,18.39,18.71,19.02,19.32,19.62,19.9,20.18,20.44,20.7,20.95
Urea,NZ,Africa,9.36,9.52,9.95,10.37,10.78,11.18,11.58,11.97,12.35,12.73,13.1,13.46,13.82,14.17,14.51,14.84,15.17,15.49,15.8,16.11,16.4,16.69,16.97,17.25,17.51,17.77,18.02,18.26,18.49,18.72,18.94
Urea,NZ,Middle East,19.84,20.19,21.04,21.87,22.68,23.49,24.28,25.05,25.81,26.56,27.29,28.01,28.71,29.4,30.08,30.74,31.38,32.01,32.63,33.23,33.81,34.38,34.93,35.47,35.99,36.49,36.98,37.46,37.91,38.35,38.77
Urea,NZ,Russia,13.35,13.58,13.59,13.59,13.58,13.56,13.65,13.77,13.91,14.05,14.19,14.31,14.43,14.54,14.65,14.76,14.85,14.94,15.03,15.11,15.19,15.26,15.33,15.39,15.44,15.49,15.54,15.58,15.62,15.65,15.67
Urea,NZ,Europe,16.45,16.74,16.86,16.99,17.1,17.21,17.31,17.41,17.5,17.58,17.66,17.73,17.8,17.86,17.91,17.96,18,18.04,18.07,18.1,18.12,18.13,18.14,18.15,18.15,18.14,18.13,18.11,18.09,18.06,18.03
Urea,NZ,China,41.02,41.02,42.38,43.74,45.1,46.46,47.82,49.18,50.54,51.9,53.26,52.65,52.03,51.42,50.81,50.2,49.59,48.97,48.36,47.75,47.14,46.53,45.91,45.3,44.69,44.08,43.47,42.86,42.24,41.63,41.02
Urea,NZ,India,17.41,17.71,17.97,18.22,18.47,18.71,18.9,19.08,19.24,19.39,19.54,20.5,21.46,22.41,23.37,24.33,25.29,26.25,27.21,28.17,29.13,30.09,31.05,32.01,32.97,33.93,34.89,35.85,36.81,37.77,38.73
Urea,NZ,Rest of Asia,31.91,33.14,32.8,32.43,32.03,31.61,31.09,30.53,29.92,29.27,28.6,28.92,29.21,29.47,29.68,29.87,30.02,30.13,30.21,30.25,30.26,30.24,30.18,30.09,29.97,29.81,29.61,29.39,29.13,28.84,28.52
Urea,NZ,Oceania,2.21,2.3,2.28,2.26,2.24,2.22,2.19,2.15,2.1,2.06,2.01,2.09,2.17,2.24,2.32,2.39,2.46,2.52,2.59,2.65,2.71,2.77,2.83,2.89,2.94,2.99,3.04,3.09,3.14,3.18,3.23
