,technology,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,Natural Gas SMR + ammonia synthesis,257.363431054,249.73803602299998,221.862640992,206.912640992,217.512640992,243.06264099199998,218.511060868,223.859480744,213.28250558899998,201.730135403,189.22776521699998,160.54999999999998,139.65,116.85,93.1,64.6,46.55,34.199999999999996,22.799999999999997,14.25,7.6,3.8,3.8,1.9,0.95,0.0,0.0,0.0,0.0,0.0,0.0
1,Coal Gasification + ammonia synthesis,77.89999999999999,76.95,57.8,56.849999999999994,47.15,54.949999999999996,45.0,65.5,67.45,65.55,63.65,58.9,55.099999999999994,51.3,47.5,42.75,38.0,30.4,21.849999999999998,13.299999999999999,6.6499999999999995,2.8499999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Natural Gas SMR + CCS (process emissions only) + ammonia synthesis,0.0,0.0,17.099999999999998,29.45,33.25,38.949999999999996,38.949999999999996,38.949999999999996,38.0,38.949999999999996,38.949999999999996,38.0,39.9,39.9,38.949999999999996,38.949999999999996,33.25,25.65,20.9,9.5,5.699999999999999,3.8,2.8499999999999996,2.8499999999999996,2.8499999999999996,0.95,0.95,0.95,0.95,1.9,1.9
7,Electrolyser + SMR + ammonia synthesis,0.0,0.0,0.95,0.95,1.9,2.8499999999999996,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Electrolyser + Coal Gasification + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Electrolyser - grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
15,Electrolyser - dedicated VRES + grid PPA + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975395031,0.975395031,0.975395031,0.975395031,0.975395031,0.975395031,1.9253950309999999,2.875395031,3.825395031,3.825395031,3.825395031,3.825395031,2.775395031,2.775395031,2.775395031,2.775395031,2.775395031,2.775395031,2.775395031,2.775395031
16,Electrolyser - dedicated VRES + H2 storage - geological + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,3.8,6.675395031,9.550790061999999,14.326185093,18.126185093,22.876185093,29.526185093,33.326185093,38.076185093,39.976185093,52.326185093,68.476185093,88.426185093,105.526185093,127.37618509299999,134.861284719,141.975422571,142.92542257099998,143.411940093,145.52618509299998,151.226185093,156.626185093,157.876185093
17,Electrolyser - dedicated VRES + H2 storage - pipeline + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,4.7753950309999995,7.650790062,10.526185093,15.301580124,21.001580124,28.601580123999998,34.301580124,38.101580124,42.851580124,45.701580123999996,66.601580124,81.801580124,100.801580124,117.90158012399999,134.051580124,128.851580124,138.193249933,138.193249933,139.629767455,142.701580124,144.051580124,154.751580124,149.35158012399998
2,Coal Gasification+ CCS + ammonia synthesis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
